"date","close","volume","open","high","low"

"2015/01/30","2.6500","667002.0000","2.7000","2.7400","2.6100"
"2015/01/29","2.7300","2482159.0000","2.7500","2.7500","2.6000"
"2015/01/28","2.7600","1054439.0000","2.7400","2.7800","2.6600"
"2015/01/27","2.7700","558909.0000","2.7400","2.8000","2.7400"
"2015/01/26","2.7900","673278.0000","2.7200","2.8300","2.7200"
"2015/01/23","2.7300","540027.0000","2.7100","2.7950","2.6600"
"2015/01/22","2.7100","849720.0000","2.6800","2.7400","2.6100"
"2015/01/21","2.6800","628922.0000","2.6500","2.7000","2.6500"
"2015/01/20","2.6500","904019.0000","2.6600","2.6750","2.6000"
"2015/01/16","2.6800","453698.0000","2.6000","2.7000","2.5900"
"2015/01/15","2.6200","516959.0000","2.6700","2.7100","2.5818"
"2015/01/14","2.7000","707736.0000","2.6300","2.7000","2.5900"
"2015/01/13","2.6700","495993.0000","2.6600","2.7301","2.6100"
"2015/01/12","2.6400","730204.0000","2.6300","2.6900","2.5400"
"2015/01/09","2.6500","388503.0000","2.6400","2.7300","2.6100"
"2015/01/08","2.6600","535685.0000","2.6600","2.7450","2.6100"
"2015/01/07","2.6600","445026.0000","2.6100","2.7000","2.6100"
"2015/01/06","2.6100","587252.0000","2.6700","2.7100","2.5900"
"2015/01/05","2.6700","676510.0000","2.7900","2.7900","2.6300"
"2015/01/02","2.7700","775138.0000","2.7000","2.8000","2.6800"
"2014/12/31","2.7100","1218521.0000","2.7500","2.8400","2.6500"
"2014/12/30","2.7700","1000373.0000","2.6600","2.7800","2.6200"
"2014/12/29","2.6300","789766.0000","2.5600","2.7900","2.5600"
"2014/12/26","2.6300","697993.0000","2.5700","2.7400","2.5650"
"2014/12/24","2.5700","439858.0000","2.6200","2.6700","2.5500"
"2014/12/23","2.6700","595606.0000","2.7800","2.8000","2.6700"
"2014/12/22","2.7800","1031193.0000","2.9200","2.9200","2.6500"
"2014/12/19","2.9300","1617408.0000","2.7700","2.9300","2.7500"
"2014/12/18","2.7700","1737358.0000","2.6800","2.8200","2.6400"
"2014/12/17","2.6500","1580518.0000","2.4700","2.6500","2.4600"
"2014/12/16","2.4700","1575443.0000","2.3600","2.5000","2.3600"
"2014/12/15","2.3800","796104.0000","2.3400","2.3900","2.3200"
"2014/12/12","2.3500","765367.0000","2.3400","2.3810","2.3350"
"2014/12/11","2.3400","605950.0000","2.3300","2.3800","2.3100"
"2014/12/10","2.3200","978826.0000","2.3700","2.3900","2.2900"
"2014/12/09","2.3900","962029.0000","2.2700","2.4000","2.2101"
"2014/12/08","2.3000","959647.0000","2.3000","2.3400","2.2600"
"2014/12/05","2.3200","692063.0000","2.2600","2.3285","2.2500"
"2014/12/04","2.3200","1369291.0000","2.3000","2.3300","2.2700"
"2014/12/03","2.3100","479856.0000","2.3100","2.3400","2.2801"
"2014/12/02","2.3100","882919.0000","2.2700","2.3600","2.2700"
"2014/12/01","2.3100","1695478.0000","2.2300","2.3600","2.1800"
"2014/11/28","2.2800","588537.0000","2.3100","2.3100","2.2600"
"2014/11/26","2.3100","1263562.0000","2.2100","2.3200","2.1900"
"2014/11/25","2.2300","1300841.0000","2.1200","2.2500","2.1200"
"2014/11/24","2.1700","823051.0000","2.2000","2.2200","2.1500"
"2014/11/21","2.2000","1304837.0000","2.2200","2.2300","2.1600"
"2014/11/20","2.1900","1411334.0000","2.1000","2.2000","2.0900"
"2014/11/19","2.1000","713321.0000","2.2000","2.2020","2.1000"
"2014/11/18","2.2000","1821763.0000","2.1200","2.2300","2.1100"
"2014/11/17","2.1200","941720.0000","2.0900","2.2200","2.0800"
"2014/11/14","2.0800","820106.0000","2.1100","2.1300","2.0700"
"2014/11/13","2.1000","807313.0000","2.1500","2.1900","2.0900"
"2014/11/12","2.1500","1055633.0000","2.2300","2.2300","2.1400"
"2014/11/11","2.2100","591130.0000","2.2500","2.2800","2.2000"
"2014/11/10","2.2700","1844956.0000","2.2200","2.3000","2.2000"
"2014/11/07","2.1700","1673691.0000","2.0700","2.1700","2.0200"
"2014/11/06","2.0600","1053688.0000","2.1100","2.1500","2.0600"
"2014/11/05","2.1200","1069271.0000","2.1800","2.1900","2.1000"
"2014/11/04","2.1800","578840.0000","2.2200","2.2300","2.1800"
"2014/11/03","2.2200","523912.0000","2.2200","2.2500","2.2000"
"2014/10/31","2.2200","1463087.0000","2.2600","2.2900","2.2200"
"2014/10/30","2.2300","692412.0000","2.2500","2.2710","2.2100"
"2014/10/29","2.2500","932867.0000","2.2800","2.2800","2.1800"
"2014/10/28","2.2800","1387980.0000","2.2300","2.3600","2.2100"
"2014/10/27","2.2400","560192.0000","2.2800","2.2910","2.2200"
"2014/10/24","2.3000","777356.0000","2.3200","2.3500","2.2300"
"2014/10/23","2.3100","1005675.0000","2.2400","2.3200","2.1500"
"2014/10/22","2.2400","669407.0000","2.2700","2.3000","2.2200"
"2014/10/21","2.2900","2538273.0000","2.4900","2.5000","2.1600"
"2014/10/20","2.5100","1590107.0000","2.4300","2.5600","2.4235"
"2014/10/17","2.4000","2136294.0000","2.5600","2.6200","2.3200"
"2014/10/16","2.4600","3111156.0000","1.9800","2.4700","1.9700"
"2014/10/15","2.0100","1841395.0000","1.9700","2.0200","1.9100"
"2014/10/14","2.0200","1612150.0000","2.0500","2.0700","1.9300"
"2014/10/13","1.9400","854566.0000","1.9600","2.0200","1.9400"
"2014/10/10","1.9600","1402481.0000","2.0200","2.0800","1.9300"
"2014/10/09","2.0400","2465436.0000","2.0500","2.1500","1.9650"
"2014/10/08","2.0300","2604168.0000","2.0900","2.1200","1.9100"
"2014/10/07","2.1100","1746746.0000","2.1100","2.1400","2.1000"
"2014/10/06","2.1400","1768836.0000","2.3000","2.3200","2.1400"
"2014/10/03","2.2900","1020835.0000","2.2500","2.3300","2.2200"
"2014/10/02","2.2400","2641846.0000","2.3000","2.3600","2.1610"
"2014/10/01","2.3000","1496264.0000","2.3900","2.4000","2.3000"
"2014/09/30","2.3800","1265367.0000","2.3700","2.4200","2.3500"
"2014/09/29","2.3700","1193020.0000","2.3300","2.3900","2.3000"
"2014/09/26","2.3500","1170489.0000","2.2900","2.3600","2.2875"
"2014/09/25","2.2900","1563129.0000","2.2500","2.3300","2.2500"
"2014/09/24","2.2600","2739593.0000","2.2500","2.3600","2.2450"
"2014/09/23","2.2500","1237614.0000","2.3300","2.3300","2.2500"
"2014/09/22","2.3100","1317786.0000","2.3000","2.3350","2.2500"
"2014/09/19","2.3200","2497978.0000","2.4900","2.5300","2.2700"
"2014/09/18","2.4500","2897741.0000","2.2500","2.4500","2.2200"
"2014/09/17","2.2500","5575192.0000","2.5200","2.5300","2.2300"
"2014/09/16","2.5700","10186820.0000","2.7200","2.7800","2.5100"
"2014/09/15","3.8100","504681.0000","3.8700","3.8900","3.8050"
"2014/09/12","3.8700","1093582.0000","3.9400","3.9400","3.8330"
"2014/09/11","3.9600","512877.0000","3.9100","3.9600","3.9000"
"2014/09/10","3.9600","1618293.0000","3.8500","3.9800","3.8400"
"2014/09/09","3.8600","671145.0000","3.8500","3.8700","3.8100"
"2014/09/08","3.8300","581408.0000","3.9100","3.9200","3.8200"
"2014/09/05","3.9000","352711.0000","3.8900","3.9600","3.8890"
"2014/09/04","3.8900","501469.0000","3.9300","3.9900","3.8800"
"2014/09/03","3.9300","501148.0000","3.9500","3.9600","3.9200"
"2014/09/02","3.9500","873958.0000","3.9600","3.9800","3.9100"
"2014/08/29","3.9600","623175.0000","3.8800","3.9800","3.8700"
"2014/08/28","3.8800","888809.0000","3.9400","3.9800","3.8700"
"2014/08/27","3.9500","552203.0000","3.9800","4.0100","3.9200"
"2014/08/26","4.0000","1047940.0000","3.9800","4.0200","3.9400"
"2014/08/25","3.9800","1185479.0000","3.9100","4.0000","3.8600"
"2014/08/22","3.8700","1582953.0000","3.9300","4.0400","3.8600"
"2014/08/21","3.9500","918829.0000","3.9200","3.9700","3.9000"
"2014/08/20","3.9200","962820.0000","3.8500","3.9300","3.8300"
"2014/08/19","3.8500","440707.0000","3.8500","3.8900","3.8300"
"2014/08/18","3.8500","545174.0000","3.8500","3.8900","3.8200"
"2014/08/15","3.8400","905927.0000","3.8700","3.9100","3.7700"
"2014/08/14","3.8300","1139541.0000","3.6900","3.8400","3.6900"
"2014/08/13","3.6900","546048.0000","3.6900","3.7099","3.6500"
"2014/08/12","3.6600","417802.0000","3.6400","3.7000","3.6400"
"2014/08/11","3.6700","832144.0000","3.6200","3.7000","3.6000"
"2014/08/08","3.6000","1228742.0000","3.6600","3.7350","3.5800"
"2014/08/07","3.7200","732857.0000","3.7300","3.7800","3.6900"
"2014/08/06","3.6800","580244.0000","3.6500","3.7300","3.6400"
"2014/08/05","3.6500","840983.0000","3.6600","3.7200","3.6250"
"2014/08/04","3.7000","1340952.0000","3.6600","3.7600","3.6500"
"2014/08/01","3.6500","1509967.0000","3.7800","3.8000","3.6100"
"2014/07/31","3.7700","1214173.0000","3.8600","3.8700","3.7572"
"2014/07/30","3.8700","772746.0000","3.9400","4.0000","3.8600"
"2014/07/29","3.9500","615819.0000","4.0400","4.0600","3.9400"
"2014/07/28","4.0300","1110806.0000","3.9900","4.0900","3.9900"
"2014/07/25","3.9900","1207624.0000","3.9000","4.0300","3.8800"
"2014/07/24","3.9200","503601.0000","3.9400","3.9700","3.8900"
"2014/07/23","3.9100","2427770.0000","4.0100","4.0100","3.8700"
"2014/07/22","3.9900","2329266.0000","4.0500","4.1400","3.9700"
"2014/07/21","4.0500","1364318.0000","3.9500","4.0600","3.9400"
"2014/07/18","3.9600","1628322.0000","3.8100","3.9700","3.7700"
"2014/07/17","3.8100","1423527.0000","3.8700","3.8900","3.8000"
"2014/07/16","3.8700","1343300.0000","3.8200","3.9400","3.7500"
"2014/07/15","3.8100","871958.0000","3.8200","3.8850","3.8100"
"2014/07/14","3.8400","731050.0000","3.9300","3.9500","3.8300"
"2014/07/11","3.8900","660976.0000","3.8900","3.9600","3.8800"
"2014/07/10","3.9100","718636.0000","3.9300","3.9500","3.8600"
"2014/07/09","3.9900","972897.0000","3.9100","4.0000","3.9000"
"2014/07/08","3.8900","1553496.0000","3.9800","4.0100","3.8700"
"2014/07/07","3.9900","1509632.0000","4.1100","4.1200","3.9700"
"2014/07/03","4.1300","731882.0000","4.0700","4.1400","4.0500"
"2014/07/02","4.0900","1030734.0000","4.0900","4.1200","4.0200"
"2014/07/01","4.0500","1765765.0000","4.1000","4.1500","4.0200"
"2014/06/30","4.1000","3349194.0000","3.9400","4.1300","3.9100"
"2014/06/27","3.9200","3371487.0000","3.7100","3.9200","3.7080"
"2014/06/26","3.7100","1768048.0000","3.6100","3.7800","3.5700"
"2014/06/25","3.6000","3761468.0000","3.6000","3.6100","3.3200"
"2014/06/24","3.6600","2593485.0000","3.9050","3.9400","3.5700"
"2014/06/23","3.9000","2036691.0000","3.7600","3.9200","3.7400"
"2014/06/20","3.7300","1924399.0000","3.5700","3.7600","3.5300"
"2014/06/19","3.5300","1874424.0000","3.5200","3.5800","3.4770"
"2014/06/18","3.4900","1769603.0000","3.4700","3.5000","3.3901"
"2014/06/17","3.4700","2264421.0000","3.3000","3.4900","3.3000"
"2014/06/16","3.3100","1237615.0000","3.2600","3.3100","3.2320"
"2014/06/13","3.2600","917079.0000","3.2300","3.2700","3.2000"
"2014/06/12","3.2300","600249.0000","3.2000","3.2500","3.1800"
"2014/06/11","3.1800","1341350.0000","3.2500","3.2500","3.1500"
"2014/06/10","3.2500","747420.0000","3.2500","3.2600","3.2000"
"2014/06/09","3.2500","569955.0000","3.2600","3.2800","3.2300"
"2014/06/06","3.2500","472096.0000","3.2700","3.3000","3.2400"
"2014/06/05","3.2700","695524.0000","3.2300","3.2700","3.2200"
"2014/06/04","3.2300","829373.0000","3.2900","3.3100","3.2200"
"2014/06/03","3.2900","758202.0000","3.3000","3.3400","3.2700"
"2014/06/02","3.3100","807956.0000","3.3900","3.4000","3.3000"
"2014/05/30","3.4000","647986.0000","3.3700","3.4100","3.3500"
"2014/05/29","3.3700","893907.0000","3.2800","3.3700","3.2800"
"2014/05/28","3.2800","723703.0000","3.2800","3.3100","3.2500"
