2012-13,24,MIN,NBA,SG,77,16,1840,236,635,.372,85,288,.295,151,347,.435,.439,108,150,.720,41,134,175,286,54,27,147,117,665
2013-14,25,MIN,NBA,SG,63,0,664,76,237,.321,30,102,.294,46,135,.341,.384,68,90,.756,21,60,81,68,26,16,48,36,250
2014-15,26,TOT,NBA,SG,32,0,455,76,199,.382,26,85,.306,50,114,.439,.447,80,94,.851,15,33,48,63,19,1,29,26,258
2014-15,26,PHI,NBA,SG,17,0,285,52,130,.400,17,57,.298,35,73,.479,.465,48,57,.842,8,14,22,46,14,1,18,21,169
2014-15,26,HOU,NBA,SG,9,0,59,8,24,.333,4,12,.333,4,12,.333,.417,9,11,.818,1,3,4,3,1,0,5,2,29
2014-15,26,NYK,NBA,SG,6,0,111,16,45,.356,5,16,.313,11,29,.379,.411,23,26,.885,6,16,22,14,4,0,6,3,60
Career,,,NBA,,172,16,2959,388,1071,.362,141,475,.297,247,596,.414,.428,256,334,.766,77,227,304,417,99,44,224,179,1173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,140,16,2504,312,872,.358,115,390,.295,197,482,.409,.424,176,240,.733,62,194,256,354,80,43,195,153,915
1 season,,PHI,NBA,,17,0,285,52,130,.400,17,57,.298,35,73,.479,.465,48,57,.842,8,14,22,46,14,1,18,21,169
1 season,,HOU,NBA,,9,0,59,8,24,.333,4,12,.333,4,12,.333,.417,9,11,.818,1,3,4,3,1,0,5,2,29
1 season,,NYK,NBA,,6,0,111,16,45,.356,5,16,.313,11,29,.379,.411,23,26,.885,6,16,22,14,4,0,6,3,60
