2007-08,21,MIN,NBA,SF,79,35,1803,182,486,.374,7,36,.194,175,450,.389,.382,88,110,.800,82,210,292,111,76,25,89,188,459
2008-09,22,MIN,NBA,SF,15,8,307,37,90,.411,5,12,.417,32,78,.410,.439,14,19,.737,18,31,49,25,15,3,13,37,93
2009-10,23,MIN,NBA,SG,82,82,2482,409,949,.431,82,237,.346,327,712,.459,.474,166,256,.648,70,209,279,193,117,29,164,224,1066
2010-11,24,TOT,NBA,SF-SG,69,24,1510,193,488,.395,30,112,.268,163,376,.434,.426,136,192,.708,57,118,175,89,100,16,87,159,552
2010-11,24,MIN,NBA,SF,56,22,1362,168,437,.384,26,99,.263,142,338,.420,.414,121,171,.708,45,107,152,77,89,14,77,134,483
2010-11,24,DAL,NBA,SG,13,2,148,25,51,.490,4,13,.308,21,38,.553,.529,15,21,.714,12,11,23,12,11,2,10,25,69
2011-12,25,DEN,NBA,SF,59,17,1287,201,463,.434,33,127,.260,168,336,.500,.470,90,130,.692,43,107,150,88,72,17,56,113,525
2012-13,26,DEN,NBA,SF,82,2,2003,375,883,.425,91,307,.296,284,576,.493,.476,149,216,.690,55,180,235,124,118,23,102,154,990
2013-14,27,MIN,NBA,SF,81,81,2609,388,807,.481,59,211,.280,329,596,.552,.517,163,227,.718,63,144,207,135,151,30,105,210,998
2014-15,28,TOT,NBA,SF,59,17,1537,243,579,.420,52,183,.284,191,396,.482,.465,121,163,.742,60,141,201,140,94,12,99,138,659
2014-15,28,MIN,NBA,SF,24,16,680,94,225,.418,8,41,.195,86,184,.467,.436,55,78,.705,32,62,94,78,54,4,50,62,251
2014-15,28,HOU,NBA,SF,35,1,857,149,354,.421,44,142,.310,105,212,.495,.483,66,85,.776,28,79,107,62,40,8,49,76,408
Career,,,NBA,,526,266,13538,2028,4745,.427,359,1225,.293,1669,3520,.474,.465,927,1313,.706,448,1140,1588,905,743,155,715,1223,5342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIN,NBA,,337,244,9243,1278,2994,.427,187,636,.294,1091,2358,.463,.458,607,861,.705,310,763,1073,619,502,105,498,855,3350
2 seasons,,DEN,NBA,,141,19,3290,576,1346,.428,124,434,.286,452,912,.496,.474,239,346,.691,98,287,385,212,190,40,158,267,1515
1 season,,HOU,NBA,,35,1,857,149,354,.421,44,142,.310,105,212,.495,.483,66,85,.776,28,79,107,62,40,8,49,76,408
1 season,,DAL,NBA,,13,2,148,25,51,.490,4,13,.308,21,38,.553,.529,15,21,.714,12,11,23,12,11,2,10,25,69
