2006-07,19,MIL,NBA,PF,66,14,973,139,363,.383,54,148,.365,85,215,.395,.457,70,89,.787,58,131,189,49,27,17,51,147,402
2007-08,20,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
2008-09,21,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
2009-10,22,MIL,NBA,PF,81,31,1898,323,729,.443,81,241,.336,242,488,.496,.499,113,158,.715,157,360,517,84,53,23,71,251,840
2010-11,23,MIL,NBA,PF,60,34,1505,221,507,.436,36,121,.298,185,386,.479,.471,93,104,.894,105,260,365,56,51,24,63,159,571
2011-12,24,MIL,NBA,PF,60,41,1655,294,597,.492,51,112,.455,243,485,.501,.535,143,183,.781,196,333,529,71,42,44,76,133,782
2012-13,25,MIL,NBA,PF,73,54,2012,371,803,.462,95,214,.444,276,589,.469,.521,125,157,.796,154,366,520,117,68,36,75,185,962
2013-14,26,MIL,NBA,PF,55,47,1478,237,579,.409,37,131,.282,200,448,.446,.441,107,130,.823,107,235,342,72,46,8,61,135,618
2014-15,27,MIL,NBA,PF,37,15,726,143,307,.466,34,100,.340,109,207,.527,.521,37,58,.638,45,110,155,28,20,11,32,87,357
Career,,,NBA,,432,236,10247,1728,3885,.445,388,1067,.364,1340,2818,.476,.495,688,879,.783,822,1795,2617,477,307,163,429,1097,4532
