2008-09,22,SAS,NBA,PG,77,7,1270,150,372,.403,24,73,.329,126,299,.421,.435,114,146,.781,30,128,158,136,45,21,74,150,438
2009-10,23,SAS,NBA,PG,78,43,2276,353,738,.478,75,188,.399,278,550,.505,.529,183,237,.772,42,163,205,226,69,26,101,222,964
2010-11,24,SAS,NBA,PG,76,5,2148,287,633,.453,77,204,.377,210,429,.490,.514,233,270,.863,24,175,199,193,66,21,99,153,884
2011-12,25,IND,NBA,PG,50,9,1274,168,380,.442,54,147,.367,114,233,.489,.513,91,117,.778,31,120,151,145,42,17,52,98,481
2012-13,26,IND,NBA,PG,76,76,2620,386,871,.443,130,353,.368,256,518,.494,.518,174,213,.817,47,237,284,355,81,26,116,134,1076
2013-14,27,IND,NBA,PG,76,76,2434,272,616,.442,95,260,.365,177,356,.497,.519,142,176,.807,53,230,283,265,75,23,92,158,781
2014-15,28,IND,NBA,PG,21,14,534,106,238,.445,31,84,.369,75,154,.487,.511,53,70,.757,11,69,80,93,19,6,28,42,296
Career,,,NBA,,454,230,12556,1722,3848,.448,486,1309,.371,1236,2539,.487,.511,990,1229,.806,238,1122,1360,1413,397,140,562,957,4920
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,231,55,5694,790,1743,.453,176,465,.378,614,1278,.480,.504,530,653,.812,96,466,562,555,180,68,274,525,2286
4 seasons,,IND,NBA,,223,175,6862,932,2105,.443,310,844,.367,622,1261,.493,.516,460,576,.799,142,656,798,858,217,72,288,432,2634
