2007-08,21,SAS,NBA,C,6,0,23,6,12,.500,0,0,,6,12,.500,.500,9,9,1.000,0,5,5,1,0,4,2,4,21
2008-09,22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2009-10,23,SAS,NBA,C,26,0,165,35,55,.636,0,0,,35,55,.636,.636,31,47,.660,13,39,52,2,3,8,15,32,101
2010-11,24,DAL,NBA,C,56,0,488,55,98,.561,0,2,.000,55,96,.573,.561,63,82,.768,43,77,120,8,14,15,25,105,173
2011-12,25,DAL,NBA,C,61,12,1139,130,238,.546,0,1,.000,130,237,.549,.546,94,147,.639,108,181,289,12,38,31,50,176,354
2012-13,26,IND,NBA,C,80,2,1322,149,329,.453,0,2,.000,149,327,.456,.453,104,171,.608,115,196,311,27,39,66,92,201,402
2013-14,27,IND,NBA,C,77,1,1248,91,189,.481,0,1,.000,91,188,.484,.481,90,145,.621,107,150,257,24,41,72,58,207,272
2014-15,28,IND,NBA,C,39,5,733,83,142,.585,0,0,,83,142,.585,.585,21,65,.323,68,171,239,22,19,23,40,107,187
Career,,,NBA,,345,20,5118,549,1063,.516,0,6,.000,549,1057,.519,.516,412,666,.619,454,819,1273,96,154,219,282,832,1510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,196,8,3303,323,660,.489,0,3,.000,323,657,.492,.489,215,381,.564,290,517,807,73,99,161,190,515,861
2 seasons,,DAL,NBA,,117,12,1627,185,336,.551,0,3,.000,185,333,.556,.551,157,229,.686,151,258,409,20,52,46,75,281,527
2 seasons,,SAS,NBA,,32,0,188,41,67,.612,0,0,,41,67,.612,.612,40,56,.714,13,44,57,3,3,12,17,36,122
