2009-10,20,OKC,NBA,SG,76,0,1738,233,578,.403,93,248,.375,140,330,.424,.484,194,240,.808,47,197,244,137,80,20,106,200,753
2010-11,21,OKC,NBA,SG,82,5,2189,298,684,.436,113,324,.349,185,360,.514,.518,289,343,.843,42,213,255,176,92,24,106,207,998
2011-12,22,OKC,NBA,SG,62,2,1946,309,629,.491,114,292,.390,195,337,.579,.582,312,369,.846,30,222,252,229,62,15,137,150,1044
2012-13 ★,23,HOU,NBA,SG,78,78,2985,585,1337,.438,179,486,.368,406,851,.477,.504,674,792,.851,62,317,379,455,142,38,295,178,2023
2013-14 ★,24,HOU,NBA,SG,73,73,2777,549,1205,.456,177,483,.366,372,722,.515,.529,576,665,.866,61,283,344,446,115,29,265,177,1851
2014-15 ★,25,HOU,NBA,SG,60,60,2204,482,1078,.447,157,414,.379,325,664,.489,.520,494,570,.867,55,291,346,422,116,50,240,155,1615
Career,,,NBA,,431,218,13839,2456,5511,.446,833,2247,.371,1623,3264,.497,.521,2539,2979,.852,297,1523,1820,1865,607,176,1149,1067,8284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,220,7,5873,840,1891,.444,320,864,.370,520,1027,.506,.529,795,952,.835,119,632,751,542,234,59,349,557,2795
3 seasons,,HOU,NBA,,211,211,7966,1616,3620,.446,513,1383,.371,1103,2237,.493,.517,1744,2027,.860,178,891,1069,1323,373,117,800,510,5489
