2007-08,21,SEA,NBA,SF,80,52,2253,320,749,.427,21,76,.276,299,673,.444,.441,177,238,.744,101,278,379,119,46,49,158,198,838
2008-09,22,OKC,NBA,PF,78,78,2873,476,1068,.446,96,247,.389,380,821,.463,.491,242,307,.788,120,399,519,155,81,33,173,202,1290
2009-10,23,OKC,NBA,PF,82,82,3043,485,1070,.453,104,312,.333,381,758,.503,.502,165,223,.740,112,378,490,134,104,72,135,221,1239
2010-11,24,TOT,NBA,PF-SF,75,51,2427,368,820,.449,64,211,.303,304,609,.499,.488,198,244,.811,73,287,360,108,53,37,99,210,998
2010-11,24,OKC,NBA,PF,49,49,1815,270,618,.437,56,184,.304,214,434,.493,.482,148,181,.818,57,217,274,89,40,21,76,142,744
2010-11,24,BOS,NBA,SF,26,2,612,98,202,.485,8,27,.296,90,175,.514,.505,50,63,.794,16,70,86,19,13,16,23,68,254
2011-12,25,Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition),Did Not Play (illness—heart condition)
2012-13,26,BOS,NBA,PF,81,17,2252,376,806,.467,70,182,.385,306,624,.490,.510,214,265,.808,55,263,318,128,56,68,132,175,1036
2013-14,27,BOS,NBA,SF,82,82,2805,482,1171,.412,135,396,.341,347,775,.448,.469,283,356,.795,54,326,380,138,57,47,165,180,1382
2014-15,28,TOT,NBA,SF,56,52,1767,300,714,.420,69,223,.309,231,491,.470,.468,180,215,.837,45,186,231,99,38,24,79,105,849
2014-15,28,BOS,NBA,SF,33,33,1093,206,475,.434,47,154,.305,159,321,.495,.483,121,144,.840,21,120,141,53,27,13,56,66,580
2014-15,28,MEM,NBA,SF,23,19,674,94,239,.393,22,69,.319,72,170,.424,.439,59,71,.831,24,66,90,46,11,11,23,39,269
Career,,,NBA,,534,414,17420,2807,6398,.439,559,1647,.339,2248,4751,.473,.482,1459,1848,.790,560,2117,2677,881,435,330,941,1291,7632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SEAOKC,NBA,,289,261,9984,1551,3505,.443,277,819,.338,1274,2686,.474,.482,732,949,.771,390,1272,1662,497,271,175,542,763,4111
4 seasons,,BOS,NBA,,222,134,6762,1162,2654,.438,260,759,.343,902,1895,.476,.487,668,828,.807,146,779,925,338,153,144,376,489,3252
1 season,,MEM,NBA,,23,19,674,94,239,.393,22,69,.319,72,170,.424,.439,59,71,.831,24,66,90,46,11,11,23,39,269
