2010-11,22,GSW,NBA,PG,29,0,285,28,72,.389,1,5,.200,27,67,.403,.396,19,25,.760,12,22,34,42,33,9,18,31,76
2011-12,23,NYK,NBA,PG,35,25,940,171,383,.446,24,75,.320,147,308,.477,.478,146,183,.798,18,89,107,216,55,9,126,78,512
2012-13,24,HOU,NBA,PG,82,82,2640,396,897,.441,87,257,.339,309,640,.483,.490,216,275,.785,32,215,247,497,134,29,236,205,1095
2013-14,25,HOU,NBA,PG,71,33,2054,295,662,.446,82,229,.358,213,433,.492,.508,218,265,.823,34,153,187,294,68,27,176,166,890
2014-15,26,LAL,NBA,PG,59,23,1522,226,515,.439,54,147,.367,172,368,.467,.491,146,189,.772,18,130,148,279,68,22,130,154,652
Career,,,NBA,,276,163,7441,1116,2529,.441,248,713,.348,868,1816,.478,.490,745,937,.795,114,609,723,1328,358,96,686,634,3225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,153,115,4694,691,1559,.443,169,486,.348,522,1073,.486,.497,434,540,.804,66,368,434,791,202,56,412,371,1985
1 season,,LAL,NBA,,59,23,1522,226,515,.439,54,147,.367,172,368,.467,.491,146,189,.772,18,130,148,279,68,22,130,154,652
1 season,,NYK,NBA,,35,25,940,171,383,.446,24,75,.320,147,308,.477,.478,146,183,.798,18,89,107,216,55,9,126,78,512
1 season,,GSW,NBA,,29,0,285,28,72,.389,1,5,.200,27,67,.403,.396,19,25,.760,12,22,34,42,33,9,18,31,76
