2011-12,22,MIL,NBA,PF,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
2012-13,23,TOT,NBA,PF-C,28,0,187,25,52,.481,0,3,.000,25,49,.510,.481,6,13,.462,13,24,37,8,6,0,8,21,56
2012-13,23,CLE,NBA,C,9,0,91,10,28,.357,0,3,.000,10,25,.400,.357,2,6,.333,5,8,13,5,2,0,5,11,22
2012-13,23,MEM,NBA,PF,19,0,96,15,24,.625,0,0,,15,24,.625,.625,4,7,.571,8,16,24,3,4,0,3,10,34
2013-14,24,MEM,NBA,PF,49,0,642,121,246,.492,23,49,.469,98,197,.497,.539,37,47,.787,37,121,158,20,18,13,27,63,302
2014-15,25,MEM,NBA,PF,55,6,771,114,257,.444,7,27,.259,107,230,.465,.457,36,57,.632,46,150,196,44,17,9,31,80,271
Career,,,NBA,,178,18,2155,357,746,.479,33,88,.375,324,658,.492,.501,100,145,.690,141,370,511,97,55,39,84,231,847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,123,6,1509,250,527,.474,30,76,.395,220,451,.488,.503,77,111,.694,91,287,378,67,39,22,61,153,607
1 season,,MIL,NBA,,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
1 season,,CLE,NBA,,9,0,91,10,28,.357,0,3,.000,10,25,.400,.357,2,6,.333,5,8,13,5,2,0,5,11,22
