2011-12,21,DEN,NBA,SF,26,2,258,48,111,.432,17,47,.362,31,64,.484,.509,2,5,.400,11,51,62,20,4,3,16,15,115
2012-13,22,DEN,NBA,SF,40,1,397,84,201,.418,27,73,.370,57,128,.445,.485,13,26,.500,32,63,95,23,15,8,19,24,208
2013-14,23,TOT,NBA,SF,60,12,1019,147,376,.391,70,198,.354,77,178,.433,.484,40,51,.784,32,162,194,52,44,20,46,67,404
2013-14,23,DEN,NBA,SF,39,11,670,99,254,.390,45,129,.349,54,125,.432,.478,23,31,.742,23,110,133,34,31,13,27,31,266
2013-14,23,HOU,NBA,SF,21,1,349,48,122,.393,25,69,.362,23,53,.434,.496,17,20,.850,9,52,61,18,13,7,19,36,138
2014-15,24,LAC,NBA,SF,4,2,46,5,13,.385,3,7,.429,2,6,.333,.500,0,0,,1,5,6,1,0,0,0,7,13
Career,,,NBA,,130,17,1720,284,701,.405,117,325,.360,167,376,.444,.489,55,82,.671,76,281,357,96,63,31,81,113,740
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,105,14,1325,231,566,.408,89,249,.357,142,317,.448,.487,38,62,.613,66,224,290,77,50,24,62,70,589
1 season,,HOU,NBA,,21,1,349,48,122,.393,25,69,.362,23,53,.434,.496,17,20,.850,9,52,61,18,13,7,19,36,138
1 season,,LAC,NBA,,4,2,46,5,13,.385,3,7,.429,2,6,.333,.500,0,0,,1,5,6,1,0,0,0,7,13
