2009-10,19,PHI,NBA,PG,73,51,1767,230,520,.442,62,159,.390,168,361,.465,.502,65,86,.756,56,135,191,280,79,18,156,153,587
2010-11,20,PHI,NBA,PG,82,82,2901,446,999,.446,81,222,.365,365,777,.470,.487,172,209,.823,68,264,332,531,120,29,218,203,1145
2011-12,21,PHI,NBA,PG,65,65,2196,360,834,.432,65,171,.380,295,663,.445,.471,94,120,.783,57,155,212,290,103,18,135,137,879
2012-13 ★,22,PHI,NBA,PG,78,78,2926,555,1288,.431,91,247,.368,464,1041,.446,.466,182,242,.752,89,240,329,625,123,32,292,170,1383
2013-14,23,NOP,NBA,PG,34,34,1143,203,454,.447,30,77,.390,173,377,.459,.480,51,63,.810,28,114,142,268,56,12,105,92,487
2014-15,24,NOP,NBA,PG,37,37,1247,226,509,.444,47,128,.367,179,381,.470,.490,63,74,.851,30,100,130,263,60,23,89,103,562
Career,,,NBA,,369,347,12180,2020,4604,.439,376,1004,.375,1644,3600,.457,.480,627,794,.790,328,1008,1336,2257,541,132,995,858,5043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,298,276,9790,1591,3641,.437,299,799,.374,1292,2842,.455,.478,513,657,.781,270,794,1064,1726,425,97,801,663,3994
2 seasons,,NOP,NBA,,71,71,2390,429,963,.445,77,205,.376,352,758,.464,.485,114,137,.832,58,214,272,531,116,35,194,195,1049
