2011-12,23,NOH,NBA,PF,42,10,630,57,126,.452,0,1,.000,57,125,.456,.452,52,62,.839,49,77,126,12,10,7,24,78,166
2012-13,24,NOH,NBA,SF,59,9,646,53,106,.500,0,0,,53,106,.500,.500,43,59,.729,44,71,115,17,11,7,14,78,149
2013-14,25,NOP,NBA,SF,5,0,42,2,9,.222,0,0,,2,9,.222,.222,2,4,.500,2,5,7,3,0,0,2,4,6
2014-15,26,TOT,NBA,SF-PF,40,16,879,111,278,.399,0,2,.000,111,276,.402,.399,45,63,.714,43,94,137,45,20,5,44,56,267
2014-15,26,OKC,NBA,SF,22,13,450,45,126,.357,0,1,.000,45,125,.360,.357,23,33,.697,28,47,75,20,11,0,17,38,113
2014-15,26,NYK,NBA,PF,18,3,429,66,152,.434,0,1,.000,66,151,.437,.434,22,30,.733,15,47,62,25,9,5,27,18,154
Career,,,NBA,,146,35,2197,223,519,.430,0,3,.000,223,516,.432,.430,142,188,.755,138,247,385,77,41,19,84,216,588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOHNOP,NBA,,106,19,1318,112,241,.465,0,1,.000,112,240,.467,.465,97,125,.776,95,153,248,32,21,14,40,160,321
1 season,,OKC,NBA,,22,13,450,45,126,.357,0,1,.000,45,125,.360,.357,23,33,.697,28,47,75,20,11,0,17,38,113
1 season,,NYK,NBA,,18,3,429,66,152,.434,0,1,.000,66,151,.437,.434,22,30,.733,15,47,62,25,9,5,27,18,154
