2011-12,22,PHI,NBA,PF,41,15,624,79,167,.473,0,0,,79,167,.473,.473,11,14,.786,47,124,171,34,13,18,20,73,169
2012-13,23,PHI,NBA,C,79,37,1669,206,454,.454,0,1,.000,206,453,.455,.454,43,60,.717,159,236,395,73,24,55,55,180,455
2013-14,24,TOT,NBA,PF,65,2,1072,134,300,.447,2,13,.154,132,287,.460,.450,33,50,.660,119,192,311,71,24,33,44,126,303
2013-14,24,PHI,NBA,PF,51,2,960,117,266,.440,2,13,.154,115,253,.455,.444,27,40,.675,106,171,277,65,22,27,40,115,263
2013-14,24,IND,NBA,PF,14,0,112,17,34,.500,0,0,,17,34,.500,.500,6,10,.600,13,21,34,6,2,6,4,11,40
2014-15,25,IND,NBA,PF,46,0,916,127,257,.494,0,0,,127,257,.494,.494,30,43,.698,107,173,280,61,13,37,30,84,284
Career,,,NBA,,231,54,4281,546,1178,.463,2,14,.143,544,1164,.467,.464,117,167,.701,432,725,1157,239,74,143,149,463,1211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,171,54,3253,402,887,.453,2,14,.143,400,873,.458,.454,81,114,.711,312,531,843,172,59,100,115,368,887
2 seasons,,IND,NBA,,60,0,1028,144,291,.495,0,0,,144,291,.495,.495,36,53,.679,120,194,314,67,15,43,34,95,324
