2004-05,19,CHI,NBA,SF,61,45,1663,280,645,.434,31,117,.265,249,528,.472,.458,120,162,.741,92,230,322,135,48,27,118,98,711
2005-06,20,CHI,NBA,SF,78,56,2604,442,954,.463,21,78,.269,421,876,.481,.474,207,276,.750,127,389,516,147,72,50,105,128,1112
2006-07,21,CHI,NBA,SF,82,82,3071,630,1218,.517,1,7,.143,629,1211,.519,.518,279,359,.777,148,431,579,204,97,48,153,167,1540
2007-08,22,CHI,NBA,SF,63,59,2128,429,896,.479,8,22,.364,421,874,.482,.483,204,265,.770,136,258,394,155,57,29,120,117,1070
2008-09,23,CHI,NBA,SF,49,46,1665,265,591,.448,8,20,.400,257,571,.450,.455,152,191,.796,80,215,295,94,60,25,72,85,690
2009-10,24,CHI,NBA,SF,70,69,2651,473,1014,.466,32,83,.386,441,931,.474,.482,252,330,.764,131,381,512,143,66,61,134,129,1230
2010-11,25,CHI,NBA,SF,82,82,3208,531,1155,.460,115,333,.345,416,822,.506,.510,253,336,.753,116,360,476,230,78,48,156,162,1430
2011-12 ★,26,CHI,NBA,SF,54,54,2129,311,755,.412,79,215,.367,232,540,.430,.464,127,165,.770,77,273,350,157,56,36,96,81,828
2012-13 ★,27,CHI,NBA,SF,75,75,2903,466,1093,.426,75,233,.322,391,860,.455,.461,230,282,.816,162,314,476,222,81,32,144,105,1237
2013-14,28,TOT,NBA,SF,63,63,2213,371,860,.431,57,189,.302,314,671,.468,.465,212,268,.791,99,262,361,183,62,9,114,111,1011
2013-14,28,CHI,NBA,SF,23,23,860,160,354,.452,17,62,.274,143,292,.490,.476,101,124,.815,40,118,158,85,24,4,59,53,438
2013-14,28,CLE,NBA,SF,40,40,1353,211,506,.417,40,127,.315,171,379,.451,.457,111,144,.771,59,144,203,98,38,5,55,58,573
2014-15,29,MIA,NBA,SF,54,54,1801,286,584,.490,59,157,.376,227,427,.532,.540,155,205,.756,76,196,272,102,52,17,91,83,786
Career,,,NBA,,731,685,26036,4484,9765,.459,486,1454,.334,3998,8311,.481,.484,2191,2839,.772,1244,3309,4553,1772,729,382,1303,1266,11645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CHI,NBA,,637,591,22882,3987,8675,.460,387,1170,.331,3600,7505,.480,.482,1925,2490,.773,1109,2969,4078,1572,639,360,1157,1125,10286
1 season,,MIA,NBA,,54,54,1801,286,584,.490,59,157,.376,227,427,.532,.540,155,205,.756,76,196,272,102,52,17,91,83,786
1 season,,CLE,NBA,,40,40,1353,211,506,.417,40,127,.315,171,379,.451,.457,111,144,.771,59,144,203,98,38,5,55,58,573
