2003-04,23,LAC,NBA,SF,38,9,724,63,138,.457,2,13,.154,61,125,.488,.464,43,61,.705,53,98,151,48,27,3,44,76,171
2004-05,24,SAC,NBA,SF,43,9,715,62,151,.411,5,22,.227,57,129,.442,.427,35,58,.603,49,84,133,57,30,7,45,80,164
2005-06,25,TOT,NBA,PF-SF,56,5,631,70,140,.500,3,15,.200,67,125,.536,.511,32,47,.681,48,73,121,28,20,7,30,100,175
2005-06,25,NYK,NBA,SF,6,5,93,11,30,.367,1,4,.250,10,26,.385,.383,3,4,.750,7,17,24,6,4,0,6,8,26
2005-06,25,PHI,NBA,PF,50,0,538,59,110,.536,2,11,.182,57,99,.576,.545,29,43,.674,41,56,97,22,16,7,24,92,149
2006-07,26,GSW,NBA,PF,76,23,1813,275,628,.438,106,290,.366,169,338,.500,.522,90,123,.732,91,259,350,156,73,41,105,188,746
2007-08,27,GSW,NBA,PF,73,18,1414,187,442,.423,53,181,.293,134,261,.513,.483,59,79,.747,94,230,324,139,48,36,85,159,486
2008-09,28,PHO,NBA,PF,77,40,2082,285,674,.423,117,341,.343,168,333,.505,.510,101,136,.743,79,342,421,212,52,26,130,209,788
2009-10,29,ORL,NBA,SF,81,58,2097,271,557,.487,66,207,.319,205,350,.586,.546,108,146,.740,106,339,445,134,59,30,112,185,716
2010-11,30,LAL,NBA,SF,53,0,1020,131,279,.470,34,107,.318,97,172,.564,.530,60,77,.779,73,155,228,71,39,22,58,127,356
2011-12,31,LAL,NBA,SF,63,16,1440,175,387,.452,46,138,.333,129,249,.518,.512,95,128,.742,97,247,344,126,35,48,73,152,491
2012-13,32,LAC,NBA,SF,80,4,2058,312,675,.462,111,325,.342,201,350,.574,.544,87,117,.744,111,255,366,123,82,63,90,233,822
2013-14,33,LAC,NBA,SF,63,40,1735,231,527,.438,97,283,.343,134,244,.549,.530,66,90,.733,60,232,292,125,56,28,85,185,625
2014-15,34,LAC,NBA,SF,58,56,1711,202,449,.450,93,252,.369,109,197,.553,.553,60,76,.789,36,196,232,85,49,37,65,179,557
Career,,,NBA,,761,278,17440,2264,5047,.449,733,2174,.337,1531,2873,.533,.521,836,1138,.735,897,2510,3407,1304,570,348,922,1873,6097
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAC,NBA,,239,109,6228,808,1789,.452,303,873,.347,505,916,.551,.536,256,344,.744,260,781,1041,381,214,131,284,673,2175
2 seasons,,GSW,NBA,,149,41,3227,462,1070,.432,159,471,.338,303,599,.506,.506,149,202,.738,185,489,674,295,121,77,190,347,1232
2 seasons,,LAL,NBA,,116,16,2460,306,666,.459,80,245,.327,226,421,.537,.520,155,205,.756,170,402,572,197,74,70,131,279,847
1 season,,ORL,NBA,,81,58,2097,271,557,.487,66,207,.319,205,350,.586,.546,108,146,.740,106,339,445,134,59,30,112,185,716
1 season,,PHO,NBA,,77,40,2082,285,674,.423,117,341,.343,168,333,.505,.510,101,136,.743,79,342,421,212,52,26,130,209,788
1 season,,PHI,NBA,,50,0,538,59,110,.536,2,11,.182,57,99,.576,.545,29,43,.674,41,56,97,22,16,7,24,92,149
1 season,,SAC,NBA,,43,9,715,62,151,.411,5,22,.227,57,129,.442,.427,35,58,.603,49,84,133,57,30,7,45,80,164
1 season,,NYK,NBA,,6,5,93,11,30,.367,1,4,.250,10,26,.385,.383,3,4,.750,7,17,24,6,4,0,6,8,26
