2008-09,20,MIA,NBA,PF,81,19,2009,452,957,.472,33,81,.407,419,876,.478,.490,186,241,.772,110,329,439,83,41,37,121,184,1123
2009-10,21,MIA,NBA,PF,78,78,2328,468,1040,.450,28,102,.275,440,938,.469,.463,192,240,.800,123,375,498,100,80,49,131,221,1156
2010-11,22,MIN,NBA,SF,73,73,2361,561,1246,.450,60,164,.366,501,1082,.463,.474,219,291,.753,118,291,409,158,54,52,195,222,1401
2011-12,23,MIN,NBA,SF,47,7,1087,221,497,.445,38,101,.376,183,396,.462,.483,61,95,.642,39,168,207,45,18,19,80,83,541
2012-13,24,PHO,NBA,SF,75,20,1554,310,766,.405,45,144,.313,265,622,.426,.434,94,126,.746,52,230,282,111,31,34,144,107,759
2013-14,25,MIA,NBA,SF,55,2,831,177,355,.499,21,54,.389,156,301,.518,.528,61,79,.772,31,141,172,42,23,21,57,93,436
2014-15,26,MIA,NBA,SF,4,0,82,14,35,.400,2,6,.333,12,29,.414,.429,2,2,1.000,2,13,15,2,3,1,6,15,32
Career,,,NBA,,413,199,10252,2203,4896,.450,227,652,.348,1976,4244,.466,.473,815,1074,.759,475,1547,2022,541,250,213,734,925,5448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,218,99,5250,1111,2387,.465,84,243,.346,1027,2144,.479,.483,441,562,.785,266,858,1124,227,147,108,315,513,2747
2 seasons,,MIN,NBA,,120,80,3448,782,1743,.449,98,265,.370,684,1478,.463,.477,280,386,.725,157,459,616,203,72,71,275,305,1942
1 season,,PHO,NBA,,75,20,1554,310,766,.405,45,144,.313,265,622,.426,.434,94,126,.746,52,230,282,111,31,34,144,107,759
