2012-13,24,IND,NBA,C,14,0,55,5,21,.238,0,0,,5,21,.238,.238,3,4,.750,12,10,22,2,0,3,3,5,13
2013-14,25,PHO,NBA,C,80,79,1964,286,553,.517,0,0,,286,553,.517,.517,74,132,.561,198,428,626,43,50,90,111,185,646
2014-15,26,TOT,NBA,C,59,28,1057,114,213,.535,0,0,,114,213,.535,.535,20,40,.500,101,184,285,31,37,61,47,103,248
2014-15,26,PHO,NBA,C,54,28,1005,107,195,.549,0,0,,107,195,.549,.549,19,38,.500,95,179,274,27,35,55,45,99,233
2014-15,26,MIL,NBA,C,5,0,52,7,18,.389,0,0,,7,18,.389,.389,1,2,.500,6,5,11,4,2,6,2,4,15
Career,,,NBA,,153,107,3076,405,787,.515,0,0,,405,787,.515,.515,97,176,.551,311,622,933,76,87,154,161,293,907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,134,107,2969,393,748,.525,0,0,,393,748,.525,.525,93,170,.547,293,607,900,70,85,145,156,284,879
1 season,,IND,NBA,,14,0,55,5,21,.238,0,0,,5,21,.238,.238,3,4,.750,12,10,22,2,0,3,3,5,13
1 season,,MIL,NBA,,5,0,52,7,18,.389,0,0,,7,18,.389,.389,1,2,.500,6,5,11,4,2,6,2,4,15
