2011-12,23,MIA,NBA,PG,65,2,1260,177,450,.393,21,76,.276,156,374,.417,.417,66,85,.776,21,70,91,133,44,2,105,124,441
2012-13,24,MIA,NBA,PG,80,4,1590,179,425,.421,35,98,.357,144,327,.440,.462,52,80,.650,18,112,130,164,57,7,104,155,445
2013-14,25,MIA,NBA,PG,82,6,2014,207,500,.414,60,174,.345,147,326,.451,.474,53,68,.779,17,143,160,248,77,5,127,156,527
2014-15,26,TOT,NBA,PG,54,23,1338,147,372,.395,33,124,.266,114,248,.460,.440,42,61,.689,12,110,122,190,45,10,69,94,369
2014-15,26,MIA,NBA,PG,47,23,1148,118,306,.386,27,102,.265,91,204,.446,.430,32,46,.696,12,96,108,165,42,8,58,75,295
2014-15,26,NOP,NBA,PG,7,0,190,29,66,.439,6,22,.273,23,44,.523,.485,10,15,.667,0,14,14,25,3,2,11,19,74
Career,,,NBA,,281,35,6202,710,1747,.406,149,472,.316,561,1275,.440,.449,213,294,.724,68,435,503,735,223,24,405,529,1782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,274,35,6012,681,1681,.405,143,450,.318,538,1231,.437,.448,203,279,.728,68,421,489,710,220,22,394,510,1708
1 season,,NOP,NBA,,7,0,190,29,66,.439,6,22,.273,23,44,.523,.485,10,15,.667,0,14,14,25,3,2,11,19,74
