2008-09,21,MEM,NBA,SG,82,82,3120,562,1283,.438,145,378,.384,417,905,.461,.495,247,281,.879,56,252,308,262,91,13,226,204,1516
2009-10,22,MEM,NBA,SG,82,82,3113,542,1183,.458,136,355,.383,406,828,.490,.516,212,262,.809,61,250,311,242,98,17,176,174,1432
2010-11,23,MEM,NBA,SG,71,17,1869,304,747,.407,96,264,.364,208,483,.431,.471,99,131,.756,35,135,170,145,73,26,99,127,803
2011-12,24,MEM,NBA,SG,66,0,1771,300,736,.408,100,275,.364,200,461,.434,.476,133,172,.773,30,180,210,169,71,23,124,137,833
2012-13,25,DAL,NBA,SG,82,82,2913,461,1026,.449,142,349,.407,319,677,.471,.519,191,233,.820,36,255,291,361,93,23,210,195,1255
2013-14,26,MIL,NBA,SG,52,23,1346,224,550,.407,84,227,.370,140,323,.433,.484,76,88,.864,24,100,124,113,28,13,95,111,608
2014-15,27,MIL,NBA,SG,57,15,1418,246,587,.419,81,227,.357,165,360,.458,.488,99,118,.839,26,127,153,161,43,16,104,137,672
Career,,,NBA,,492,301,15550,2639,6112,.432,784,2075,.378,1855,4037,.459,.496,1057,1285,.823,268,1299,1567,1453,497,131,1034,1085,7119
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,301,181,9873,1708,3949,.433,477,1272,.375,1231,2677,.460,.493,691,846,.817,182,817,999,818,333,79,625,642,4584
2 seasons,,MIL,NBA,,109,38,2764,470,1137,.413,165,454,.363,305,683,.447,.486,175,206,.850,50,227,277,274,71,29,199,248,1280
1 season,,DAL,NBA,,82,82,2913,461,1026,.449,142,349,.407,319,677,.471,.519,191,233,.820,36,255,291,361,93,23,210,195,1255
