2012-13,22,TOR,NBA,PF,29,0,342,42,75,.560,1,2,.500,41,73,.562,.567,31,38,.816,30,47,77,11,13,15,17,53,116
2013-14,23,TOT,NBA,SF,63,0,847,66,141,.468,4,15,.267,62,126,.492,.482,35,53,.660,72,144,216,28,23,26,30,122,171
2013-14,23,TOR,NBA,SF,7,0,61,6,14,.429,2,5,.400,4,9,.444,.500,5,8,.625,5,10,15,4,4,3,2,8,19
2013-14,23,SAC,NBA,SF,56,0,786,60,127,.472,2,10,.200,58,117,.496,.480,30,45,.667,67,134,201,24,19,23,28,114,152
2014-15,24,NYK,NBA,PF,51,21,976,111,235,.472,10,34,.294,101,201,.502,.494,46,63,.730,65,167,232,49,19,15,48,113,278
Career,,,NBA,,143,21,2165,219,451,.486,15,51,.294,204,400,.510,.502,112,154,.727,167,358,525,88,55,56,95,288,565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,SAC,NBA,,56,0,786,60,127,.472,2,10,.200,58,117,.496,.480,30,45,.667,67,134,201,24,19,23,28,114,152
1 season,,NYK,NBA,,51,21,976,111,235,.472,10,34,.294,101,201,.502,.494,46,63,.730,65,167,232,49,19,15,48,113,278
2 seasons,,TOR,NBA,,36,0,403,48,89,.539,3,7,.429,45,82,.549,.556,36,46,.783,35,57,92,15,17,18,19,61,135
