2009-10,20,SAC,NBA,SG,72,72,2677,533,1165,.458,36,141,.255,497,1024,.485,.473,348,465,.748,66,314,380,414,109,26,216,204,1450
2010-11,21,SAC,NBA,SG,57,53,2107,382,933,.409,43,148,.291,339,785,.432,.432,205,266,.771,46,229,275,319,85,30,184,143,1012
2011-12,22,SAC,NBA,SG,63,61,2162,408,900,.453,20,99,.202,388,801,.484,.464,201,258,.779,64,225,289,283,84,29,171,136,1037
2012-13,23,SAC,NBA,SG,65,61,2016,366,765,.478,45,133,.338,321,632,.508,.508,210,271,.775,56,231,287,229,90,27,128,133,987
2013-14,24,NOP,NBA,SF,72,22,2028,391,897,.436,21,95,.221,370,802,.461,.448,239,310,.771,76,265,341,363,84,21,175,155,1042
2014-15,25,NOP,NBA,SF,60,57,2078,396,914,.433,50,173,.289,346,741,.467,.461,166,236,.703,62,256,318,389,71,24,181,151,1008
Career,,,NBA,,389,326,13068,2476,5574,.444,215,789,.272,2261,4785,.473,.463,1369,1806,.758,370,1520,1890,1997,523,157,1055,922,6536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,257,247,8962,1689,3763,.449,144,521,.276,1545,3242,.477,.468,964,1260,.765,232,999,1231,1245,368,112,699,616,4486
2 seasons,,NOP,NBA,,132,79,4106,787,1811,.435,71,268,.265,716,1543,.464,.454,405,546,.742,138,521,659,752,155,45,356,306,2050
