2010-11,23,MIN,NBA,SG,79,63,2069,271,682,.397,103,289,.356,168,393,.427,.473,64,92,.696,51,189,240,148,58,54,95,163,709
2011-12,24,MIN,NBA,SF,65,64,1469,158,397,.398,53,169,.314,105,228,.461,.465,24,34,.706,24,153,177,59,35,48,60,115,393
2012-13,25,PHO,NBA,SF,50,21,953,161,396,.407,50,155,.323,111,241,.461,.470,27,35,.771,21,102,123,34,22,18,48,56,399
2013-14,26,LAL,NBA,SF,79,62,2240,277,651,.425,100,271,.369,177,380,.466,.502,61,77,.792,70,278,348,124,86,77,90,207,715
2014-15,27,LAL,NBA,SF,56,40,1609,198,474,.418,70,190,.368,128,284,.451,.492,65,79,.823,46,168,214,95,43,35,58,113,531
Career,,,NBA,,329,250,8340,1065,2600,.410,376,1074,.350,689,1526,.452,.482,241,317,.760,212,890,1102,460,244,232,351,654,2747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,144,127,3538,429,1079,.398,156,458,.341,273,621,.440,.470,88,126,.698,75,342,417,207,93,102,155,278,1102
2 seasons,,LAL,NBA,,135,102,3849,475,1125,.422,170,461,.369,305,664,.459,.498,126,156,.808,116,446,562,219,129,112,148,320,1246
1 season,,PHO,NBA,,50,21,953,161,396,.407,50,155,.323,111,241,.461,.470,27,35,.771,21,102,123,34,22,18,48,56,399
