2001-02,20,POR,NBA,PF,41,0,238,48,107,.449,0,0,,48,107,.449,.449,18,27,.667,31,38,69,13,7,4,15,29,114
2002-03,21,POR,NBA,PF,77,11,1301,264,515,.513,0,5,.000,264,510,.518,.513,122,161,.758,139,204,343,41,42,14,62,141,650
2003-04,22,POR,NBA,PF,81,80,3067,663,1368,.485,1,5,.200,662,1363,.486,.485,299,393,.761,242,609,851,163,68,41,247,227,1626
2004-05,23,POR,NBA,PF,46,37,1603,332,741,.448,0,6,.000,332,735,.452,.448,207,254,.815,142,300,442,86,34,17,112,112,871
2005-06,24,POR,NBA,PF,74,71,2545,536,1229,.436,16,55,.291,520,1174,.443,.443,245,343,.714,193,399,592,144,57,14,165,185,1333
2006-07,25,POR,NBA,PF,68,67,2425,600,1286,.467,14,48,.292,586,1238,.473,.472,394,481,.819,199,489,688,147,53,15,215,184,1608
2007-08,26,NYK,NBA,C,69,68,2244,486,1058,.459,22,80,.275,464,978,.474,.470,223,289,.772,184,526,710,140,59,16,186,194,1217
2008-09,27,TOT,NBA,PF-C,50,45,1757,415,873,.475,32,97,.330,383,776,.494,.494,179,244,.734,157,347,504,103,43,16,114,133,1041
2008-09,27,NYK,NBA,C,11,11,388,82,189,.434,7,24,.292,75,165,.455,.452,55,67,.821,40,97,137,15,13,3,23,28,226
2008-09,27,LAC,NBA,PF,39,34,1369,333,684,.487,25,73,.342,308,611,.504,.505,124,177,.701,117,250,367,88,30,13,91,105,815
2009-10 ★,28,MEM,NBA,PF,81,81,3051,652,1336,.488,15,52,.288,637,1284,.496,.494,362,465,.778,330,620,950,149,80,34,174,226,1681
2010-11,29,MEM,NBA,PF,75,74,2724,598,1188,.503,8,43,.186,590,1145,.515,.507,300,396,.758,326,588,914,163,63,25,151,175,1504
2011-12,30,MEM,NBA,PF,28,8,735,132,285,.463,2,8,.250,130,277,.469,.467,58,88,.659,78,147,225,48,21,4,40,57,324
2012-13 ★,31,MEM,NBA,PF,76,75,2607,471,1024,.460,2,23,.087,469,1001,.469,.461,225,300,.750,310,544,854,108,61,31,150,180,1169
2013-14,32,MEM,NBA,PF,79,79,2705,560,1198,.467,2,20,.100,558,1178,.474,.468,250,337,.742,265,530,795,200,54,23,183,210,1372
2014-15,33,MEM,NBA,PF,50,50,1632,328,671,.489,5,10,.500,323,661,.489,.493,163,218,.748,178,402,580,91,48,12,109,120,824
Career,,,NBA,,895,746,28634,6085,12879,.472,119,452,.263,5966,12427,.480,.477,3045,3996,.762,2774,5743,8517,1596,690,266,1923,2173,15334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MEM,NBA,,389,367,13454,2741,5702,.481,34,156,.218,2707,5546,.488,.484,1358,1804,.753,1487,2831,4318,759,327,129,807,968,6874
6 seasons,,POR,NBA,,387,266,11179,2443,5246,.466,31,119,.261,2412,5127,.470,.469,1285,1659,.775,946,2039,2985,594,261,105,816,878,6202
2 seasons,,NYK,NBA,,80,79,2632,568,1247,.455,29,104,.279,539,1143,.472,.467,278,356,.781,224,623,847,155,72,19,209,222,1443
1 season,,LAC,NBA,,39,34,1369,333,684,.487,25,73,.342,308,611,.504,.505,124,177,.701,117,250,367,88,30,13,91,105,815
