Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,CLE,35,22,2,,27.0,6-7,224,,57,13705,2145,4684,.458,523,1474,.355,1622,3210,.505,1034,1377,.751,643,1796,2439,1248,416,233,793,1036,5847
2013-14,NBA,CLE,33,49,3,,24.9,6-6,217,,82,19930,3036,6955,.437,584,1640,.356,2452,5315,.461,1398,1861,.751,989,2629,3618,1738,579,304,1163,1640,8054
2012-13,NBA,CLE,24,58,5,,24.1,6-6,216,,82,19730,2993,6901,.434,547,1581,.346,2446,5320,.460,1380,1826,.756,1004,2359,3363,1694,647,334,1149,1737,7913
2011-12,NBA,CLE,21,45,5,,26.0,6-6,215,,66,15965,2261,5360,.422,440,1273,.346,1821,4087,.446,1178,1645,.716,841,1949,2790,1308,466,262,1017,1317,6140
2010-11,NBA,CLE,19,63,5,,26.6,6-6,215,,82,19755,2886,6647,.434,509,1489,.342,2377,5158,.461,1546,2075,.745,856,2449,3305,1720,544,341,1166,1648,7827
2009-10,NBA,CLE,61,21,1,,28.0,6-7,224,,82,19780,3101,6391,.485,602,1582,.381,2499,4809,.520,1569,2180,.720,791,2692,3483,1835,564,425,1137,1591,8373
2008-09,NBA,CLE,66,16,1,,26.6,6-7,218,,82,19780,3022,6454,.468,656,1670,.393,2366,4784,.495,1523,2012,.757,886,2574,3460,1663,593,435,1045,1663,8223
2007-08,NBA,CLE,45,37,2,,27.1,6-7,219,,82,19855,2937,6697,.439,552,1544,.358,2385,5153,.463,1477,2061,.717,1092,2563,3655,1640,579,427,1145,1712,7903
2006-07,NBA,CLE,50,32,2,,26.9,6-7,216,,82,19880,2978,6658,.447,494,1404,.352,2484,5254,.473,1484,2133,.696,1039,2529,3568,1708,625,353,1177,1781,7934
2005-06,NBA,CLE,50,32,2,,27.1,6-7,216,,82,19830,2908,6412,.454,497,1465,.339,2411,4947,.487,1689,2318,.729,959,2511,3470,1560,567,392,1137,1733,8002
2004-05,NBA,CLE,42,40,4,,26.5,6-8,224,,82,19855,2990,6687,.447,300,904,.332,2690,5783,.465,1634,2174,.752,1117,2352,3469,1851,654,461,1141,1850,7914
2003-04,NBA,CLE,35,47,5,,24.9,6-8,229,,82,19855,2922,6753,.433,247,786,.314,2675,5967,.448,1528,2030,.753,1118,2619,3737,1808,585,537,1216,1743,7619
2002-03,NBA,CLE,17,65,8,,23.5,6-7,221,,82,19830,2850,6746,.422,293,896,.327,2557,5850,.437,1502,2012,.747,1118,2542,3660,1712,636,521,1501,1864,7495
2001-02,NBA,CLE,29,53,7,,26.0,6-7,220,,82,19855,2948,6582,.448,387,1026,.377,2561,5556,.461,1529,1980,.772,968,2483,3451,1891,572,470,1196,1752,7812
