Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,DEN,20,36,4,,26.6,6-6,221,,56,13540,2080,4847,.429,413,1321,.313,1667,3526,.473,1020,1382,.738,686,1831,2517,1201,403,266,787,1287,5593
2013-14,NBA,DEN,36,46,4,,26.0,6-6,214,,82,19755,3147,7042,.447,702,1959,.358,2445,5083,.481,1563,2154,.726,1009,2717,3726,1838,615,459,1305,1890,8559
2012-13,NBA,DEN,57,25,2,,26.1,6-7,216,,82,19905,3339,6983,.478,521,1518,.343,2818,5465,.516,1505,2148,.701,1092,2601,3693,2002,762,533,1253,1682,8704
2011-12,NBA,DEN,38,28,2,,26.6,6-6,218,,66,16040,2572,5404,.476,435,1311,.332,2137,4093,.522,1293,1760,.735,738,2105,2843,1581,540,330,1015,1297,6872
2010-11,NBA,DEN,50,32,2,,27.3,6-6,224,,82,19705,3145,6613,.476,662,1704,.388,2483,4909,.506,1859,2429,.765,791,2652,3443,1813,605,352,1157,1719,8811
2009-10,NBA,DEN,53,29,1,,27.7,6-6,225,,82,19780,3124,6678,.468,544,1517,.359,2580,5161,.500,1937,2508,.772,889,2505,3394,1719,683,417,1136,1844,8729
2008-09,NBA,DEN,54,28,1,,27.7,6-6,224,,82,19730,3058,6510,.470,548,1477,.371,2510,5033,.499,1891,2487,.760,905,2507,3412,1820,710,492,1257,1874,8555
2007-08,NBA,DEN,50,32,2,,28.5,6-6,214,,82,19855,3307,7038,.470,569,1605,.355,2738,5433,.504,1891,2519,.751,918,2698,3616,2024,752,551,1203,1731,9074
2006-07,NBA,DEN,45,37,2,,26.5,6-6,215,,82,19780,3164,6805,.465,484,1440,.336,2680,5365,.500,1827,2449,.746,1001,2558,3559,1920,678,435,1352,1756,8639
2005-06,NBA,DEN,44,38,1,,27.4,6-5,213,,82,19930,3078,6672,.461,350,1076,.325,2728,5596,.487,1721,2312,.744,903,2486,3389,1921,698,463,1216,1863,8227
2004-05,NBA,DEN,49,33,2,,26.7,6-6,213,,82,19755,3038,6615,.459,320,940,.340,2718,5675,.479,1765,2313,.763,967,2473,3440,1958,750,489,1224,1878,8161
2003-04,NBA,DEN,43,39,6,,25.6,6-6,215,,82,19730,2993,6763,.443,331,985,.336,2662,5778,.461,1655,2159,.767,1083,2387,3470,1794,745,520,1278,1804,7972
2002-03,NBA,DEN,17,65,7,,24.1,6-7,221,,82,19730,2689,6544,.411,229,824,.278,2460,5720,.430,1294,1850,.699,1112,2363,3475,1737,712,422,1514,2056,6901
2001-02,NBA,DEN,27,55,6,,28.2,6-6,213,,82,19805,2915,6870,.424,423,1285,.329,2492,5585,.446,1306,1756,.744,1117,2310,3427,1817,613,462,1205,1873,7559
