Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Detroit Pistons,23,33,.411,4,-1.27,93.3,-0.5,104.9,-0.7,106.0,0.4,,S. Van Gundy (23-33),G. Monroe (5.0)
2013-14,NBA,Detroit Pistons,29,53,.354,4,-4.13,94.9,1.0,105.9,-0.8,109.7,3.0,,M. Cheeks (21-29) J. Loyer (8-24),A. Drummond (9.9)
2012-13,NBA,Detroit Pistons,29,53,.354,4,-4.33,90.8,-1.2,103.8,-2.1,108.1,2.2,,L. Frank (29-53),G. Monroe (5.9)
2011-12,NBA,Detroit Pistons,25,41,.379,4,-5.19,89.2,-2.1,101.0,-3.6,106.3,1.7,,L. Frank (25-41),G. Monroe (7.0)
2010-11,NBA,Detroit Pistons,30,52,.366,4,-3.78,89.2,-2.9,107.7,0.4,111.7,4.4,,J. Kuester (30-52),G. Monroe (6.6)
2009-10,NBA,Detroit Pistons,27,55,.329,5,-5.02,88.5,-4.2,105.6,-2.0,111.4,3.8,,J. Kuester (27-55),B. Wallace (4.7)
2008-09,NBA,Detroit Pistons*,39,43,.476,3,-0.36,86.7,-5.0,107.4,-0.9,108.0,-0.3,Lost E. Conf. 1st Rnd.,M. Curry (39-43),T. Prince (6.2)
2007-08,NBA,Detroit Pistons*,59,23,.720,1,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,Lost E. Conf. Finals,F. Saunders (59-23),C. Billups (13.5)
2006-07,NBA,Detroit Pistons*,53,29,.646,1,3.69,87.3,-4.6,108.9,2.4,104.2,-2.3,Lost E. Conf. Finals,F. Saunders (53-29),C. Billups (11.4)
2005-06,NBA,Detroit Pistons*,64,18,.780,1,6.24,86.8,-3.7,110.8,4.6,103.1,-3.1,Lost E. Conf. Finals,F. Saunders (64-18),C. Billups (15.5)
2004-05,NBA,Detroit Pistons*,54,28,.659,1,3.31,87.2,-3.7,105.6,-0.5,101.2,-4.9,Lost Finals,L. Brown (54-28),C. Billups (12.1)
2003-04,NBA,Detroit Pistons*,54,28,.659,2,5.04,87.9,-2.2,102.0,-0.9,95.4,-7.5,Won Finals,L. Brown (54-28),C. Billups (11.3)
2002-03,NBA,Detroit Pistons*,50,32,.610,1,2.97,86.8,-4.2,104.1,0.5,99.9,-3.7,Lost E. Conf. Finals,R. Carlisle (50-32),B. Wallace (10.6)
2001-02,NBA,Detroit Pistons*,50,32,.610,1,1.69,90.0,-0.7,104.8,0.3,102.4,-2.1,Lost E. Conf. Semis,R. Carlisle (50-32),B. Wallace (11.6)
2000-01,NBA,Detroit Pistons,32,50,.390,5,-2.08,94.7,3.4,100.0,-3.0,101.8,-1.2,,G. Irvine (32-50),J. Stackhouse (9.2)
1999-00,NBA,Detroit Pistons*,42,40,.512,4,1.13,95.7,2.6,107.3,3.2,105.8,1.7,Lost E. Conf. 1st Rnd.,A. Gentry (28-30) G. Irvine (14-10),G. Hill (10.7)
1998-99,NBA,Detroit Pistons*,29,21,.580,3,3.97,86.3,-2.6,104.2,2.0,100.3,-1.9,Lost E. Conf. 1st Rnd.,A. Gentry (29-21),G. Hill (7.3)
1997-98,NBA,Detroit Pistons,37,45,.451,6,1.95,88.2,-2.1,105.3,0.3,103.5,-1.5,,D. Collins (21-24) A. Gentry (16-21),G. Hill (10.2)
1996-97,NBA,Detroit Pistons*,54,28,.659,3,5.45,84.5,-5.6,110.6,3.9,104.4,-2.3,Lost E. Conf. 1st Rnd.,D. Collins (54-28),G. Hill (14.6)
1995-96,NBA,Detroit Pistons*,46,36,.561,5,2.45,87.7,-4.1,107.9,0.3,105.1,-2.5,Lost E. Conf. 1st Rnd.,D. Collins (46-36),G. Hill (11.7)
1994-95,NBA,Detroit Pistons,28,54,.341,7,-7.08,93.2,0.3,105.1,-3.2,112.9,4.6,,D. Chaney (28-54),G. Hill (5.4)
1993-94,NBA,Detroit Pistons,20,62,.244,7,-7.46,94.2,-0.9,102.7,-3.6,110.9,4.6,,D. Chaney (20-62),T. Mills (6.3)
1992-93,NBA,Detroit Pistons,40,42,.488,6,-1.10,93.2,-3.6,107.4,-0.6,108.9,0.9,,R. Rothstein (40-42),J. Dumars (9.1)
1991-92,NBA,Detroit Pistons*,48,34,.585,3,2.06,91.6,-5.0,107.5,-0.7,105.3,-2.9,Lost E. Conf. 1st Rnd.,C. Daly (48-34),D. Rodman (12.6)
1990-91,NBA,Detroit Pistons*,50,32,.610,2,3.08,91.9,-5.9,108.2,0.3,104.6,-3.3,Lost E. Conf. Finals,C. Daly (50-32),J. Dumars (9.9)
1989-90,NBA,Detroit Pistons*,59,23,.720,1,5.41,94.4,-3.9,109.9,1.8,103.5,-4.6,Won Finals,C. Daly (59-23),B. Laimbeer (10.1)
1988-89,NBA,Detroit Pistons*,63,19,.768,1,6.24,95.5,-5.1,110.8,3.0,104.7,-3.1,Won Finals,C. Daly (63-19),B. Laimbeer (9.0)
1987-88,NBA,Detroit Pistons*,54,28,.659,1,5.46,98.3,-1.3,110.5,2.5,105.3,-2.7,Lost Finals,C. Daly (54-28),A. Dantley (9.4)
1986-87,NBA,Detroit Pistons*,52,30,.634,2,3.51,101.0,0.2,109.2,0.9,105.8,-2.5,Lost E. Conf. Finals,C. Daly (52-30),B. Laimbeer (10.5)
1985-86,NBA,Detroit Pistons*,46,36,.561,3,1.44,104.2,2.1,109.0,1.8,107.9,0.7,Lost E. Conf. 1st Rnd.,C. Daly (46-36),B. Laimbeer (9.2)
1984-85,NBA,Detroit Pistons*,46,36,.561,2,2.73,105.0,2.9,109.6,1.7,107.2,-0.7,Lost E. Conf. Semis,C. Daly (46-36),I. Thomas (11.2)
1983-84,NBA,Detroit Pistons*,49,33,.598,2,3.52,103.8,2.4,111.5,3.9,108.1,0.5,Lost E. Conf. 1st Rnd.,C. Daly (49-33),B. Laimbeer (10.8)
1982-83,NBA,Detroit Pistons,37,45,.451,3,-0.17,105.8,2.7,105.4,0.7,105.8,1.1,,S. Robertson (37-45),B. Laimbeer (8.5)
