Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,DET,23,33,4,,25.7,6-6,221,,56,13515,2052,4787,.429,486,1411,.344,1566,3376,.464,922,1301,.709,721,1815,2536,1190,435,247,763,1059,5512
2013-14,NBA,DET,29,53,4,,24.7,6-6,222,,82,19780,3182,7124,.447,507,1580,.321,2675,5544,.483,1415,2111,.670,1196,2525,3721,1714,687,395,1193,1666,8286
2012-13,NBA,DET,29,53,4,,25.3,6-7,225,,82,19805,2979,6638,.449,513,1440,.356,2466,5198,.474,1307,1870,.699,991,2463,3454,1742,574,400,1241,1623,7778
2011-12,NBA,DET,25,41,4,,26.3,6-6,220,,66,15965,2291,5232,.438,317,916,.346,1974,4316,.457,1098,1461,.752,775,1882,2657,1232,460,278,1033,1293,5997
2010-11,NBA,DET,30,52,4,,27.2,6-7,217,,82,19880,3056,6647,.460,472,1256,.376,2584,5391,.479,1367,1854,.737,931,2236,3167,1730,595,328,1067,1629,7951
2009-10,NBA,DET,27,55,5,,26.7,6-7,218,,82,19780,2940,6602,.445,374,1190,.314,2566,5412,.474,1455,1998,.728,1053,2242,3295,1591,596,313,1100,1822,7709
2008-09,NBA,DET,39,43,3,,28.2,6-6,212,,82,19905,2981,6559,.454,377,1079,.349,2604,5480,.475,1388,1849,.751,949,2448,3397,1689,493,377,973,1712,7727
2007-08,NBA,DET,59,23,1,,28.3,6-7,214,,82,19730,2999,6551,.458,487,1330,.366,2512,5221,.481,1507,1965,.767,974,2423,3397,1831,583,472,956,1688,7992
2006-07,NBA,DET,53,29,1,,29.0,6-7,213,,82,19880,2942,6484,.454,449,1305,.344,2493,5179,.481,1539,1988,.774,948,2374,3322,1768,583,472,1001,1672,7872
2005-06,NBA,DET,64,18,1,,28.5,6-7,214,,82,19830,2983,6558,.455,557,1451,.384,2426,5107,.475,1418,1950,.727,975,2347,3322,1971,580,490,931,1513,7941
2004-05,NBA,DET,54,28,1,,27.9,6-7,211,,82,19955,2851,6421,.444,363,1053,.345,2488,5368,.463,1588,2150,.739,1054,2507,3561,1787,576,497,1133,1638,7653
2003-04,NBA,DET,54,28,2,,27.4,6-6,214,,82,19780,2747,6314,.435,333,968,.344,2414,5346,.452,1561,2074,.753,1014,2492,3506,1702,659,570,1241,1664,7388
2002-03,NBA,DET,50,32,1,,29.0,6-6,215,,82,19905,2700,6277,.430,533,1488,.358,2167,4789,.452,1559,2021,.771,883,2445,3328,1620,556,468,1104,1748,7492
2001-02,NBA,DET,50,32,1,,29.5,6-6,214,,82,19680,2845,6300,.452,567,1509,.376,2278,4791,.475,1478,1954,.756,810,2366,3176,1765,648,565,1193,1695,7735
