Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,GSW,43,10,1,,26.6,6-7,212,,53,12770,2207,4610,.479,556,1439,.386,1651,3171,.521,877,1132,.775,551,1835,2386,1437,497,323,780,1053,5847
2013-14,NBA,GSW,51,31,2,,26.3,6-7,215,,82,19830,3236,7005,.462,774,2037,.380,2462,4968,.496,1303,1731,.753,896,2819,3715,1912,642,407,1247,1784,8549
2012-13,NBA,GSW,47,35,2,,25.3,6-7,220,,82,19805,3130,6840,.458,658,1632,.403,2472,5208,.475,1378,1744,.790,885,2801,3686,1845,567,346,1236,1753,8296
2011-12,NBA,GSW,23,43,4,,25.3,6-6,215,,66,15915,2489,5443,.457,524,1351,.388,1965,4092,.480,951,1235,.770,640,1947,2587,1470,528,362,915,1410,6453
2010-11,NBA,GSW,36,46,3,,25.2,6-6,210,,82,19830,3251,7047,.461,685,1749,.392,2566,5298,.484,1290,1695,.761,955,2370,3325,1847,737,406,1198,1806,8477
2009-10,NBA,GSW,26,56,4,,25.1,6-5,208,,82,19730,3329,7094,.469,633,1687,.375,2696,5407,.499,1631,2085,.782,753,2397,3150,1839,761,340,1204,1886,8922
2008-09,NBA,GSW,29,53,3,,25.0,6-6,211,,82,19880,3231,7055,.458,550,1475,.373,2681,5580,.480,1893,2392,.791,953,2492,3445,1711,638,527,1201,1842,8905
2007-08,NBA,GSW,48,34,3,,25.5,6-6,214,,82,19780,3403,7406,.459,761,2185,.348,2642,5221,.506,1538,2044,.752,1045,2496,3541,1833,744,377,1082,1875,9105
2006-07,NBA,GSW,42,40,3,,24.6,6-6,217,,82,19755,3261,7048,.463,700,1967,.356,2561,5081,.504,1515,2113,.717,940,2456,3396,1950,750,466,1309,1933,8737
2005-06,NBA,GSW,34,48,5,,25.6,6-6,222,,82,19830,2939,6785,.433,625,1832,.341,2314,4953,.467,1573,2190,.718,980,2485,3465,1694,604,357,1156,1941,8076
2004-05,NBA,GSW,34,48,5,,26.7,6-6,220,,82,19905,3029,7039,.430,624,1774,.352,2405,5265,.457,1412,1955,.722,1069,2436,3505,1811,642,420,1112,1833,8094
2003-04,NBA,GSW,37,45,4,,28.1,6-6,220,,82,19855,2875,6511,.442,429,1283,.334,2446,5228,.468,1470,2028,.725,1002,2533,3535,1681,576,389,1211,1691,7649
2002-03,NBA,GSW,38,44,6,,24.4,6-6,220,,82,19755,3061,6941,.441,425,1235,.344,2636,5706,.462,1853,2382,.778,1284,2546,3830,1712,594,506,1295,1786,8400
2001-02,NBA,GSW,21,61,7,,24.8,6-7,224,,82,19780,2998,6989,.429,320,994,.322,2678,5995,.447,1693,2344,.722,1334,2493,3827,1706,650,523,1378,1884,8009
2000-01,NBA,GSW,17,65,7,,26.6,6-6,216,,82,19780,2937,7175,.409,282,964,.293,2655,6211,.427,1428,2024,.706,1345,2385,3730,1788,742,410,1301,1727,7584
1999-00,NBA,GSW,19,63,6,,26.9,6-6,215,,82,19755,2996,7140,.420,345,1069,.323,2651,6071,.437,1497,2147,.697,1300,2438,3738,1851,731,356,1302,2043,7834
1998-99,NBA,GSW,21,29,6,,28.1,6-5,213,,50,12125,1730,4173,.415,162,565,.287,1568,3608,.435,794,1175,.676,816,1559,2375,1037,414,221,768,1270,4416
1997-98,NBA,GSW,19,63,6,,25.9,6-6,217,,82,19830,2845,6883,.413,189,696,.272,2656,6187,.429,1358,1912,.710,1288,2473,3761,1708,621,448,1369,1859,7237
1996-97,NBA,GSW,30,52,7,,26.7,6-6,208,,82,19905,2997,6567,.456,481,1363,.353,2516,5204,.483,1696,2180,.778,1086,2259,3345,1822,611,359,1410,1787,8171
1995-96,NBA,GSW,36,46,6,,27.0,6-6,205,,82,19755,3056,6700,.456,447,1199,.373,2609,5501,.474,1775,2340,.759,1173,2285,3458,1889,706,470,1343,1835,8334
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,GSW,26,56,6,,26.0,6-6,209,,82,19905,3217,6873,.468,546,1602,.341,2671,5271,.507,1687,2395,.704,1101,2371,3472,2017,649,391,1497,1804,8667
1993-94,NBA,GSW,50,32,3,,25.0,6-5,210,,82,19780,3512,7145,.492,291,859,.339,3221,6286,.512,1529,2304,.664,1183,2396,3579,2198,804,511,1433,1789,8844
1992-93,NBA,GSW,34,48,6,,25.0,6-5,213,,82,19905,3474,7212,.482,298,852,.350,3176,6360,.499,1768,2465,.717,1219,2384,3603,2010,693,383,1451,2056,9014
1991-92,NBA,GSW,55,27,2,,25.5,6-5,210,,82,19880,3767,7427,.507,254,763,.333,3513,6664,.527,1944,2606,.746,1137,2376,3513,2064,854,375,1353,2049,9732
1990-91,NBA,GSW,44,38,4,,26.5,6-5,208,,82,19805,3566,7346,.485,270,801,.337,3296,6545,.504,2162,2761,.783,1113,2306,3419,1954,803,378,1359,2207,9564
1989-90,NBA,GSW,37,45,5,,26.0,6-6,202,,82,19705,3489,7208,.484,243,750,.324,3246,6458,.503,2313,2858,.809,915,2385,3300,1978,756,488,1415,2010,9534
1988-89,NBA,GSW,43,39,4,,26.0,6-7,201,,82,19905,3730,7977,.468,194,629,.308,3536,7348,.481,1904,2384,.799,1323,2561,3884,2009,831,643,1488,1946,9558
1987-88,NBA,GSW,20,62,5,,25.4,6-7,205,,82,19780,3463,7404,.468,91,312,.292,3372,7092,.475,1754,2204,.796,1140,2252,3392,2005,741,283,1395,2155,8771
1986-87,NBA,GSW,42,40,3,,26.9,6-7,204,,82,19905,3551,7412,.479,116,364,.319,3435,7048,.487,1970,2526,.780,1193,2351,3544,2083,715,321,1354,2138,9188
1985-86,NBA,GSW,30,52,6,,26.8,6-6,203,,82,19780,3650,7567,.482,87,278,.313,3563,7289,.489,1912,2517,.760,1271,2344,3615,2018,751,354,1400,2032,9299
1984-85,NBA,GSW,22,60,6,,26.1,6-6,201,,82,19855,3498,7555,.463,112,397,.282,3386,7158,.473,1944,2531,.768,1327,2139,3466,1759,803,284,1460,2136,9052
1983-84,NBA,GSW,37,45,5,,25.6,6-7,199,,82,19830,3519,7534,.467,55,226,.243,3464,7308,.474,1915,2577,.743,1390,2171,3561,1837,830,348,1518,2108,9008
1982-83,NBA,GSW,30,52,5,,24.7,6-6,200,,82,19780,3627,7508,.483,34,150,.227,3593,7358,.488,1620,2199,.737,1281,2284,3565,1964,856,430,1606,2138,8908
1981-82,NBA,GSW,45,37,4,,25.1,6-6,203,,82,19780,3646,7349,.496,91,325,.280,3555,7024,.506,1709,2382,.717,1282,2452,3734,1820,685,391,1424,2225,9092
1980-81,NBA,GSW,39,43,4,,24.4,6-6,203,,82,19730,3560,7284,.489,60,210,.286,3500,7074,.495,1826,2513,.727,1403,2366,3769,2026,611,301,1547,2158,9006
1979-80,NBA,GSW,24,58,6,,26.3,6-6,203,,82,19880,3527,7318,.482,27,121,.223,3500,7197,.486,1412,1914,.738,1155,2437,3592,2028,779,339,1492,2082,8493
1978-79,NBA,GSW,38,44,6,,25.2,6-6,204,,82,19780,3627,7453,.487,,,,3627,7453,.487,1367,1872,.730,1169,2513,3682,2064,774,420,1500,2023,8621
1977-78,NBA,GSW,43,39,5,,26.6,6-6,204,,82,19780,3574,7654,.467,,,,3574,7654,.467,1550,2081,.745,1183,2629,3812,2097,873,405,1518,2113,8698
1976-77,NBA,GSW,46,36,3,,25.8,6-5,198,,82,19780,3724,7832,.475,,,,3724,7832,.475,1649,2172,.759,1300,2639,3939,2120,904,432,1624,2058,9097
1975-76,NBA,GSW,59,23,1,,25.5,6-5,197,,82,19830,3691,7982,.462,,,,3691,7982,.462,1620,2158,.751,1349,2912,4261,2041,928,416,1613,2022,9002
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,NBA,GSW,48,34,1,,25.8,6-5,198,,82,19780,3714,7981,.465,,,,3714,7981,.465,1470,1915,.768,1416,2854,4270,2076,972,365,1716,2109,8898
1973-74,NBA,GSW,44,38,2,,28.4,6-6,200,,82,19705,3721,8020,.464,,,,3721,8020,.464,1569,2018,.778,1379,3035,4414,1989,668,450,1667,1893,9011
1972-73,NBA,GSW,47,35,2,,28.6,6-6,199,,82,19730,3715,8163,.455,,,,3715,8163,.455,1493,1871,.798,,,4405,1985,,,,1693,8923
1971-72,NBA,GSW,51,31,2,,27.7,6-6,200,,82,19705,3477,7923,.439,,,,3477,7923,.439,1917,2500,.767,,,4450,1854,,,,1840,8871
1970-71,NBA,SFW,41,41,2,,27.4,6-6,202,,82,19705,3454,7709,.448,,,,3454,7709,.448,1875,2468,.760,,,4643,1893,,,,1833,8783
1969-70,NBA,SFW,30,52,6,,26.7,6-6,199,,82,19830,3555,8224,.432,,,,3555,8224,.432,2004,2646,.757,,,4772,1861,,,,2050,9114
1968-69,NBA,SFW,41,41,3,,26.4,6-6,201,,82,19905,3414,8218,.415,,,,3414,8218,.415,2119,2949,.719,,,5109,1822,,,,2087,8947
1967-68,NBA,SFW,43,39,3,,26.2,6-6,202,,82,19805,3632,8587,.423,,,,3632,8587,.423,2334,3153,.740,,,6029,1901,,,,2265,9598
1966-67,NBA,SFW,44,37,1,,25.3,6-5,200,,81,19590,3814,8818,.433,,,,3814,8818,.433,2283,3021,.756,,,5974,1876,,,,2120,9911
1965-66,NBA,SFW,35,45,4,,25.6,6-5,202,,80,19225,3557,8512,.418,,,,3557,8512,.418,2129,2879,.739,,,5727,1872,,,,2069,9243
1964-65,NBA,SFW,17,63,5,,25.6,6-5,210,,80,19350,3323,8245,.403,,,,3323,8245,.403,1819,2844,.640,,,5715,1653,,,,2002,8465
1963-64,NBA,SFW,48,32,1,,25.5,6-6,211,,80,,3407,7779,.438,,,,3407,7779,.438,1800,2821,.638,,,5499,1899,,,,1978,8614
1962-63,NBA,SFW,31,49,4,,25.7,6-5,212,,80,,3805,8449,.450,,,,3805,8449,.450,1870,2797,.669,,,5359,1906,,,,1882,9480
1961-62,NBA,PHW,49,31,2,,26.5,6-5,211,,80,,3917,8929,.439,,,,3917,8929,.439,2201,3207,.686,,,5939,2073,,,,2013,10035
1960-61,NBA,PHW,46,33,2,,27.0,6-5,211,,79,,3768,8883,.424,,,,3768,8883,.424,2022,3108,.651,,,5938,1959,,,,1936,9558
1959-60,NBA,PHW,49,26,2,,26.2,6-6,214,,75,,3549,8678,.409,,,,3549,8678,.409,1797,2686,.669,,,5916,1796,,,,1715,8895
1958-59,NBA,PHW,32,40,4,,26.9,6-4,200,,72,,2826,7423,.381,,,,2826,7423,.381,1783,2425,.735,,,4910,1375,,,,1776,7435
1957-58,NBA,PHW,37,35,3,,26.8,6-5,199,,72,,2765,7276,.380,,,,2765,7276,.380,1977,2596,.762,,,4836,1441,,,,1763,7507
1956-57,NBA,PHW,37,35,3,,26.7,6-4,194,,72,,2584,6533,.396,,,,2584,6533,.396,2062,2658,.776,,,4305,1467,,,,1732,7230
1955-56,NBA,PHW,45,27,1,,25.5,6-5,196,,72,,2641,6437,.410,,,,2641,6437,.410,2142,2829,.757,,,4362,1886,,,,1872,7424
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1954-55,NBA,PHW,33,39,4,,25.2,6-4,197,,72,,2392,6234,.384,,,,2392,6234,.384,1928,2625,.734,,,4238,1744,,,,1716,6712
1953-54,NBA,PHW,29,43,4,,24.8,6-5,194,,72,,2023,5431,.372,,,,2023,5431,.372,1586,2272,.698,,,3589,1468,,,,1741,5632
1952-53,NBA,PHW,12,57,5,,26.0,6-4,195,,69,,1987,5546,.358,,,,1987,5546,.358,1560,2298,.679,,,3763,1513,,,,1860,5534
1951-52,NBA,PHW,33,33,4,,26.6,6-4,196,,66,,2039,5367,.380,,,,2039,5367,.380,1634,2143,.762,,,3647,1593,,,,1806,5712
1950-51,NBA,PHW,40,26,1,,,,,,66,,1985,5665,.350,,,,1985,5665,.350,1664,2181,.763,,,3586,1432,,,,1710,5634
1949-50,NBA,PHW,26,42,4,,,,,,68,,1779,5711,.312,,,,1779,5711,.312,1425,2037,.700,,,,1142,,,,1768,4983
1948-49,BAA,PHW,28,32,4,,,,,,60,,1831,5695,.322,,,,1831,5695,.322,1360,1897,.717,,,,1043,,,,1459,5022
1947-48,BAA,PHW,27,21,1,,,,,,48,,1279,4875,.262,,,,1279,4875,.262,963,1349,.714,,,,335,,,,934,3521
1946-47,BAA,PHW,35,25,2,,,,,,60,,1510,5384,.280,,,,1510,5384,.280,1098,1596,.688,,,,343,,,,1082,4118
