Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,HOU,38,18,2,,27.3,6-6,212,,56,13540,2061,4705,.438,655,1887,.347,1406,2818,.499,1000,1398,.715,689,1766,2455,1214,547,264,956,1274,5777
2013-14,NBA,HOU,54,28,2,,25.4,6-7,216,,82,19830,3118,6603,.472,779,2179,.358,2339,4424,.529,1814,2549,.712,920,2797,3717,1755,621,461,1323,1676,8829
2012-13,NBA,HOU,45,37,3,,24.4,6-7,221,,82,19780,3124,6782,.461,867,2369,.366,2257,4413,.511,1573,2087,.754,909,2652,3561,1902,679,359,1348,1662,8688
2011-12,NBA,HOU,34,32,4,,26.2,6-6,211,,66,16065,2489,5543,.449,478,1330,.359,2011,4213,.477,1018,1301,.782,769,2014,2783,1404,496,319,955,1347,6474
2010-11,NBA,HOU,43,39,5,,26.5,6-6,212,,82,19880,3170,6975,.454,677,1843,.367,2493,5132,.486,1668,2083,.801,962,2549,3511,1955,581,371,1110,1641,8685
2009-10,NBA,HOU,42,40,3,,26.0,6-6,212,,82,19905,3094,6923,.447,646,1838,.351,2448,5085,.481,1561,2022,.772,971,2471,3442,1790,583,318,1188,1712,8395
2008-09,NBA,HOU,53,29,2,,27.9,6-7,226,,82,19805,2959,6526,.453,621,1656,.375,2338,4870,.480,1531,1903,.805,862,2662,3524,1662,548,355,1158,1553,8070
2007-08,NBA,HOU,55,27,3,,28.3,6-7,221,,82,19730,3003,6698,.448,583,1707,.342,2420,4991,.485,1342,1848,.726,1002,2659,3661,1757,598,420,1125,1609,7931
2006-07,NBA,HOU,52,30,3,,28.2,6-7,219,,82,19855,2906,6528,.445,705,1893,.372,2201,4635,.475,1436,1906,.753,880,2673,3553,1704,583,337,1162,1710,7953
2005-06,NBA,HOU,34,48,5,,28.8,6-6,217,,82,19830,2708,6252,.433,469,1414,.332,2239,4838,.463,1502,1980,.759,849,2565,3414,1580,588,320,1193,1863,7387
2004-05,NBA,HOU,51,31,3,,29.7,6-7,225,,82,19855,2846,6419,.443,553,1521,.364,2293,4898,.468,1551,1986,.781,874,2601,3475,1733,563,378,1135,1807,7796
