Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Indiana Pacers,23,33,.411,4,-1.35,93.1,-0.7,102.5,-3.1,103.6,-2.0,,F. Vogel (23-33),R. Stuckey (2.9)
2013-14,NBA,Indiana Pacers*,56,26,.683,1,3.63,92.5,-1.4,104.1,-2.6,99.3,-7.4,Lost E. Conf. Finals,F. Vogel (56-26),P. George (10.8)
2012-13,NBA,Indiana Pacers*,49,32,.605,1,3.34,90.2,-1.8,104.3,-1.6,99.8,-6.1,Lost E. Conf. Finals,F. Vogel (49-32),G. Hill (9.7)
2011-12,NBA,Indiana Pacers*,42,24,.636,2,2.60,90.7,-0.6,106.7,2.1,103.1,-1.5,Lost E. Conf. Semis,F. Vogel (42-24),D. Granger (6.7)
2010-11,NBA,Indiana Pacers*,37,45,.451,2,-1.38,94.7,2.6,104.8,-2.5,106.0,-1.3,Lost E. Conf. 1st Rnd.,J. O'Brien (17-27) F. Vogel (20-18),D. Granger (6.9)
2009-10,NBA,Indiana Pacers,32,50,.390,4,-3.11,97.1,4.4,103.7,-3.9,106.8,-0.8,,J. O'Brien (32-50),T. Murphy (7.8)
2008-09,NBA,Indiana Pacers,36,46,.439,4,-0.76,96.5,4.8,108.1,-0.2,109.2,0.9,,J. O'Brien (36-46),T. Murphy (8.5)
2007-08,NBA,Indiana Pacers,36,46,.439,3,-1.87,97.7,5.3,106.0,-1.5,107.5,0.0,,J. O'Brien (36-46),M. Dunleavy (8.5)
2006-07,NBA,Indiana Pacers,35,47,.427,4,-2.62,92.4,0.5,102.9,-3.6,105.5,-1.0,,R. Carlisle (35-47),D. Granger (6.5)
2005-06,NBA,Indiana Pacers*,41,41,.500,3,1.62,89.7,-0.8,104.5,-1.7,102.4,-3.8,Lost E. Conf. 1st Rnd.,R. Carlisle (41-41),J. Foster (5.7)
2004-05,NBA,Indiana Pacers*,44,38,.537,3,0.49,87.2,-3.7,105.5,-0.6,104.6,-1.5,Lost E. Conf. Semis,R. Carlisle (44-38),R. Miller (6.6)
2003-04,NBA,Indiana Pacers*,61,21,.744,1,4.93,87.5,-2.6,103.8,0.9,97.2,-5.7,Lost E. Conf. Finals,R. Carlisle (61-21),J. O'Neal (9.0)
2002-03,NBA,Indiana Pacers*,48,34,.585,2,2.79,91.6,0.6,104.6,1.0,100.8,-2.8,Lost E. Conf. 1st Rnd.,I. Thomas (48-34),J. O'Neal (10.5)
2001-02,NBA,Indiana Pacers*,42,40,.512,4,-0.07,91.9,1.2,104.1,-0.4,103.8,-0.7,Lost E. Conf. 1st Rnd.,I. Thomas (42-40),R. Miller (9.5)
2000-01,NBA,Indiana Pacers*,41,41,.500,4,-0.77,89.4,-1.9,102.0,-1.0,102.2,-0.8,Lost E. Conf. 1st Rnd.,I. Thomas (41-41),R. Miller (10.3)
1999-00,NBA,Indiana Pacers*,56,26,.683,1,4.15,93.1,0.0,108.5,4.4,103.6,-0.5,Lost Finals,L. Bird (56-26),R. Miller (10.1)
1998-99,NBA,Indiana Pacers*,33,17,.660,1,3.86,86.4,-2.5,108.7,6.5,104.4,2.2,Lost E. Conf. Finals,L. Bird (33-17),R. Miller (6.4)
1997-98,NBA,Indiana Pacers*,58,24,.707,2,6.25,87.9,-2.4,108.4,3.4,101.6,-3.4,Lost E. Conf. Finals,L. Bird (58-24),R. Miller (12.0)
1996-97,NBA,Indiana Pacers,39,43,.476,6,1.49,89.0,-1.1,105.8,-0.9,104.7,-2.0,,L. Brown (39-43),R. Miller (12.3)
1995-96,NBA,Indiana Pacers*,52,30,.634,2,3.11,89.3,-2.5,110.8,3.2,107.2,-0.4,Lost E. Conf. 1st Rnd.,L. Brown (52-30),R. Miller (10.3)
