Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,IND,23,33,4,,28.3,6-7,222,,56,13540,2039,4666,.437,389,1162,.335,1650,3504,.471,918,1200,.765,590,1916,2506,1192,343,244,807,1169,5385
2013-14,NBA,IND,56,26,1,,27.2,6-7,221,,82,19780,2949,6573,.449,550,1542,.357,2399,5031,.477,1485,1907,.779,834,2831,3665,1651,550,446,1237,1675,7933
2012-13,NBA,IND,49,32,1,,25.7,6-7,221,,81,19590,2845,6525,.436,555,1599,.347,2290,4926,.465,1429,1915,.746,1043,2671,3714,1645,580,513,1227,1623,7674
2011-12,NBA,IND,42,24,2,,26.3,6-7,218,,66,15990,2354,5375,.438,392,1064,.368,1962,4311,.455,1349,1724,.782,826,2070,2896,1228,523,357,925,1430,6449
2010-11,NBA,IND,37,45,2,,25.9,6-7,219,,82,19780,3003,6787,.442,585,1653,.354,2418,5134,.471,1592,2035,.782,914,2657,3571,1611,584,456,1262,1782,8183
2009-10,NBA,IND,32,50,4,,26.6,6-7,220,,82,19705,3020,6823,.443,659,1896,.348,2361,4927,.479,1564,2019,.775,785,2618,3403,1730,585,439,1232,1848,8263
2008-09,NBA,IND,36,46,4,,26.5,6-7,217,,82,19830,3220,7080,.455,652,1725,.378,2568,5355,.480,1525,1890,.807,924,2661,3585,1775,573,434,1189,1895,8617
2007-08,NBA,IND,36,46,3,,26.7,6-7,220,,82,19755,3102,6993,.444,755,2021,.374,2347,4972,.472,1568,2042,.768,904,2633,3537,1864,623,412,1236,1921,8527
2006-07,NBA,IND,35,47,4,,27.2,6-7,217,,82,19780,2872,6561,.438,481,1389,.346,2391,5172,.462,1615,2125,.760,990,2441,3431,1680,599,447,1335,1912,7840
2005-06,NBA,IND,41,41,3,,27.3,6-7,221,,82,19730,2786,6274,.444,536,1536,.349,2250,4738,.475,1591,2158,.737,898,2559,3457,1631,598,409,1254,1821,7699
2004-05,NBA,IND,44,38,3,,28.3,6-7,218,,82,19905,2668,6169,.432,542,1575,.344,2126,4594,.463,1748,2206,.792,868,2418,3286,1489,615,357,1173,1890,7626
2003-04,NBA,IND,61,21,1,,27.1,6-7,218,,82,19805,2753,6322,.435,449,1281,.351,2304,5041,.457,1538,2014,.764,965,2452,3417,1774,726,411,1182,1709,7493
2002-03,NBA,IND,48,34,2,,25.9,6-7,220,,82,19905,2911,6608,.441,379,1119,.339,2532,5489,.461,1739,2271,.766,1004,2622,3626,1910,696,443,1210,1811,7940
2001-02,NBA,IND,42,40,4,,26.1,6-7,213,,82,19905,2935,6580,.446,405,1195,.339,2530,5385,.470,1663,2155,.772,930,2568,3498,1884,658,436,1249,1876,7938
2000-01,NBA,IND,41,41,4,,27.7,6-7,212,,82,19980,2828,6431,.440,396,1159,.342,2432,5272,.461,1539,2009,.766,921,2595,3516,1763,563,487,1244,1926,7591
1999-00,NBA,IND,56,26,1,,30.4,6-7,212,,82,19730,3047,6640,.459,583,1487,.392,2464,5153,.478,1629,2008,.811,842,2612,3454,1857,559,422,1159,1786,8306
1998-99,NBA,IND,33,17,1,,30.8,6-7,209,,50,12100,1731,3866,.448,294,799,.368,1437,3067,.469,977,1228,.796,574,1452,2026,1005,316,223,649,1082,4733
1997-98,NBA,IND,58,24,2,,29.7,6-7,207,,82,19830,2921,6223,.469,401,1029,.390,2520,5194,.485,1631,2136,.764,874,2348,3222,1889,645,368,1168,1859,7874
1996-97,NBA,IND,39,43,6,,27.9,6-7,210,,82,19930,2851,6254,.456,430,1130,.381,2421,5124,.472,1687,2336,.722,1029,2390,3419,1750,585,394,1338,1977,7819
1995-96,NBA,IND,52,30,2,,29.4,6-7,208,,82,19755,2979,6205,.480,363,973,.373,2616,5232,.500,1823,2416,.755,1010,2262,3272,1917,579,323,1335,2031,8144
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
