Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,LAC,37,20,2,,28.9,6-6,219,,57,13705,2241,4738,.473,554,1492,.371,1687,3246,.520,1060,1453,.730,539,1846,2385,1404,450,278,683,1195,6096
2013-14,NBA,LAC,57,25,1,,28.1,6-6,215,,82,19755,3208,6761,.474,693,1966,.352,2515,4795,.525,1741,2384,.730,858,2668,3526,2016,703,397,1136,1767,8850
2012-13,NBA,LAC,56,26,1,,28.8,6-6,217,,82,19730,3160,6608,.478,627,1752,.358,2533,4856,.522,1342,1888,.711,938,2475,3413,1958,784,461,1197,1716,8289
2011-12,NBA,LAC,40,26,2,,27.3,6-5,218,,66,15965,2439,5366,.455,514,1441,.357,1925,3925,.490,1046,1538,.680,800,1943,2743,1385,556,315,879,1399,6438
2010-11,NBA,LAC,32,50,4,,24.6,6-6,229,,82,19855,3015,6594,.457,513,1519,.338,2502,5075,.493,1546,2187,.707,955,2501,3456,1813,585,402,1343,1733,8089
2009-10,NBA,LAC,29,53,3,,27.3,6-7,222,,82,19705,3002,6601,.455,483,1457,.332,2519,5144,.490,1362,1867,.730,927,2502,3429,1810,532,466,1285,1581,7849
2008-09,NBA,LAC,19,63,4,,26.6,6-6,222,,82,19880,2955,6696,.441,535,1513,.354,2420,5183,.467,1354,1839,.736,890,2377,3267,1723,572,482,1221,1650,7799
2007-08,NBA,LAC,23,59,5,,28.5,6-6,214,,82,19805,2820,6445,.438,350,1079,.324,2470,5366,.460,1702,2178,.781,800,2491,3291,1732,557,398,1180,1745,7692
2006-07,NBA,LAC,40,42,4,,27.5,6-6,220,,82,19730,2880,6318,.456,314,903,.348,2566,5415,.474,1769,2245,.788,888,2484,3372,1762,596,472,1239,1858,7843
2005-06,NBA,LAC,47,35,2,,26.8,6-7,220,,82,19805,2993,6443,.465,290,843,.344,2703,5600,.483,1694,2142,.791,828,2704,3532,1708,534,503,1185,1872,7970
2004-05,NBA,LAC,37,45,3,,25.5,6-7,222,,82,20030,2924,6368,.459,231,669,.345,2693,5699,.473,1770,2274,.778,980,2455,3435,1901,599,422,1290,1819,7849
2003-04,NBA,LAC,28,54,7,,24.3,6-7,228,,82,19805,2817,6579,.428,329,1024,.321,2488,5555,.448,1808,2302,.785,1149,2416,3565,1653,594,376,1344,1816,7771
2002-03,NBA,LAC,27,55,7,,25.3,6-7,229,,82,19755,2835,6490,.437,390,1178,.331,2445,5312,.460,1633,2177,.750,1008,2462,3470,1605,574,461,1291,1784,7693
2001-02,NBA,LAC,39,43,5,,24.4,6-7,227,,82,19805,2970,6668,.445,408,1147,.356,2562,5521,.464,1498,2026,.739,1083,2474,3557,1714,510,540,1214,1624,7846
2000-01,NBA,LAC,31,51,6,,24.3,6-7,221,,82,20030,2896,6467,.448,360,1063,.339,2536,5404,.469,1429,2061,.693,962,2559,3521,1585,490,513,1293,1775,7581
1999-00,NBA,LAC,15,67,7,,24.2,6-7,222,,82,19705,2877,6757,.426,429,1267,.339,2448,5490,.446,1363,1826,.746,955,2377,3332,1479,578,494,1325,1821,7546
1998-99,NBA,LAC,9,41,7,,25.0,6-6,223,,50,12125,1711,4007,.427,214,668,.320,1497,3339,.448,883,1225,.721,665,1293,1958,820,424,236,796,1223,4519
