Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Los Angeles Lakers,14,41,.255,5,-5.75,94.3,0.5,104.0,-1.6,111.1,5.5,,B. Scott (14-41),E. Davis (4.4)
2013-14,NBA,Los Angeles Lakers,27,55,.329,5,-5.33,98.7,4.8,104.2,-2.5,110.6,3.9,,M. D'Antoni (27-55),J. Meeks (4.5)
2012-13,NBA,Los Angeles Lakers*,45,37,.549,3,1.48,94.4,2.4,107.8,1.9,106.6,0.7,Lost W. Conf. 1st Rnd.,M. Brown (1-4) B. Bickerstaff (4-1) M. D'Antoni (40-32),K. Bryant (10.9)
2011-12,NBA,Los Angeles Lakers*,41,25,.621,1,1.96,90.5,-0.8,106.0,1.4,104.4,-0.2,Lost W. Conf. Semis,M. Brown (41-25),P. Gasol (8.3)
2010-11,NBA,Los Angeles Lakers*,57,25,.695,1,6.01,90.7,-1.4,111.0,3.7,104.3,-3.0,Lost W. Conf. Semis,P. Jackson (57-25),P. Gasol (14.7)
2009-10,NBA,Los Angeles Lakers*,57,25,.695,1,4.78,92.8,0.1,108.8,1.2,103.7,-3.9,Won Finals,P. Jackson (57-25),P. Gasol (11.0)
2008-09,NBA,Los Angeles Lakers*,65,17,.793,1,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,Won Finals,P. Jackson (65-17),P. Gasol (13.9)
2007-08,NBA,Los Angeles Lakers*,57,25,.695,1,7.34,95.6,3.2,113.0,5.5,105.5,-2.0,Lost Finals,P. Jackson (57-25),K. Bryant (13.8)
2006-07,NBA,Los Angeles Lakers*,42,40,.512,2,0.24,93.5,1.6,108.6,2.1,108.6,2.1,Lost W. Conf. 1st Rnd.,P. Jackson (42-40),K. Bryant (13.0)
2005-06,NBA,Los Angeles Lakers*,45,37,.549,3,2.53,90.9,0.4,108.4,2.2,105.7,-0.5,Lost W. Conf. 1st Rnd.,P. Jackson (45-37),K. Bryant (15.3)
2004-05,NBA,Los Angeles Lakers,34,48,.415,4,-2.32,90.8,-0.1,108.1,2.0,111.4,5.3,,R. Tomjanovich (24-19) F. Hamblen (10-29),K. Bryant (8.1)
