Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Milwaukee Bucks,31,25,.554,3,1.15,93.8,0.0,103.6,-2.0,101.9,-3.7,,J. Kidd (31-25),K. Middleton (4.6)
2013-14,NBA,Milwaukee Bucks,15,67,.183,5,-8.41,91.8,-2.1,103.0,-3.7,111.8,5.1,,L. Drew (15-67),J. Henson (3.3)
2012-13,NBA,Milwaukee Bucks*,38,44,.463,3,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,S. Skiles (16-16) J. Boylan (22-28),E. Ilyasova (6.7)
2011-12,NBA,Milwaukee Bucks,31,35,.470,3,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31-35),E. Ilyasova (6.4)
2010-11,NBA,Milwaukee Bucks,35,47,.427,3,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,,S. Skiles (35-47),A. Bogut (5.4)
2009-10,NBA,Milwaukee Bucks*,46,36,.561,2,1.37,91.7,-1.0,104.9,-2.7,103.1,-4.5,Lost E. Conf. 1st Rnd.,S. Skiles (46-36),A. Bogut (7.5)
2008-09,NBA,Milwaukee Bucks,34,48,.415,5,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4,,S. Skiles (34-48),R. Jefferson (6.6)
2007-08,NBA,Milwaukee Bucks,26,56,.317,5,-6.92,91.3,-1.1,105.3,-2.2,112.8,5.3,,L. Krystkowiak (26-56),M. Redd (5.8)
2006-07,NBA,Milwaukee Bucks,28,54,.341,5,-4.43,92.3,0.4,107.0,0.5,111.7,5.2,,T. Stotts (23-41) L. Krystkowiak (5-13),M. Redd (6.1)
2005-06,NBA,Milwaukee Bucks*,40,42,.488,5,-1.07,91.2,0.7,106.3,0.1,107.4,1.2,Lost E. Conf. 1st Rnd.,T. Stotts (40-42),M. Redd (10.8)
2004-05,NBA,Milwaukee Bucks,30,52,.366,5,-3.09,90.8,-0.1,106.6,0.5,109.8,3.7,,T. Porter (30-52),M. Redd (6.2)
2003-04,NBA,Milwaukee Bucks*,41,41,.500,4,0.42,91.6,1.5,106.5,3.6,105.4,2.5,Lost E. Conf. 1st Rnd.,T. Porter (41-41),M. Redd (9.7)
2002-03,NBA,Milwaukee Bucks*,42,40,.512,4,-0.24,90.4,-0.6,108.8,5.2,108.6,5.0,Lost E. Conf. 1st Rnd.,G. Karl (42-40),S. Cassell (9.6)
2001-02,NBA,Milwaukee Bucks,41,41,.500,5,-0.62,90.2,-0.5,106.9,2.4,107.1,2.6,,G. Karl (41-41),R. Allen (8.9)
2000-01,NBA,Milwaukee Bucks*,52,30,.634,1,3.14,92.1,0.8,108.8,5.8,104.6,1.6,Lost E. Conf. Finals,G. Karl (52-30),R. Allen (13.7)
1999-00,NBA,Milwaukee Bucks*,42,40,.512,5,-0.06,92.7,-0.4,108.2,4.1,107.9,3.8,Lost E. Conf. 1st Rnd.,G. Karl (42-40),R. Allen (10.1)
1998-99,NBA,Milwaukee Bucks*,28,22,.560,4,1.66,87.0,-1.9,104.9,2.7,103.0,0.8,Lost E. Conf. 1st Rnd.,G. Karl (28-22),R. Allen (5.2)
1997-98,NBA,Milwaukee Bucks,36,46,.439,7,-1.33,90.2,-0.1,103.5,-1.5,105.6,0.6,,C. Ford (36-46),R. Allen (7.0)
1996-97,NBA,Milwaukee Bucks,33,49,.402,7,-1.38,89.5,-0.6,106.2,-0.5,108.3,1.6,,C. Ford (33-49),V. Baker (8.3)
1995-96,NBA,Milwaukee Bucks,25,57,.305,7,-4.92,90.2,-1.6,105.6,-2.0,111.5,3.9,,M. Dunleavy (25-57),V. Baker (6.2)
1994-95,NBA,Milwaukee Bucks,34,48,.415,6,-4.30,92.7,-0.2,106.2,-2.1,110.9,2.6,,M. Dunleavy (34-48),V. Baker (5.8)
1993-94,NBA,Milwaukee Bucks,20,62,.244,6,-6.24,94.5,-0.6,102.5,-3.8,109.3,3.0,,M. Dunleavy (20-62),E. Murdock (7.2)
1992-93,NBA,Milwaukee Bucks,28,54,.341,7,-3.26,96.1,-0.7,106.2,-1.8,110.1,2.1,,M. Dunleavy (28-54),E. Murdock (6.1)
1991-92,NBA,Milwaukee Bucks,31,51,.378,6,-1.46,95.5,-1.1,108.8,0.6,110.6,2.4,,D. Harris (8-9) F. Hamblen (23-42),M. Malone (7.8)
1990-91,NBA,Milwaukee Bucks*,48,34,.585,3,2.33,96.1,-1.7,109.7,1.8,107.2,-0.7,Lost E. Conf. 1st Rnd.,D. Harris (48-34),J. Humphries (8.6)
1989-90,NBA,Milwaukee Bucks*,44,38,.537,3,-1.06,98.0,-0.3,107.3,-0.8,108.1,0.0,Lost E. Conf. 1st Rnd.,D. Harris (44-38),J. Humphries (7.6)
1988-89,NBA,Milwaukee Bucks*,49,33,.598,4,4.11,98.6,-2.0,110.1,2.3,106.4,-1.4,Lost E. Conf. Semis,D. Harris (49-33),J. Sikma (8.1)
1987-88,NBA,Milwaukee Bucks*,42,40,.512,4,1.21,97.6,-2.0,108.2,0.2,107.6,-0.4,Lost E. Conf. 1st Rnd.,D. Harris (42-40),J. Sikma (9.4)
1986-87,NBA,Milwaukee Bucks*,50,32,.610,3,4.04,100.3,-0.5,109.5,1.2,105.6,-2.7,Lost E. Conf. Semis,D. Nelson (50-32),R. Pierce (9.4)
1985-86,NBA,Milwaukee Bucks*,57,25,.695,1,8.69,102.1,0.0,111.4,4.2,102.7,-4.5,Lost E. Conf. Finals,D. Nelson (57-25),S. Moncrief (11.7)
1984-85,NBA,Milwaukee Bucks*,59,23,.720,1,6.69,99.7,-2.4,110.5,2.6,103.6,-4.3,Lost E. Conf. Semis,D. Nelson (59-23),S. Moncrief (11.2)
1983-84,NBA,Milwaukee Bucks*,50,32,.610,1,4.04,96.9,-4.5,107.8,0.2,103.6,-4.0,Lost E. Conf. Finals,D. Nelson (50-32),S. Moncrief (12.7)
1982-83,NBA,Milwaukee Bucks*,51,31,.622,1,4.32,100.0,-3.1,105.8,1.1,101.4,-3.3,Lost E. Conf. Finals,D. Nelson (51-31),S. Moncrief (13.2)
1981-82,NBA,Milwaukee Bucks*,55,27,.671,1,5.38,100.0,-0.9,107.7,0.8,102.3,-4.6,Lost E. Conf. Semis,D. Nelson (55-27),S. Moncrief (13.4)
1980-81,NBA,Milwaukee Bucks*,60,22,.732,1,7.14,103.6,1.8,108.7,3.2,101.8,-3.7,Lost E. Conf. Semis,D. Nelson (60-22),M. Johnson (11.2)
1979-80,NBA,Milwaukee Bucks*,49,33,.598,1,3.57,102.4,-0.7,106.8,1.5,102.9,-2.4,Lost W. Conf. Semis,D. Nelson (49-33),M. Johnson (11.5)
1978-79,NBA,Milwaukee Bucks,38,44,.463,3,2.12,106.5,0.7,106.0,2.2,104.0,0.2,,D. Nelson (38-44),M. Johnson (12.2)
1977-78,NBA,Milwaukee Bucks*,44,38,.537,2,-0.59,108.7,2.0,101.8,0.9,102.4,1.5,Lost W. Conf. Semis,D. Nelson (44-38),M. Johnson (10.6)
1976-77,NBA,Milwaukee Bucks,30,52,.366,6,-2.99,108.3,1.8,100.0,0.5,102.9,3.4,,L. Costello (3-15) D. Nelson (27-37),S. Nater (6.9)
1975-76,NBA,Milwaukee Bucks*,38,44,.463,1,-1.55,103.9,-1.6,97.3,-1.0,98.7,0.4,Lost W. Conf. 1st Rnd.,L. Costello (38-44),B. Dandridge (9.0)
1974-75,NBA,Milwaukee Bucks,38,44,.463,4,0.25,102.1,-2.4,98.0,0.3,97.8,0.1,,L. Costello (38-44),K. Abdul-Jabbar (12.9)
1973-74,NBA,Milwaukee Bucks*,59,23,.720,1,7.61,105.4,-2.4,101.2,3.5,93.6,-4.1,Lost Finals,L. Costello (59-23),K. Abdul-Jabbar (18.4)
1972-73,NBA,Milwaukee Bucks*,60,22,.732,1,7.84,108.3,-2.4,98.6,1.8,91.1,-5.7,Lost W. Conf. Semis,L. Costello (60-22),K. Abdul-Jabbar (21.9)
1971-72,NBA,Milwaukee Bucks*,63,19,.768,1,10.70,111.2,-0.8,102.6,4.7,92.6,-5.3,Lost W. Conf. Finals,L. Costello (63-19),K. Abdul-Jabbar (25.4)
1970-71,NBA,Milwaukee Bucks*,66,16,.805,1,11.92,113.4,-1.7,103.9,6.7,93.1,-4.1,Won Finals,L. Costello (66-16),K. Abdul-Jabbar (22.3)
1969-70,NBA,Milwaukee Bucks*,56,26,.683,2,4.25,115.8,-1.3,102.1,3.1,98.1,-0.9,Lost E. Div. Finals,L. Costello (56-26),K. Abdul-Jabbar (13.8)
1968-69,NBA,Milwaukee Bucks,27,55,.329,7,-5.07,117.5,0.6,93.9,-1.6,98.2,2.7,,L. Costello (27-55),J. McGlocklin (7.9)
