Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,MIL,31,25,3,,24.7,6-7,216,,56,13590,2108,4558,.462,393,1052,.374,1715,3506,.489,894,1154,.775,562,1751,2313,1314,534,268,929,1248,5503
2013-14,NBA,MIL,15,67,5,,24.7,6-7,214,,82,19880,2952,6737,.438,548,1553,.353,2404,5184,.464,1377,1843,.747,971,2399,3370,1760,541,403,1238,1713,7829
2012-13,NBA,MIL,38,44,3,,26.4,6-6,209,,82,19830,3128,7197,.435,601,1670,.360,2527,5527,.457,1251,1700,.736,1068,2537,3605,1876,685,550,1156,1554,8108
2011-12,NBA,MIL,31,35,3,,26.2,6-6,213,,66,15865,2502,5652,.443,436,1265,.345,2066,4387,.471,1095,1415,.774,820,1983,2803,1550,548,335,929,1273,6535
2010-11,NBA,MIL,35,47,3,,26.7,6-6,214,,82,19830,2814,6544,.430,483,1414,.342,2331,5130,.454,1423,1881,.757,862,2480,3342,1545,617,399,1103,1682,7534
2009-10,NBA,MIL,46,36,2,,26.4,6-6,214,,82,19980,3050,6998,.436,645,1813,.356,2405,5185,.464,1264,1675,.755,965,2560,3525,1740,580,385,1085,1823,8009
2008-09,NBA,MIL,34,48,5,,26.3,6-6,217,,82,19780,3009,6755,.445,511,1408,.363,2498,5347,.467,1613,2067,.780,973,2367,3340,1802,609,308,1154,1986,8142
2007-08,NBA,MIL,26,56,5,,25.8,6-7,220,,82,19855,3026,6745,.449,452,1313,.344,2574,5432,.474,1452,1980,.733,1055,2363,3418,1760,544,361,1210,1748,7956
2006-07,NBA,MIL,28,54,5,,26.0,6-5,215,,82,19855,3121,6714,.465,524,1472,.356,2597,5242,.495,1406,1919,.733,941,2272,3213,1771,587,224,1240,1821,8172
2005-06,NBA,MIL,40,42,5,,25.5,6-6,215,,82,19855,2976,6566,.453,507,1335,.380,2469,5231,.472,1561,2115,.738,929,2448,3377,1769,597,270,1197,1902,8020
2004-05,NBA,MIL,30,52,5,,26.9,6-7,217,,82,19780,2964,6580,.450,325,925,.351,2639,5655,.467,1720,2229,.772,985,2405,3390,1720,529,289,1132,1797,7973
