Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Minnesota Timberwolves,12,43,.218,5,-7.80,95.0,1.2,102.7,-2.9,111.5,5.9,,F. Saunders (12-43),G. Dieng (4.0)
2013-14,NBA,Minnesota Timberwolves,40,42,.488,3,3.10,97.3,3.4,108.9,2.2,106.2,-0.5,,R. Adelman (40-42),K. Love (14.3)
2012-13,NBA,Minnesota Timberwolves,31,51,.378,5,-1.83,92.8,0.8,102.9,-3.0,105.4,-0.5,,R. Adelman (31-51),N. Pekovic (6.7)
2011-12,NBA,Minnesota Timberwolves,26,40,.394,5,-1.83,93.3,2.0,104.3,-0.3,106.6,2.0,,R. Adelman (26-40),K. Love (10.0)
2010-11,NBA,Minnesota Timberwolves,17,65,.207,5,-5.97,96.5,4.4,104.2,-3.1,111.1,3.8,,K. Rambis (17-65),K. Love (11.4)
2009-10,NBA,Minnesota Timberwolves,15,67,.183,5,-9.06,96.1,3.4,101.7,-5.9,111.6,4.0,,K. Rambis (15-67),K. Love (4.9)
2008-09,NBA,Minnesota Timberwolves,24,58,.293,4,-4.74,91.6,-0.1,106.1,-2.2,111.4,3.1,,R. Wittman (4-15) K. McHale (20-43),K. Love (5.3)
2007-08,NBA,Minnesota Timberwolves,22,60,.268,4,-6.26,91.9,-0.5,103.8,-3.7,111.2,3.7,,R. Wittman (22-60),A. Jefferson (7.7)
2006-07,NBA,Minnesota Timberwolves,32,50,.390,4,-3.16,91.0,-0.9,103.9,-2.6,107.9,1.4,,D. Casey (20-20) R. Wittman (12-30),K. Garnett (10.7)
2005-06,NBA,Minnesota Timberwolves,33,49,.402,4,-1.75,88.8,-1.7,102.4,-3.8,104.5,-1.7,,D. Casey (33-49),K. Garnett (14.9)
2004-05,NBA,Minnesota Timberwolves,44,38,.537,3,1.73,89.1,-1.8,108.2,2.1,106.6,0.5,,F. Saunders (25-26) K. McHale (19-12),K. Garnett (16.1)
2003-04,NBA,Minnesota Timberwolves*,58,24,.707,1,5.86,89.0,-1.1,105.9,3.0,99.7,-3.2,Lost W. Conf. Finals,F. Saunders (58-24),K. Garnett (18.3)
2002-03,NBA,Minnesota Timberwolves*,51,31,.622,3,2.46,91.9,0.9,106.1,2.5,103.8,0.2,Lost W. Conf. 1st Rnd.,F. Saunders (51-31),K. Garnett (15.6)
2001-02,NBA,Minnesota Timberwolves*,50,32,.610,3,3.58,90.5,-0.2,109.0,4.5,105.3,0.8,Lost W. Conf. 1st Rnd.,F. Saunders (50-32),K. Garnett (12.8)
2000-01,NBA,Minnesota Timberwolves*,47,35,.573,4,1.81,91.8,0.5,105.2,2.2,103.7,0.7,Lost W. Conf. 1st Rnd.,F. Saunders (47-35),K. Garnett (11.8)
1999-00,NBA,Minnesota Timberwolves*,50,32,.610,3,2.67,91.8,-1.3,106.1,2.0,103.4,-0.7,Lost W. Conf. 1st Rnd.,F. Saunders (50-32),K. Garnett (11.6)
1998-99,NBA,Minnesota Timberwolves*,25,25,.500,4,-0.17,91.0,2.1,101.9,-0.3,101.5,-0.7,Lost W. Conf. 1st Rnd.,F. Saunders (25-25),K. Garnett (5.4)
1997-98,NBA,Minnesota Timberwolves*,45,37,.549,3,0.17,92.6,2.3,107.8,2.8,107.1,2.1,Lost W. Conf. 1st Rnd.,F. Saunders (45-37),K. Garnett (9.6)
1996-97,NBA,Minnesota Timberwolves*,40,42,.488,3,-1.82,90.7,0.6,105.5,-1.2,107.1,0.4,Lost W. Conf. 1st Rnd.,F. Saunders (40-42),K. Garnett (7.3)
1995-96,NBA,Minnesota Timberwolves,26,56,.317,5,-5.14,93.5,1.7,104.1,-3.5,109.8,2.2,,B. Blair (6-14) F. Saunders (20-42),T. Gugliotta (5.3)
1994-95,NBA,Minnesota Timberwolves,21,61,.256,6,-8.22,91.4,-1.5,102.6,-5.7,112.4,4.1,,B. Blair (21-61),C. Laettner (6.2)
1993-94,NBA,Minnesota Timberwolves,20,62,.244,5,-6.55,94.7,-0.4,101.9,-4.4,109.2,2.9,,S. Lowe (20-62),M. Williams (5.6)
1992-93,NBA,Minnesota Timberwolves,19,63,.232,5,-7.62,93.8,-3.0,103.6,-4.4,111.8,3.8,,J. Rodgers (6-23) S. Lowe (13-40),M. Williams (7.6)
1991-92,NBA,Minnesota Timberwolves,15,67,.183,6,-6.85,95.1,-1.5,105.0,-3.2,112.4,4.2,,J. Rodgers (15-67),D. West (4.6)
1990-91,NBA,Minnesota Timberwolves,29,53,.354,5,-3.75,92.3,-5.5,106.7,-1.2,110.9,3.0,,B. Musselman (29-53),P. Richardson (5.9)
1989-90,NBA,Minnesota Timberwolves,22,60,.268,6,-3.60,91.1,-7.2,103.6,-4.5,108.2,0.1,,B. Musselman (22-60),T. Corbin (6.8)
