Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,New Orleans Pelicans,29,27,.518,5,0.52,91.6,-2.2,108.5,2.9,108.2,2.6,,M. Williams (29-27),A. Davis (9.9)
2013-14,NBA,New Orleans Pelicans,34,48,.415,5,-1.98,92.2,-1.7,107.2,0.5,110.1,3.4,,M. Williams (34-48),A. Davis (10.4)
2012-13,NBA,New Orleans Hornets,27,55,.329,5,-3.12,88.5,-3.5,105.7,-0.2,110.1,4.2,,M. Williams (27-55),R. Anderson (6.5)
2011-12,NBA,New Orleans Hornets,21,45,.318,5,-3.11,88.3,-3.0,100.9,-3.7,105.1,0.5,,M. Williams (21-45),J. Jack (3.8)
2010-11,NBA,New Orleans Hornets*,46,36,.561,3,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1,Lost W. Conf. 1st Rnd.,M. Williams (46-36),C. Paul (13.9)
2009-10,NBA,New Orleans Hornets,37,45,.451,5,-2.27,92.6,-0.1,107.4,-0.2,110.1,2.5,,B. Scott (3-6) J. Bower (34-39),D. West (7.5)
2008-09,NBA,New Orleans Hornets*,49,33,.598,4,1.41,87.8,-3.9,108.7,0.4,107.0,-1.3,Lost W. Conf. 1st Rnd.,B. Scott (49-33),C. Paul (18.3)
2007-08,NBA,New Orleans Hornets*,56,26,.683,1,5.46,89.9,-2.5,111.5,4.0,105.7,-1.8,Lost W. Conf. Semis,B. Scott (56-26),C. Paul (17.8)
2006-07,NBA,New Orleans/Oklahoma City Hornets,39,43,.476,4,-1.19,90.2,-1.7,104.8,-1.7,106.5,0.0,,B. Scott (39-43),C. Paul (8.8)
2005-06,NBA,New Orleans/Oklahoma City Hornets,38,44,.463,4,-2.51,89.0,-1.5,103.7,-2.5,106.8,0.6,,B. Scott (38-44),C. Paul (10.4)
2004-05,NBA,New Orleans Hornets,18,64,.220,5,-6.30,87.6,-3.3,99.7,-6.4,107.7,1.6,,B. Scott (18-64),P. Brown (6.9)
2003-04,NBA,New Orleans Hornets*,41,41,.500,3,-0.72,89.1,-1.0,102.3,-0.6,102.4,-0.5,Lost E. Conf. 1st Rnd.,T. Floyd (41-41),P. Brown (8.1)
2002-03,NBA,New Orleans Hornets*,47,35,.573,3,1.52,89.4,-1.6,103.9,0.3,101.6,-2.0,Lost E. Conf. 1st Rnd.,P. Silas (47-35),P. Brown (10.2)
