Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,NOP,29,27,5,,25.1,6-7,222,,56,13490,2119,4679,.453,381,1072,.355,1738,3607,.482,962,1262,.762,680,1783,2463,1202,389,334,734,1050,5581
2013-14,NBA,NOP,34,48,5,,24.3,6-7,217,,82,19855,3101,6761,.459,486,1303,.373,2615,5458,.479,1489,1936,.769,933,2486,3419,1745,647,523,1129,1857,8177
2012-13,NBA,NOH,27,55,5,,24.0,6-7,219,,82,19780,2955,6589,.448,535,1474,.363,2420,5115,.473,1269,1636,.776,988,2426,3414,1721,520,440,1193,1673,7714
2011-12,NBA,NOH,21,45,5,,25.5,6-7,221,,66,15940,2300,5103,.451,259,777,.333,2041,4326,.472,1057,1397,.757,724,1991,2715,1368,488,316,1024,1324,5916
2010-11,NBA,NOH,46,36,3,,26.3,6-6,215,,82,19830,2944,6416,.459,444,1232,.360,2500,5184,.482,1452,1897,.765,824,2468,3292,1691,624,359,1069,1719,7784
2009-10,NBA,NOH,37,45,5,,27.5,6-6,217,,82,19830,3178,6842,.464,571,1572,.363,2607,5270,.495,1293,1661,.778,852,2450,3302,1828,625,300,1103,1606,8220
2008-09,NBA,NOH,49,33,4,,28.2,6-7,217,,82,19755,2911,6366,.457,556,1526,.364,2355,4840,.487,1479,1833,.807,802,2453,3255,1609,593,338,1029,1665,7857
2007-08,NBA,NOH,56,26,1,,27.1,6-6,214,,82,19805,3164,6796,.466,630,1621,.389,2534,5175,.490,1312,1707,.769,937,2494,3431,1785,637,321,974,1531,8270
2006-07,NBA,NOK,39,43,4,,26.4,6-6,214,,82,19880,2971,6674,.445,455,1256,.362,2516,5418,.464,1436,1941,.740,1025,2512,3537,1537,522,347,1187,1620,7833
2005-06,NBA,NOK,38,44,4,,26.3,6-6,212,,82,19805,2831,6428,.440,300,885,.339,2531,5543,.457,1649,2176,.758,918,2379,3297,1519,611,311,1095,1786,7611
2004-05,NBA,NOH,18,64,5,,27.5,6-6,219,,82,19930,2718,6556,.415,415,1316,.315,2303,5240,.440,1401,1830,.766,1019,2281,3300,1724,550,310,1217,1883,7252
2003-04,NBA,NOH,41,41,3,,30.3,6-6,219,,82,19830,2772,6605,.420,531,1666,.319,2241,4939,.454,1454,1937,.751,1091,2418,3509,1716,708,346,1228,1715,7529
2002-03,NBA,NOH,47,35,3,,29.1,6-6,223,,82,19905,2914,6695,.435,404,1075,.376,2510,5620,.447,1467,1910,.768,1097,2475,3572,1807,656,394,1212,1769,7699
