Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Oklahoma City Thunder,31,25,.554,2,2.87,94.9,1.1,105.9,0.3,103.1,-2.5,,S. Brooks (31-25),R. Westbrook (6.8)
2013-14,NBA,Oklahoma City Thunder*,59,23,.720,1,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,Lost W. Conf. Finals,S. Brooks (59-23),K. Durant (19.2)
2012-13,NBA,Oklahoma City Thunder*,60,22,.732,1,9.15,93.3,1.3,112.4,6.5,102.6,-3.3,Lost W. Conf. Semis,S. Brooks (60-22),K. Durant (18.9)
2011-12,NBA,Oklahoma City Thunder*,47,19,.712,1,6.44,93.0,1.7,109.8,5.2,103.2,-1.4,Lost Finals,S. Brooks (47-19),K. Durant (12.2)
2010-11,NBA,Oklahoma City Thunder*,55,27,.671,1,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,Lost W. Conf. Finals,S. Brooks (55-27),K. Durant (12.0)
2009-10,NBA,Oklahoma City Thunder*,50,32,.610,4,3.55,93.1,0.4,108.3,0.7,104.6,-3.0,Lost W. Conf. 1st Rnd.,S. Brooks (50-32),K. Durant (16.1)
2008-09,NBA,Oklahoma City Thunder,23,59,.280,5,-6.04,93.6,1.9,102.9,-5.4,109.4,1.1,,P. Carlesimo (1-12) S. Brooks (22-47),K. Durant (7.9)
2007-08,NBA,Seattle SuperSonics,20,62,.244,5,-8.04,96.3,3.9,100.5,-7.0,109.5,2.0,,P. Carlesimo (20-62),N. Collison (4.5)
2006-07,NBA,Seattle SuperSonics,31,51,.378,5,-2.45,91.8,-0.1,107.2,0.7,110.3,3.8,,B. Hill (31-51),R. Lewis (7.6)
2005-06,NBA,Seattle SuperSonics,35,47,.427,3,-2.88,91.6,1.1,111.1,4.9,114.4,8.2,,B. Weiss (13-17) B. Hill (22-30),R. Allen (9.5)
2004-05,NBA,Seattle SuperSonics*,52,30,.634,1,2.59,87.9,-3.0,112.2,6.1,109.6,3.5,Lost W. Conf. Semis,N. McMillan (52-30),R. Allen (10.7)
2003-04,NBA,Seattle SuperSonics,37,45,.451,5,0.02,89.9,-0.2,107.3,4.4,108.0,5.1,,N. McMillan (37-45),R. Allen (6.9)
2002-03,NBA,Seattle SuperSonics,40,42,.488,5,0.37,88.0,-3.0,103.7,0.1,103.9,0.3,,N. McMillan (40-42),R. Lewis (7.8)
2001-02,NBA,Seattle SuperSonics*,45,37,.549,4,3.24,89.0,-1.7,108.9,4.4,105.6,1.1,Lost W. Conf. 1st Rnd.,N. McMillan (45-37),G. Payton (12.6)
2000-01,NBA,Seattle SuperSonics,44,38,.537,5,0.55,91.6,0.3,105.6,2.6,105.6,2.6,,P. Westphal (6-9) N. McMillan (38-29),G. Payton (10.8)
1999-00,NBA,Seattle SuperSonics*,45,37,.549,4,1.17,93.4,0.3,105.6,1.5,104.6,0.5,Lost W. Conf. 1st Rnd.,P. Westphal (45-37),G. Payton (13.9)
1998-99,NBA,Seattle SuperSonics,25,25,.500,5,-1.43,89.6,0.7,105.0,2.8,106.2,4.0,,P. Westphal (25-25),G. Payton (7.2)
1997-98,NBA,Seattle SuperSonics*,61,21,.744,1,6.33,89.8,-0.5,111.6,6.6,103.6,-1.4,Lost W. Conf. Semis,G. Karl (61-21),G. Payton (12.5)
1996-97,NBA,Seattle SuperSonics*,57,25,.695,1,6.91,90.3,0.2,111.2,4.5,102.7,-4.0,Lost W. Conf. Semis,G. Karl (57-25),G. Payton (12.9)
1995-96,NBA,Seattle SuperSonics*,64,18,.780,1,7.40,93.8,2.0,110.3,2.7,102.1,-5.5,Lost Finals,G. Karl (64-18),G. Payton (11.5)
1994-95,NBA,Seattle SuperSonics*,57,25,.695,2,7.91,95.5,2.6,114.8,6.5,106.3,-2.0,Lost W. Conf. 1st Rnd.,G. Karl (57-25),D. Schrempf (12.9)
1993-94,NBA,Seattle SuperSonics*,63,19,.768,1,8.68,95.1,0.0,111.1,4.8,101.5,-4.8,Lost W. Conf. 1st Rnd.,G. Karl (63-19),S. Kemp (11.7)
1992-93,NBA,Seattle SuperSonics*,55,27,.671,2,6.66,96.0,-0.8,112.3,4.3,104.9,-3.1,Lost W. Conf. Finals,G. Karl (55-27),S. Kemp (9.1)
1991-92,NBA,Seattle SuperSonics*,47,35,.573,4,1.86,95.4,-1.2,110.7,2.5,108.8,0.6,Lost W. Conf. Semis,K. Jones (18-18) B. Kloppenburg (2-2) G. Karl (27-15),R. Pierce (7.8)
1990-91,NBA,Seattle SuperSonics*,41,41,.500,5,1.31,96.2,-1.6,109.7,1.8,108.5,0.6,Lost W. Conf. 1st Rnd.,K. Jones (41-41),D. McKey (6.4)
1989-90,NBA,Seattle SuperSonics,41,41,.500,4,1.40,95.3,-3.0,110.9,2.8,109.8,1.7,,B. Bickerstaff (41-41),M. Cage (6.8)
1988-89,NBA,Seattle SuperSonics*,47,35,.573,3,2.44,100.1,-0.5,111.5,3.7,108.6,0.8,Lost W. Conf. Semis,B. Bickerstaff (47-35),D. Ellis (10.8)
1987-88,NBA,Seattle SuperSonics*,44,38,.537,3,1.29,100.2,0.6,110.2,2.2,108.1,0.1,Lost W. Conf. 1st Rnd.,B. Bickerstaff (44-38),D. Ellis (9.0)
1986-87,NBA,Seattle SuperSonics*,39,43,.476,4,0.08,101.8,1.0,110.7,2.4,110.3,2.0,Lost W. Conf. Finals,B. Bickerstaff (39-43),D. Ellis (9.3)
1985-86,NBA,Seattle SuperSonics,31,51,.378,5,-0.47,97.4,-4.7,105.9,-1.3,106.0,-1.2,,B. Bickerstaff (31-51),J. Sikma (7.8)
1984-85,NBA,Seattle SuperSonics,31,51,.378,4,-5.44,99.3,-2.8,102.8,-5.1,108.2,0.3,,L. Wilkens (31-51),J. Sikma (8.3)
1983-84,NBA,Seattle SuperSonics*,42,40,.512,3,-0.34,99.7,-1.7,107.9,0.3,108.1,0.5,Lost W. Conf. 1st Rnd.,L. Wilkens (42-40),J. Sikma (9.7)
1982-83,NBA,Seattle SuperSonics*,48,34,.585,3,2.88,103.2,0.1,105.9,1.2,102.8,-1.9,Lost W. Conf. 1st Rnd.,L. Wilkens (48-34),J. Sikma (9.8)
1981-82,NBA,Seattle SuperSonics*,52,30,.634,2,3.69,100.0,-0.9,106.4,-0.5,102.3,-4.6,Lost W. Conf. Semis,L. Wilkens (52-30),J. Sikma (12.6)
1980-81,NBA,Seattle SuperSonics,34,48,.415,6,-1.84,100.3,-1.5,103.2,-2.3,104.8,-0.7,,L. Wilkens (34-48),J. Sikma (8.0)
1979-80,NBA,Seattle SuperSonics*,56,26,.683,2,4.24,101.8,-1.3,105.8,0.5,101.2,-4.1,Lost W. Conf. Finals,L. Wilkens (56-26),G. Williams (11.6)
1978-79,NBA,Seattle SuperSonics*,52,30,.634,1,2.69,103.4,-2.4,102.7,-1.1,100.1,-3.7,Won Finals,L. Wilkens (52-30),J. Sikma (8.8)
1977-78,NBA,Seattle SuperSonics*,47,35,.573,3,1.48,104.8,-1.9,99.2,-1.7,97.7,-3.2,Lost Finals,B. Hopkins (5-17) L. Wilkens (42-18),M. Webster (8.7)
1976-77,NBA,Seattle SuperSonics,40,42,.488,4,-1.43,106.8,0.3,96.7,-2.8,98.2,-1.3,,B. Russell (40-42),F. Brown (6.1)
1975-76,NBA,Seattle SuperSonics*,43,39,.524,2,-0.15,107.7,2.2,98.3,0.0,98.6,0.3,Lost W. Conf. Semis,B. Russell (43-39),F. Brown (8.8)
1974-75,NBA,Seattle SuperSonics*,43,39,.524,2,-1.19,105.5,1.0,96.7,-1.0,97.7,0.0,Lost W. Conf. Semis,B. Russell (43-39),F. Brown (7.9)
1973-74,NBA,Seattle SuperSonics,36,46,.439,3,-2.29,110.2,2.4,96.8,-0.9,99.1,1.4,,B. Russell (36-46),S. Haywood (9.7)
1972-73,NBA,Seattle SuperSonics,26,56,.317,4,-5.33,110.0,-0.7,93.8,-3.0,99.1,2.3,,T. Nissalke (13-32) B. Buckwalter (13-24),S. Haywood (10.2)
1971-72,NBA,Seattle SuperSonics,47,35,.573,3,0.86,110.5,-1.5,98.5,0.6,98.1,0.2,,L. Wilkens (47-35),L. Wilkens (9.6)
1970-71,NBA,Seattle SuperSonics,38,44,.463,4,-1.53,116.5,1.4,98.4,1.2,100.1,2.9,,L. Wilkens (38-44),D. Snyder (10.0)
1969-70,NBA,Seattle SuperSonics,36,46,.439,5,-2.43,116.4,-0.7,100.0,1.0,102.1,3.1,,L. Wilkens (36-46),D. Snyder (6.0)
1968-69,NBA,Seattle SuperSonics,30,52,.366,6,-4.68,117.4,0.5,94.7,-0.8,98.8,3.3,,A. Bianchi (30-52),L. Wilkens (9.0)
1967-68,NBA,Seattle SuperSonics,23,59,.280,5,-6.00,123.9,4.1,95.4,-1.4,100.6,3.8,,A. Bianchi (23-59),B. Rule (6.4)
