Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,OKC,31,25,2,,25.6,6-7,222,,56,13540,2125,4774,.445,410,1259,.326,1715,3515,.488,1009,1338,.754,687,1958,2645,1149,406,339,840,1247,5669
2013-14,NBA,OKC,59,23,1,,26.2,6-7,219,,82,19805,3194,6782,.471,664,1839,.361,2530,4943,.512,1653,2052,.806,887,2781,3668,1794,678,501,1256,1858,8705
2012-13,NBA,OKC,60,22,1,,26.0,6-7,219,,82,19830,3126,6504,.481,598,1588,.377,2528,4916,.514,1819,2196,.828,854,2725,3579,1753,679,624,1253,1654,8669
2011-12,NBA,OKC,47,19,1,,25.1,6-6,221,,66,15990,2462,5229,.471,472,1317,.358,1990,3912,.509,1406,1744,.806,726,2157,2883,1224,498,539,1079,1352,6802
2010-11,NBA,OKC,55,27,1,,23.7,6-7,218,,82,20005,3066,6609,.464,487,1403,.347,2579,5206,.495,1977,2401,.823,903,2604,3507,1672,654,487,1156,1836,8596
2009-10,NBA,OKC,50,32,4,,23.2,6-7,219,,82,19805,3063,6629,.462,418,1229,.340,2645,5400,.490,1778,2210,.805,960,2607,3567,1639,654,481,1227,1743,8322
2008-09,NBA,OKC,23,59,5,,24.5,6-7,219,,82,19805,2999,6716,.447,328,949,.346,2671,5767,.463,1626,2069,.786,999,2497,3496,1663,608,371,1330,1655,7952
2007-08,NBA,SEA,20,62,5,,25.4,6-7,222,,82,19830,3125,7032,.444,313,939,.333,2812,6093,.462,1436,1866,.770,971,2688,3659,1748,531,400,1310,1680,7999
2006-07,NBA,SEA,31,51,5,,25.9,6-6,217,,82,19830,3047,6628,.460,525,1451,.362,2522,5177,.487,1511,1911,.791,928,2322,3250,1695,631,301,1268,1801,8130
2005-06,NBA,SEA,35,47,3,,25.6,6-7,217,,82,19830,3077,6711,.459,605,1631,.371,2472,5080,.487,1652,2104,.785,1013,2233,3246,1696,622,306,1208,1933,8411
2004-05,NBA,SEA,52,30,1,,26.0,6-6,221,,82,19755,2882,6498,.444,666,1824,.365,2216,4674,.474,1683,2131,.790,1041,2311,3352,1487,553,338,1113,1944,8113
2003-04,NBA,SEA,37,45,5,,26.0,6-7,218,,82,19805,2939,6590,.446,723,1936,.373,2216,4654,.476,1363,1782,.765,907,2318,3225,1782,661,387,1188,1784,7964
2002-03,NBA,SEA,40,42,5,,26.9,6-7,219,,82,19855,2887,6599,.437,456,1291,.353,2431,5308,.458,1325,1780,.744,963,2385,3348,1775,679,295,1085,1712,7555
2001-02,NBA,SEA,45,37,4,,26.9,6-7,216,,82,19830,3131,6681,.469,489,1292,.378,2642,5389,.490,1263,1672,.755,968,2333,3301,1926,698,364,1124,1732,8014
2000-01,NBA,SEA,44,38,5,,27.9,6-7,213,,82,19805,3029,6649,.456,466,1169,.399,2563,5480,.468,1454,1986,.732,999,2422,3421,1792,657,409,1252,1733,7978
1999-00,NBA,SEA,45,37,4,,28.5,6-7,208,,82,19780,3108,6946,.447,546,1611,.339,2562,5335,.480,1363,1960,.695,1042,2483,3525,1878,657,345,1152,1776,8125
1998-99,NBA,SEA,25,25,5,,31.2,6-7,208,,50,12100,1756,3976,.442,309,899,.344,1447,3077,.470,922,1354,.681,676,1422,2098,1087,393,201,765,1047,4743
1997-98,NBA,SEA,61,21,1,,31.1,6-7,208,,82,19755,3052,6458,.473,621,1569,.396,2431,4889,.497,1521,2109,.721,931,2225,3156,1986,804,376,1145,1812,8246
1996-97,NBA,SEA,57,25,1,,30.0,6-7,207,,82,19780,2995,6415,.467,559,1583,.353,2436,4832,.504,1725,2295,.752,1010,2271,3281,1931,904,388,1231,1803,8274
1995-96,NBA,SEA,64,18,1,,29.6,6-6,211,,82,19880,3074,6401,.480,581,1596,.364,2493,4805,.519,1843,2424,.760,954,2449,3403,1999,882,393,1441,1967,8572
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,SEA,57,25,2,,28.7,6-7,211,,82,19830,3310,6741,.491,491,1305,.376,2819,5436,.519,1944,2564,.758,1068,2337,3405,2115,917,392,1295,2067,9055
1993-94,NBA,SEA,63,19,1,,28.1,6-7,210,,82,19730,3338,6901,.484,242,722,.335,3096,6179,.501,1769,2374,.745,1148,2233,3381,2112,1053,365,1262,1914,8687
1992-93,NBA,SEA,55,27,2,,27.7,6-6,207,,82,19780,3473,7140,.486,218,610,.357,3255,6530,.498,1720,2259,.761,1222,2254,3476,1906,944,409,1267,1971,8884
1991-92,NBA,SEA,47,35,4,,27.3,6-6,209,,82,19855,3380,7128,.474,205,647,.317,3175,6481,.490,1772,2263,.783,1282,2257,3539,1877,775,448,1323,1952,8737
1990-91,NBA,SEA,41,41,5,,26.2,6-6,206,,82,19880,3500,7117,.492,136,427,.319,3364,6690,.503,1608,2143,.750,1222,2173,3395,2042,861,380,1404,1973,8744
1989-90,NBA,SEA,41,41,4,,25.6,6-6,202,,82,19905,3466,7243,.479,231,650,.355,3235,6593,.491,1606,2167,.741,1323,2255,3578,1874,701,335,1336,2064,8769
1988-89,NBA,SEA,47,35,3,,26.3,6-7,207,,82,19780,3564,7478,.477,293,774,.379,3271,6704,.488,1775,2379,.746,1397,2238,3635,2083,864,494,1403,2027,9196
1987-88,NBA,SEA,44,38,3,,25.6,6-7,207,,82,19855,3544,7443,.476,221,638,.346,3323,6805,.488,1826,2442,.748,1313,2314,3627,2146,775,447,1376,2380,9135
1986-87,NBA,SEA,39,43,4,,26.1,6-7,208,,82,19855,3593,7451,.482,191,571,.335,3402,6880,.494,1948,2571,.758,1373,2395,3768,2184,705,450,1509,2224,9325
