Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Orlando Magic,19,39,.328,5,-5.62,93.9,0.1,101.7,-3.9,107.5,1.9,,J. Vaughn (15-37) J. Borrego (4-2),N. Vucevic (5.6)
2013-14,NBA,Orlando Magic,23,59,.280,5,-5.88,93.6,-0.3,101.7,-5.0,107.4,0.7,,J. Vaughn (23-59),A. Afflalo (5.3)
2012-13,NBA,Orlando Magic,20,62,.244,5,-7.12,92.2,0.2,101.6,-4.3,109.1,3.2,,J. Vaughn (20-62),N. Vucevic (5.7)
2011-12,NBA,Orlando Magic*,37,29,.561,3,0.46,89.0,-2.3,105.0,0.4,104.1,-0.5,Lost E. Conf. 1st Rnd.,S. Van Gundy (37-29),R. Anderson (8.9)
2010-11,NBA,Orlando Magic*,52,30,.634,2,4.92,91.2,-0.9,107.9,0.6,102.0,-5.3,Lost E. Conf. 1st Rnd.,S. Van Gundy (52-30),D. Howard (14.4)
2009-10,NBA,Orlando Magic*,59,23,.720,1,7.12,92.0,-0.7,111.4,3.8,103.3,-4.3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Howard (13.2)
2008-09,NBA,Orlando Magic*,59,23,.720,1,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,Lost Finals,S. Van Gundy (59-23),D. Howard (13.8)
2007-08,NBA,Orlando Magic*,52,30,.634,1,4.79,93.4,1.0,111.3,3.8,105.5,-2.0,Lost E. Conf. Semis,S. Van Gundy (52-30),D. Howard (12.9)
2006-07,NBA,Orlando Magic*,40,42,.488,3,0.35,89.9,-2.0,104.9,-1.6,104.1,-2.4,Lost E. Conf. 1st Rnd.,B. Hill (40-42),D. Howard (9.7)
2005-06,NBA,Orlando Magic,36,46,.439,3,-1.26,88.3,-2.2,106.3,0.1,107.5,1.3,,B. Hill (36-46),D. Howard (8.6)
2004-05,NBA,Orlando Magic,36,46,.439,3,-2.52,94.7,3.8,104.9,-1.2,107.3,1.2,,J. Davis (31-33) C. Jent (5-13),D. Howard (7.3)
2003-04,NBA,Orlando Magic,21,61,.256,7,-7.25,90.8,0.7,102.7,-0.2,110.4,7.5,,D. Rivers (1-10) J. Davis (20-51),T. McGrady (8.4)
2002-03,NBA,Orlando Magic*,42,40,.512,4,-0.39,93.1,2.1,105.2,1.6,105.0,1.4,Lost E. Conf. 1st Rnd.,D. Rivers (42-40),T. McGrady (16.1)
2001-02,NBA,Orlando Magic*,44,38,.537,3,1.25,93.2,2.5,107.0,2.5,105.3,0.8,Lost E. Conf. 1st Rnd.,D. Rivers (44-38),T. McGrady (11.5)
2000-01,NBA,Orlando Magic*,43,39,.524,4,0.39,93.2,1.9,103.2,0.2,102.1,-0.9,Lost E. Conf. 1st Rnd.,D. Rivers (43-39),T. McGrady (12.2)
1999-00,NBA,Orlando Magic,41,41,.500,4,0.43,97.3,4.2,102.4,-1.7,101.7,-2.4,,D. Rivers (41-41),D. Armstrong (8.0)
1998-99,NBA,Orlando Magic*,33,17,.660,2,3.11,88.8,-0.1,100.3,-1.9,97.4,-4.8,Lost E. Conf. 1st Rnd.,C. Daly (33-17),D. Armstrong (6.4)
1997-98,NBA,Orlando Magic,41,41,.500,5,-0.53,87.1,-3.2,102.6,-2.4,103.8,-1.2,,C. Daly (41-41),B. Outlaw (7.6)
1996-97,NBA,Orlando Magic*,45,37,.549,3,-0.07,88.3,-1.8,105.6,-1.1,106.0,-0.7,Lost E. Conf. 1st Rnd.,B. Hill (24-25) R. Adubato (21-12),A. Hardaway (8.1)
1995-96,NBA,Orlando Magic*,60,22,.732,1,5.40,91.8,0.0,112.9,5.3,106.9,-0.7,Lost E. Conf. Finals,B. Hill (60-22),A. Hardaway (14.4)
1994-95,NBA,Orlando Magic*,57,25,.695,1,6.44,95.1,2.2,115.1,6.8,107.8,-0.5,Lost Finals,B. Hill (57-25),S. O'Neal (14.0)
1993-94,NBA,Orlando Magic*,50,32,.610,2,3.68,95.2,0.1,110.8,4.5,106.7,0.4,Lost E. Conf. 1st Rnd.,B. Hill (50-32),S. O'Neal (16.9)
1992-93,NBA,Orlando Magic,41,41,.500,4,1.35,96.3,-0.5,108.5,0.5,107.1,-0.9,,M. Guokas (41-41),S. O'Neal (10.4)
1991-92,NBA,Orlando Magic,21,61,.256,7,-6.52,98.0,1.4,103.5,-4.7,110.5,2.3,,M. Guokas (21-61),T. Catledge (4.6)
1990-91,NBA,Orlando Magic,31,51,.378,4,-3.79,99.5,1.7,105.9,-2.0,109.9,2.0,,M. Guokas (31-51),S. Skiles (7.0)
1989-90,NBA,Orlando Magic,18,64,.220,7,-8.73,104.1,5.8,105.8,-2.3,114.3,6.2,,M. Guokas (18-64),O. Smith (3.3)
