Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,ORL,19,39,5,,24.5,6-7,220,,58,13970,2167,4740,.457,396,1120,.354,1771,3620,.489,825,1124,.734,525,1840,2365,1183,435,211,864,1231,5555
2013-14,NBA,ORL,23,59,5,,24.6,6-6,222,,82,19955,3022,6784,.445,563,1596,.353,2459,5188,.474,1307,1714,.763,794,2654,3448,1726,630,350,1222,1678,7914
2012-13,NBA,ORL,20,62,5,,24.6,6-6,220,,82,19780,3093,6904,.448,506,1537,.329,2587,5367,.482,1026,1359,.755,890,2612,3502,1871,528,358,1191,1591,7718
2011-12,NBA,ORL,37,29,3,,27.5,6-6,222,,66,15965,2275,5162,.441,670,1785,.375,1605,3377,.475,995,1508,.660,742,2060,2802,1321,451,275,984,1168,6215
2010-11,NBA,ORL,52,30,2,,27.6,6-6,218,,82,19830,2956,6411,.461,770,2103,.366,2186,4308,.507,1453,2101,.692,864,2679,3543,1636,548,384,1224,1640,8135
2009-10,NBA,ORL,59,23,1,,27.9,6-6,217,,82,19730,3005,6394,.470,841,2241,.375,2164,4153,.521,1575,2176,.724,810,2736,3546,1615,512,456,1155,1629,8426
2008-09,NBA,ORL,59,23,1,,27.3,6-7,213,,82,19730,2929,6416,.457,817,2147,.381,2112,4269,.495,1611,2253,.715,819,2728,3547,1593,570,439,1142,1664,8286
2007-08,NBA,ORL,52,30,1,,26.7,6-7,217,,82,19780,3058,6446,.474,801,2074,.386,2257,4372,.516,1650,2288,.721,768,2677,3445,1706,520,333,1173,1688,8567
2006-07,NBA,ORL,40,42,3,,25.6,6-7,218,,82,19780,2875,6090,.472,342,962,.356,2533,5128,.494,1679,2393,.702,920,2418,3338,1525,565,416,1392,1904,7771
2005-06,NBA,ORL,36,46,3,,25.5,6-7,218,,82,19905,2911,6167,.472,299,796,.376,2612,5371,.486,1663,2277,.730,892,2402,3294,1495,532,362,1240,1908,7784
2004-05,NBA,ORL,36,46,3,,26.5,6-7,220,,82,19705,3034,6679,.454,320,916,.349,2714,5763,.471,1772,2335,.759,1038,2544,3582,1583,633,441,1322,1937,8160
2003-04,NBA,ORL,21,61,7,,25.8,6-6,214,,82,19830,2904,6768,.429,429,1248,.344,2475,5520,.448,1474,2000,.737,1003,2350,3353,1584,547,308,1123,1744,7711
2002-03,NBA,ORL,42,40,4,,26.9,6-6,213,,82,19805,2947,6763,.436,568,1590,.357,2379,5173,.460,1616,2079,.777,958,2392,3350,1676,696,300,1177,1888,8078
2001-02,NBA,ORL,44,38,3,,28.0,6-6,211,,82,19830,3087,6893,.448,620,1660,.373,2467,5233,.471,1446,1917,.754,942,2440,3382,1804,665,384,1119,1700,8240
2000-01,NBA,ORL,43,39,4,,26.0,6-6,217,,82,19955,3013,6873,.438,490,1346,.364,2523,5527,.456,1476,2068,.714,1069,2450,3519,1803,674,481,1245,2071,7992
1999-00,NBA,ORL,41,41,4,,26.3,6-6,217,,82,19755,3169,7014,.452,294,870,.338,2875,6144,.468,1574,2142,.735,1145,2540,3685,1709,743,467,1443,1967,8206
1998-99,NBA,ORL,33,17,2,,28.7,6-7,213,,50,12050,1687,3943,.428,223,675,.330,1464,3268,.448,876,1252,.700,688,1445,2133,1067,496,213,819,935,4473
1997-98,NBA,ORL,41,41,5,,30.8,6-6,204,,82,19830,2771,6455,.429,293,907,.323,2478,5548,.447,1552,2138,.726,1178,2203,3381,1694,649,441,1258,1617,7387
1996-97,NBA,ORL,45,37,3,,29.4,6-7,209,,82,19855,2839,6497,.437,567,1662,.341,2272,4835,.470,1474,1975,.746,1071,2221,3292,1689,694,363,1250,1643,7719
1995-96,NBA,ORL,60,22,1,,27.7,6-8,223,,82,19855,3203,6640,.482,622,1645,.378,2581,4995,.517,1543,2232,.691,966,2401,3367,2080,663,406,1160,1709,8571
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,ORL,57,25,1,,26.6,6-8,225,,82,19930,3460,6899,.502,523,1412,.370,2937,5487,.535,1648,2465,.669,1149,2457,3606,2281,672,488,1297,1726,9091
1993-94,NBA,ORL,50,32,2,,25.8,6-7,227,,82,19730,3341,6883,.485,394,1137,.347,2947,5746,.513,1590,2346,.678,1177,2356,3533,2070,683,456,1327,1713,8666
1992-93,NBA,ORL,41,41,4,,25.8,6-6,226,,82,19880,3257,6708,.486,317,889,.357,2940,5819,.505,1821,2495,.730,1040,2566,3606,1952,542,467,1429,1925,8652
1991-92,NBA,ORL,21,61,7,,26.6,6-6,213,,82,19705,3220,7102,.453,197,608,.324,3023,6494,.466,1693,2268,.746,1171,2329,3500,1792,643,367,1389,1977,8330
1990-91,NBA,ORL,31,51,4,,26.1,6-6,213,,82,19780,3298,7256,.455,270,754,.358,3028,6502,.466,1818,2447,.743,1233,2429,3662,1809,602,306,1391,1976,8684
1989-90,NBA,ORL,18,64,7,,26.5,6-6,206,,82,19805,3457,7525,.459,116,393,.295,3341,7132,.468,2060,2725,.756,1304,2465,3769,1993,617,294,1407,1975,9090
