Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,PHO,29,28,3,,25.9,6-6,217,,57,13830,2279,4938,.462,543,1514,.359,1736,3424,.507,945,1211,.780,617,1811,2428,1188,504,280,849,1262,6046
2013-14,NBA,PHO,48,34,3,,26.2,6-6,218,,82,19755,3172,6845,.463,765,2055,.372,2407,4790,.503,1520,2004,.758,928,2601,3529,1563,688,374,1258,1798,8629
2012-13,NBA,PHO,25,57,5,,26.9,6-7,220,,82,19805,3061,6917,.443,480,1455,.330,2581,5462,.473,1203,1618,.744,959,2454,3413,1855,659,434,1278,1688,7805
2011-12,NBA,PHO,33,33,3,,28.9,6-7,222,,66,15840,2495,5445,.458,444,1295,.343,2051,4150,.494,1058,1397,.757,717,2035,2752,1486,431,366,928,1233,6492
2010-11,NBA,PHO,40,42,2,,29.6,6-7,221,,82,20005,3219,6844,.470,701,1857,.377,2518,4987,.505,1472,1939,.759,821,2478,3299,1945,545,357,1169,1666,8611
2009-10,NBA,PHO,54,28,2,,28.5,6-7,222,,82,19730,3339,6788,.492,730,1770,.412,2609,5018,.520,1631,2117,.770,910,2616,3526,1912,479,418,1210,1713,9039
2008-09,NBA,PHO,46,36,2,,29.5,6-7,229,,82,19755,3373,6695,.504,553,1445,.383,2820,5250,.537,1675,2251,.744,900,2520,3420,1905,589,420,1288,1691,8974
2007-08,NBA,PHO,55,27,2,,29.3,6-6,217,,82,19780,3392,6782,.500,694,1764,.393,2698,5018,.538,1548,1977,.783,720,2683,3403,2188,532,518,1184,1633,9026
2006-07,NBA,PHO,61,21,1,,27.6,6-6,212,,82,19905,3388,6855,.494,785,1965,.399,2603,4890,.532,1476,1827,.808,737,2583,3320,2122,553,394,1189,1659,9037
2005-06,NBA,PHO,54,28,1,,27.5,6-6,209,,82,19955,3430,7167,.479,837,2097,.399,2593,5070,.511,1189,1475,.806,778,2650,3428,2179,549,412,1088,1683,8886
2004-05,NBA,PHO,62,20,1,,25.2,6-7,220,,82,19780,3351,7018,.477,796,2026,.393,2555,4992,.512,1556,2080,.748,967,2652,3619,1927,572,453,1125,1563,9054
2003-04,NBA,PHO,29,53,6,,24.4,6-7,221,,82,19730,2958,6671,.443,415,1202,.345,2543,5469,.465,1392,1865,.746,924,2406,3330,1586,734,383,1249,1862,7723
2002-03,NBA,PHO,44,38,4,,25.2,6-7,217,,82,19805,3005,6776,.443,394,1149,.343,2611,5627,.464,1430,1928,.742,1049,2440,3489,1719,665,404,1208,1801,7834
2001-02,NBA,PHO,36,46,6,,26.5,6-6,217,,82,19830,3097,6934,.447,358,1096,.327,2739,5838,.469,1250,1630,.767,1072,2430,3502,1838,668,401,1205,1785,7802
2000-01,NBA,PHO,51,31,3,,28.6,6-6,219,,82,19805,2944,6757,.436,332,1054,.315,2612,5703,.458,1490,1973,.755,970,2529,3499,1905,775,429,1250,1864,7710
1999-00,NBA,PHO,53,29,3,,28.6,6-7,222,,82,19805,3093,6771,.457,458,1246,.368,2635,5525,.477,1467,1934,.759,1022,2558,3580,2098,744,433,1368,1973,8111
