Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,POR,36,19,1,,27.1,6-7,218,,55,13350,2091,4726,.442,551,1531,.360,1540,3195,.482,874,1096,.797,594,1925,2519,1220,380,275,760,1026,5607
2013-14,NBA,POR,54,28,2,,25.8,6-7,217,,82,19855,3207,7134,.450,770,2071,.372,2437,5063,.481,1569,1926,.815,1022,2786,3808,1904,454,387,1125,1576,8753
2012-13,NBA,POR,33,49,4,,24.4,6-7,217,,82,19855,3009,6715,.448,673,1904,.353,2336,4811,.486,1304,1680,.776,874,2474,3348,1784,538,353,1203,1518,7995
2011-12,NBA,POR,28,38,4,,27.5,6-6,215,,66,15965,2402,5417,.443,478,1382,.346,1924,4035,.477,1133,1423,.796,735,1949,2684,1349,528,322,935,1251,6415
2010-11,NBA,POR,48,34,3,,26.7,6-6,214,,82,19805,2951,6599,.447,518,1503,.345,2433,5096,.477,1476,1835,.804,996,2230,3226,1736,660,358,1070,1585,7896
2009-10,NBA,POR,50,32,3,,26.6,6-7,215,,82,19855,2974,6453,.461,491,1388,.354,2483,5065,.490,1606,2033,.790,913,2383,3296,1674,523,350,1012,1715,8045
2008-09,NBA,POR,54,28,2,,24.0,6-7,214,,82,19830,3018,6494,.465,596,1555,.383,2422,4939,.490,1521,1988,.765,1060,2360,3420,1667,550,402,1055,1671,8153
2007-08,NBA,POR,41,41,3,,24.1,6-7,216,,82,19905,2935,6546,.448,538,1426,.377,2397,5120,.468,1412,1841,.767,901,2438,3339,1733,455,360,1056,1642,7820
2006-07,NBA,POR,32,50,3,,24.4,6-6,219,,82,19955,2874,6392,.450,426,1232,.346,2448,5160,.474,1543,2006,.769,923,2299,3222,1513,555,380,1236,1931,7717
2005-06,NBA,POR,21,61,5,,24.6,6-6,210,,82,19730,2791,6267,.445,364,1042,.349,2427,5225,.464,1339,1944,.689,886,2203,3089,1490,529,435,1205,1828,7285
2004-05,NBA,POR,27,55,4,,27.0,6-5,210,,82,19730,2896,6422,.451,420,1161,.362,2476,5261,.471,1409,1944,.725,970,2404,3374,1722,583,544,1308,1703,7621
2003-04,NBA,POR,41,41,3,,27.6,6-6,213,,82,19980,2898,6467,.448,381,1102,.346,2517,5365,.469,1263,1728,.731,1040,2376,3416,1768,613,443,1213,1554,7440
2002-03,NBA,POR,50,32,3,,29.2,6-7,216,,82,19855,2987,6491,.460,379,1150,.330,2608,5341,.488,1450,1947,.745,992,2378,3370,1860,725,316,1248,1634,7803
2001-02,NBA,POR,49,33,3,,29.0,6-6,209,,82,19830,3004,6671,.450,466,1318,.354,2538,5353,.474,1451,1901,.763,1085,2444,3529,1926,702,368,1172,1613,7925
