Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,SAC,19,35,4,,26.0,6-6,220,,54,13110,1947,4334,.449,278,858,.324,1669,3476,.480,1237,1600,.773,600,1832,2432,1049,338,215,894,1150,5409
2013-14,NBA,SAC,28,54,4,,24.9,6-6,223,,82,19830,3026,6766,.447,491,1475,.333,2535,5291,.479,1698,2237,.759,990,2656,3646,1547,587,318,1249,1849,8241
2012-13,NBA,SAC,28,54,4,,25.6,6-6,221,,82,19830,3086,6904,.447,610,1681,.363,2476,5223,.474,1437,1869,.769,943,2385,3328,1708,671,342,1199,1717,8219
2011-12,NBA,SAC,22,44,5,,24.3,6-6,222,,66,15915,2490,5712,.436,411,1301,.316,2079,4411,.471,1127,1532,.736,882,1947,2829,1271,561,323,952,1287,6518
2010-11,NBA,SAC,24,58,5,,24.8,6-7,227,,82,19855,3134,6979,.449,428,1277,.335,2706,5702,.475,1455,1981,.734,1071,2526,3597,1675,608,391,1324,1805,8151
2009-10,NBA,SAC,25,57,5,,24.1,6-7,226,,82,19880,3144,6895,.456,482,1383,.349,2662,5512,.483,1430,1969,.726,977,2518,3495,1679,564,366,1226,1827,8200
2008-09,NBA,SAC,17,65,5,,26.3,6-7,216,,82,19905,2990,6685,.447,586,1594,.368,2404,5091,.472,1682,2107,.798,840,2366,3206,1619,569,349,1266,1910,8248
2007-08,NBA,SAC,38,44,4,,27.3,6-7,216,,82,19830,3043,6558,.464,510,1367,.373,2533,5191,.488,1812,2272,.798,829,2456,3285,1567,651,334,1317,1839,8408
2006-07,NBA,SAC,33,49,5,,27.3,6-6,217,,82,19805,2941,6532,.450,530,1513,.350,2411,5019,.480,1891,2473,.765,797,2396,3193,1665,671,265,1194,1792,8303
2005-06,NBA,SAC,44,38,4,,27.2,6-6,220,,82,19830,2954,6500,.454,494,1408,.351,2460,5092,.483,1704,2173,.784,852,2473,3325,1825,608,299,1199,1672,8106
2004-05,NBA,SAC,50,32,2,,27.7,6-6,222,,82,19855,3203,6978,.459,522,1396,.374,2681,5582,.480,1577,2004,.787,1023,2455,3478,2005,674,316,1073,1685,8505
2003-04,NBA,SAC,55,27,2,,29.3,6-7,218,,82,19780,3103,6711,.462,601,1498,.401,2502,5213,.480,1626,2044,.795,888,2492,3380,2152,710,325,1137,1586,8433
2002-03,NBA,SAC,59,23,1,,28.3,6-7,217,,82,19830,3242,6990,.464,491,1288,.381,2751,5702,.482,1367,1832,.746,900,2751,3651,2034,736,457,1192,1666,8342
2001-02,NBA,SAC,61,21,1,,27.0,6-7,220,,82,19755,3267,7003,.467,426,1160,.367,2841,5843,.486,1618,2154,.751,1013,2702,3715,1958,741,375,1128,1560,8578
