Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,San Antonio Spurs,34,22,.607,4,3.30,93.4,-0.4,105.9,0.3,102.4,-3.2,,G. Popovich (34-22),T. Duncan (5.8)
2013-14,NBA,San Antonio Spurs*,62,20,.756,1,8.00,95.0,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich (62-20),K. Leonard (7.7)
2012-13,NBA,San Antonio Spurs*,58,24,.707,1,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich (58-24),T. Parker (9.3)
2011-12,NBA,San Antonio Spurs*,50,16,.758,1,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich (50-16),T. Parker (7.1)
2010-11,NBA,San Antonio Spurs*,61,21,.744,1,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich (61-21),M. Ginobili (9.9)
2009-10,NBA,San Antonio Spurs*,50,32,.610,2,5.07,91.7,-1.0,110.0,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich (50-32),T. Duncan (10.9)
2008-09,NBA,San Antonio Spurs*,54,28,.659,1,3.36,88.4,-3.3,108.5,0.2,104.3,-4.0,Lost W. Conf. 1st Rnd.,G. Popovich (54-28),T. Duncan (10.1)
2007-08,NBA,San Antonio Spurs*,56,26,.683,2,5.10,88.8,-3.6,107.2,-0.3,101.8,-5.7,Lost W. Conf. Finals,G. Popovich (56-26),M. Ginobili (11.1)
2006-07,NBA,San Antonio Spurs*,58,24,.707,2,8.35,89.8,-2.1,109.2,2.7,99.9,-6.6,Won Finals,G. Popovich (58-24),T. Duncan (13.0)
2005-06,NBA,San Antonio Spurs*,63,19,.768,1,6.69,88.5,-2.0,107.3,1.1,99.6,-6.6,Lost W. Conf. Semis,G. Popovich (63-19),T. Duncan (10.8)
2004-05,NBA,San Antonio Spurs*,59,23,.720,1,7.84,88.9,-2.0,107.5,1.4,98.8,-7.3,Won Finals,G. Popovich (59-23),T. Duncan (11.2)
2003-04,NBA,San Antonio Spurs*,57,25,.695,2,7.51,89.2,-0.9,102.2,-0.7,94.1,-8.8,Lost W. Conf. Semis,G. Popovich (57-25),T. Duncan (13.1)
2002-03,NBA,San Antonio Spurs*,60,22,.732,1,5.65,90.0,-1.0,105.6,2.0,99.7,-3.9,Won Finals,G. Popovich (60-22),T. Duncan (16.5)
2001-02,NBA,San Antonio Spurs*,58,24,.707,1,6.28,90.0,-0.7,106.5,2.0,99.7,-4.8,Lost W. Conf. Semis,G. Popovich (58-24),T. Duncan (17.8)
