Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,SAS,34,22,4,,29.8,6-6,216,,56,13665,2121,4661,.455,467,1290,.362,1654,3371,.491,921,1204,.765,564,1884,2448,1364,424,301,810,1084,5630
2013-14,NBA,SAS,62,20,1,,28.9,6-6,213,,82,19755,3326,6844,.486,698,1757,.397,2628,5087,.517,1289,1642,.785,762,2786,3548,2064,604,420,1180,1495,8639
2012-13,NBA,SAS,58,24,1,,28.6,6-6,217,,82,19880,3210,6675,.481,663,1764,.376,2547,4911,.519,1365,1725,.791,666,2721,3387,2058,695,446,1206,1427,8448
2011-12,NBA,SAS,50,16,1,,27.5,6-6,221,,66,15940,2611,5463,.478,552,1405,.393,2059,4058,.507,1067,1427,.748,683,2153,2836,1528,490,293,895,1143,6841
2010-11,NBA,SAS,61,21,1,,28.8,6-6,217,,82,19780,3148,6628,.475,685,1727,.397,2463,4901,.503,1521,1984,.767,829,2603,3432,1836,602,372,1101,1556,8502
2009-10,NBA,SAS,50,32,2,,28.7,6-6,217,,82,19780,3150,6659,.473,554,1547,.358,2596,5112,.508,1458,1969,.740,887,2621,3508,1829,516,381,1116,1669,8312
2008-09,NBA,SAS,54,28,1,,30.4,6-6,213,,82,19905,3042,6534,.466,625,1620,.386,2417,4914,.492,1249,1641,.761,728,2638,3366,1736,474,329,963,1546,7958
2007-08,NBA,SAS,56,26,2,,31.4,6-6,212,,82,19730,2938,6424,.457,594,1610,.369,2344,4814,.487,1350,1774,.761,771,2612,3383,1718,521,337,1035,1537,7820
2006-07,NBA,SAS,58,24,2,,30.4,6-7,212,,82,19780,2999,6328,.474,595,1561,.381,2404,4767,.504,1486,1980,.751,761,2577,3338,1814,587,417,1137,1588,8079
2005-06,NBA,SAS,63,19,1,,29.8,6-7,210,,82,19805,2993,6342,.472,524,1362,.385,2469,4980,.496,1327,1891,.702,851,2548,3399,1717,543,467,1126,1714,7837
2004-05,NBA,SAS,59,23,1,,28.5,6-6,212,,82,19805,2923,6450,.453,507,1395,.363,2416,5055,.478,1535,2120,.724,987,2489,3476,1771,613,543,1126,1717,7888
2003-04,NBA,SAS,57,25,2,,27.3,6-7,215,,82,19755,2842,6434,.442,408,1140,.358,2434,5294,.460,1409,2069,.681,1029,2669,3698,1676,661,537,1203,1667,7501
2002-03,NBA,SAS,60,22,1,,28.4,6-7,213,,82,19830,2908,6297,.462,449,1270,.354,2459,5027,.489,1591,2194,.725,939,2556,3495,1636,629,529,1295,1672,7856
2001-02,NBA,SAS,58,24,1,,28.5,6-7,214,,82,19855,2913,6363,.458,438,1211,.362,2475,5152,.480,1668,2249,.742,907,2566,3473,1643,625,537,1180,1575,7932
2000-01,NBA,SAS,58,24,1,,29.5,6-7,216,,82,19830,2884,6262,.461,445,1094,.407,2439,5168,.472,1673,2340,.715,902,2712,3614,1778,568,576,1145,1551,7886
1999-00,NBA,SAS,53,29,2,,30.9,6-6,215,,82,19855,2952,6393,.462,330,882,.374,2622,5511,.476,1652,2214,.746,927,2666,3593,1819,614,551,1233,1716,7886
1998-99,NBA,SAS,37,13,1,,30.1,6-6,213,,50,12075,1740,3812,.456,172,521,.330,1568,3291,.476,988,1415,.698,614,1584,2198,1101,421,351,759,1010,4640
1997-98,NBA,SAS,56,26,2,,28.7,6-6,214,,82,19830,2898,6187,.468,302,863,.350,2596,5324,.488,1489,2164,.688,984,2638,3622,1839,516,568,1318,1731,7587
1996-97,NBA,SAS,20,62,6,,29.9,6-6,205,,82,19730,2827,6391,.442,378,1180,.320,2449,5211,.470,1386,1929,.719,1101,2129,3230,1661,646,431,1243,1764,7418
1995-96,NBA,SAS,59,23,1,,29.4,6-6,208,,82,19780,3148,6602,.477,518,1320,.392,2630,5282,.498,1663,2261,.736,937,2586,3523,2044,645,536,1195,1820,8477
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
