Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,TOR,37,19,1,,26.1,6-6,210,,56,13590,2136,4707,.454,494,1418,.348,1642,3289,.499,1109,1420,.781,626,1725,2351,1167,440,255,728,1186,5875
2013-14,NBA,TOR,48,34,1,,25.6,6-6,211,,82,19955,2992,6718,.445,713,1917,.372,2279,4801,.475,1608,2055,.782,935,2552,3487,1737,577,343,1159,1882,8305
2012-13,NBA,TOR,34,48,5,,25.4,6-6,213,,82,19980,2979,6685,.446,571,1665,.343,2408,5020,.480,1442,1831,.788,871,2426,3297,1765,595,392,1124,1836,7971
2011-12,NBA,TOR,23,43,4,,25.7,6-7,222,,66,15965,2268,5154,.440,365,1075,.340,1903,4079,.467,1085,1410,.770,697,2074,2771,1382,429,321,1001,1532,5986
2010-11,NBA,TOR,22,60,5,,24.5,6-7,218,,82,19780,3144,6755,.465,345,1091,.316,2799,5664,.494,1491,1976,.755,963,2343,3306,1795,581,350,1206,1807,8124
2009-10,NBA,TOR,40,42,2,,25.2,6-7,216,,82,19780,3199,6631,.482,518,1397,.371,2681,5234,.512,1618,2118,.764,806,2507,3313,1804,469,384,1100,1819,8534
2008-09,NBA,TOR,33,49,4,,27.0,6-7,217,,82,19805,3054,6673,.458,479,1289,.372,2575,5384,.478,1534,1861,.824,802,2513,3315,1835,523,390,1098,1593,8121
2007-08,NBA,TOR,41,41,2,,26.3,6-7,217,,82,19830,3148,6726,.468,572,1459,.392,2576,5267,.489,1347,1658,.812,790,2496,3286,1953,570,336,959,1596,8215
2006-07,NBA,TOR,47,35,1,,26.0,6-6,216,,82,19755,3032,6547,.463,531,1464,.363,2501,5083,.492,1562,1982,.788,755,2480,3235,1822,581,321,1104,1672,8157
2005-06,NBA,TOR,27,55,4,,25.9,6-7,221,,82,19955,3013,6639,.454,608,1620,.375,2405,5019,.479,1653,2089,.791,864,2291,3155,1593,529,272,1071,1965,8287
2004-05,NBA,TOR,33,49,4,,27.0,6-7,216,,82,19805,2952,6656,.444,648,1681,.385,2304,4975,.463,1626,2101,.774,844,2444,3288,1670,621,317,1087,1876,8178
2003-04,NBA,TOR,33,49,6,,27.6,6-7,215,,82,19980,2654,6348,.418,461,1294,.356,2193,5054,.434,1237,1650,.750,830,2419,3249,1574,604,402,1164,1748,7006
2002-03,NBA,TOR,24,58,7,,27.6,6-7,212,,82,19805,2847,6664,.427,409,1193,.343,2438,5471,.446,1350,1879,.718,1023,2355,3378,1583,609,392,1181,1761,7453
2001-02,NBA,TOR,42,40,3,,29.3,6-7,213,,82,19755,2919,6727,.434,387,1109,.349,2532,5618,.451,1269,1717,.739,1114,2336,3450,1779,688,454,1174,1771,7494
2000-01,NBA,TOR,47,35,2,,29.9,6-6,210,,82,19955,3048,6972,.437,429,1164,.369,2619,5808,.451,1482,1984,.747,1118,2529,3647,2004,599,519,1080,1745,8007
1999-00,NBA,TOR,45,37,3,,29.3,6-5,204,,82,19755,2980,6882,.433,425,1171,.363,2555,5711,.447,1583,2068,.765,1098,2449,3547,1947,666,544,1137,1989,7968
1998-99,NBA,TOR,23,27,6,,27.3,6-6,209,,50,12075,1660,3940,.421,226,662,.341,1434,3278,.437,1011,1330,.760,712,1447,2159,1036,439,321,799,1139,4557
1997-98,NBA,TOR,16,66,8,,24.8,6-6,213,,82,19930,2965,6813,.435,372,1086,.343,2593,5727,.453,1479,2060,.718,1187,2149,3336,1746,769,663,1371,1851,7781
1996-97,NBA,TOR,30,52,8,,25.1,6-6,214,,82,19830,2897,6632,.437,589,1624,.363,2308,5008,.461,1446,2008,.720,1135,2254,3389,1714,722,517,1347,1883,7829
1995-96,NBA,TOR,21,61,8,,26.2,6-6,215,,82,19830,3084,6598,.467,414,1168,.354,2670,5430,.492,1412,1953,.723,1071,2213,3284,1927,745,493,1544,1987,7994
