Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,UTA,21,34,3,,23.3,6-7,217,,55,13200,1972,4392,.449,399,1163,.343,1573,3229,.487,913,1247,.732,651,1721,2372,1106,397,322,823,1051,5256
2013-14,NBA,UTA,25,57,5,,24.5,6-6,215,,82,19780,2951,6652,.444,543,1577,.344,2408,5075,.474,1346,1803,.747,904,2477,3381,1664,570,366,1200,1699,7791
2012-13,NBA,UTA,43,39,3,,26.3,6-7,224,,82,19880,3046,6710,.454,507,1385,.366,2539,5325,.477,1439,1883,.764,989,2457,3446,1859,690,515,1210,1750,8038
2011-12,NBA,UTA,36,30,3,,25.6,6-7,222,,66,16165,2523,5531,.456,273,845,.323,2250,4686,.480,1258,1668,.754,861,2055,2916,1439,545,385,936,1441,6577
2010-11,NBA,UTA,39,43,4,,26.8,6-6,224,,82,19880,3064,6590,.465,435,1256,.346,2629,5334,.493,1590,2061,.771,898,2338,3236,1921,629,484,1175,1865,8153
2009-10,NBA,UTA,53,29,2,,25.6,6-7,228,,82,19755,3227,6575,.491,439,1207,.364,2788,5368,.519,1654,2233,.741,872,2588,3460,2187,675,400,1246,1859,8547
2008-09,NBA,UTA,48,34,3,,25.5,6-6,225,,82,19880,3143,6623,.475,392,1122,.349,2751,5501,.500,1814,2352,.771,940,2423,3363,2024,719,374,1210,1830,8492
2007-08,NBA,UTA,54,28,1,,25.3,6-7,229,,82,19705,3279,6592,.497,407,1095,.372,2872,5497,.522,1745,2298,.759,942,2410,3352,2165,717,355,1200,1970,8710
2006-07,NBA,UTA,51,31,1,,25.9,6-6,229,,82,19805,3069,6471,.474,354,1056,.335,2715,5415,.501,1830,2462,.743,1030,2456,3486,2024,577,339,1277,2067,8322
2005-06,NBA,UTA,41,41,2,,25.6,6-7,228,,82,19880,2744,6207,.442,311,925,.336,2433,5282,.461,1774,2466,.719,1071,2380,3451,1772,524,492,1290,2032,7573
2004-05,NBA,UTA,26,56,5,,25.7,6-7,222,,82,19780,2828,6301,.449,250,762,.328,2578,5539,.465,1719,2272,.757,1047,2243,3290,1826,541,374,1292,2189,7625
2003-04,NBA,UTA,42,40,7,,24.9,6-7,222,,82,19780,2690,6172,.436,252,786,.321,2438,5386,.453,1639,2196,.746,1103,2272,3375,1671,583,494,1365,2096,7271
2002-03,NBA,UTA,47,35,4,,30.9,6-7,224,,82,19780,2894,6189,.468,224,641,.349,2670,5548,.481,1750,2349,.745,1021,2381,3402,2103,708,467,1374,1837,7762
2001-02,NBA,UTA,44,38,4,,29.9,6-7,223,,82,19830,2869,6374,.450,280,842,.333,2589,5532,.468,1853,2430,.763,1109,2349,3458,1999,749,523,1353,1971,7871
2000-01,NBA,UTA,53,29,2,,32.0,6-6,217,,82,19780,2960,6289,.471,325,852,.381,2635,5437,.485,1714,2280,.752,943,2383,3326,2110,661,463,1296,2107,7959
1999-00,NBA,UTA,55,27,1,,31.5,6-6,216,,82,19755,2962,6380,.464,329,854,.385,2633,5526,.476,1661,2150,.773,936,2426,3362,2041,629,446,1220,2013,7914
1998-99,NBA,UTA,37,13,2,,30.3,6-6,220,,50,12175,1684,3620,.465,140,388,.361,1544,3232,.478,1158,1510,.767,555,1508,2063,1204,398,276,814,1133,4666
1997-98,NBA,UTA,62,20,1,,29.7,6-6,218,,82,19780,2993,6113,.490,249,670,.372,2744,5443,.504,2044,2644,.773,962,2405,3367,2070,648,412,1260,1961,8279
1996-97,NBA,UTA,64,18,1,,29.6,6-6,218,,82,19830,3131,6217,.504,334,902,.370,2797,5315,.526,1858,2416,.769,889,2410,3299,2199,748,418,1259,1981,8454
1995-96,NBA,UTA,55,27,2,,29.5,6-6,217,,82,19780,3129,6417,.488,377,1013,.372,2752,5404,.509,1769,2302,.768,993,2373,3366,2139,667,418,1215,2046,8404
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,UTA,60,22,2,,29.6,6-6,215,,82,19780,3243,6339,.512,301,801,.376,2942,5538,.531,1939,2483,.781,874,2412,3286,2256,758,392,1289,2045,8726
1993-94,NBA,UTA,53,29,3,,29.4,6-6,216,,82,19830,3207,6729,.477,179,559,.320,3028,6170,.491,1761,2379,.740,1059,2385,3444,2179,751,364,1191,1988,8354
1992-93,NBA,UTA,47,35,3,,29.3,6-6,217,,82,19755,3336,6828,.489,130,414,.314,3206,6414,.500,1907,2491,.766,1041,2463,3504,2177,746,344,1270,1965,8709
1991-92,NBA,UTA,55,27,1,,28.5,6-6,219,,82,19880,3379,6866,.492,158,458,.345,3221,6408,.503,1961,2490,.788,1097,2543,3640,2188,715,448,1264,1746,8877
