Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2014-15,NBA,Washington Wizards,33,23,.589,2,0.68,93.5,-0.3,105.0,-0.6,103.7,-1.9,,R. Wittman (33-23),J. Wall (6.1)
2013-14,NBA,Washington Wizards*,44,38,.537,2,0.48,93.2,-0.7,106.0,-0.7,104.6,-2.1,Lost E. Conf. Semis,R. Wittman (44-38),M. Gortat (8.1)
2012-13,NBA,Washington Wizards,29,53,.354,3,-2.78,92.2,0.2,100.2,-5.7,103.0,-2.9,,R. Wittman (29-53),M. Webster (6.3)
2011-12,NBA,Washington Wizards,20,46,.303,4,-5.14,92.5,1.2,101.0,-3.6,106.2,1.6,,F. Saunders (2-15) R. Wittman (18-31),J. Wall (3.5)
2010-11,NBA,Washington Wizards,23,59,.280,5,-7.30,93.8,1.7,102.4,-4.9,110.2,2.9,,F. Saunders (23-59),J. McGee (5.3)
2009-10,NBA,Washington Wizards,26,56,.317,5,-4.72,91.6,-1.1,104.2,-3.4,109.4,1.8,,F. Saunders (26-56),B. Haywood (4.5)
2008-09,NBA,Washington Wizards,19,63,.232,5,-6.98,91.0,-0.7,105.4,-2.9,113.6,5.3,,E. Jordan (1-10) E. Tapscott (18-53),A. Jamison (8.1)
2007-08,NBA,Washington Wizards*,43,39,.524,2,-0.61,89.5,-2.9,109.2,1.7,109.6,2.1,Lost E. Conf. 1st Rnd.,E. Jordan (43-39),A. Jamison (9.2)
2006-07,NBA,Washington Wizards*,41,41,.500,2,-0.80,94.1,2.2,110.1,3.6,110.6,4.1,Lost E. Conf. 1st Rnd.,E. Jordan (41-41),G. Arenas (10.8)
2005-06,NBA,Washington Wizards*,42,40,.512,2,1.57,92.3,1.8,109.3,3.1,107.3,1.1,Lost E. Conf. 1st Rnd.,E. Jordan (42-40),G. Arenas (13.6)
2004-05,NBA,Washington Wizards*,45,37,.549,2,-0.71,93.3,2.4,107.2,1.1,107.5,1.4,Lost E. Conf. Semis,E. Jordan (45-37),G. Arenas (11.5)
2003-04,NBA,Washington Wizards,25,57,.305,6,-6.12,92.2,2.1,98.8,-4.1,104.8,1.9,,E. Jordan (25-57),K. Brown (4.9)
2002-03,NBA,Washington Wizards,37,45,.451,5,-1.47,88.2,-2.8,103.0,-0.6,104.1,0.5,,D. Collins (37-45),C. Laettner (6.6)
2001-02,NBA,Washington Wizards,37,45,.451,5,-1.58,88.3,-2.4,104.8,0.3,106.4,1.9,,D. Collins (37-45),C. Whitney (6.5)
2000-01,NBA,Washington Wizards,19,63,.232,7,-6.75,92.7,1.4,100.6,-2.4,107.8,4.8,,L. Hamilton (19-63),M. Smith (3.6)
1999-00,NBA,Washington Wizards,29,53,.354,7,-3.47,92.7,-0.4,103.5,-0.6,107.0,2.9,,G. Heard (14-30) D. Walker (15-23),M. Richmond (5.2)
1998-99,NBA,Washington Wizards,18,32,.360,6,-1.75,89.8,0.9,101.2,-1.0,103.7,1.5,,B. Bickerstaff (13-19) J. Brovelli (5-13),R. Strickland (4.1)
1997-98,NBA,Washington Wizards,42,40,.512,4,1.11,91.8,1.5,105.2,0.2,104.5,-0.5,,B. Bickerstaff (42-40),C. Webber (8.3)
1996-97,NBA,Washington Bullets*,44,38,.537,4,1.77,92.4,2.3,106.6,-0.1,104.9,-1.8,Lost E. Conf. 1st Rnd.,J. Lynam (22-24) B. Staak (0-1) B. Bickerstaff (22-13),C. Webber (9.3)
1995-96,NBA,Washington Bullets,39,43,.476,4,0.99,93.7,1.9,108.7,1.1,107.6,0.0,,J. Lynam (39-43),G. Muresan (8.0)
1994-95,NBA,Washington Bullets,21,61,.256,7,-5.56,94.5,1.6,105.4,-2.9,111.3,3.0,,J. Lynam (21-61),S. Skiles (4.5)
1993-94,NBA,Washington Bullets,24,58,.293,7,-7.13,95.9,0.8,104.5,-1.8,112.2,5.9,,W. Unseld (24-58),D. MacLean (5.6)
1992-93,NBA,Washington Bullets,22,60,.268,7,-6.49,97.7,0.9,103.6,-4.4,110.8,2.8,,W. Unseld (22-60),H. Grant (5.0)
1991-92,NBA,Washington Bullets,25,57,.305,6,-4.35,97.7,1.1,103.9,-4.3,108.4,0.2,,W. Unseld (25-57),P. Ellison (6.9)
1990-91,NBA,Washington Bullets,30,52,.366,4,-4.84,97.5,-0.3,103.0,-4.9,108.1,0.2,,W. Unseld (30-52),H. Grant (6.7)
1989-90,NBA,Washington Bullets,31,51,.378,4,-2.43,99.4,1.1,107.5,-0.6,109.7,1.6,,W. Unseld (31-51),D. Walker (6.3)
1988-89,NBA,Washington Bullets,40,42,.488,4,-1.77,100.8,0.2,106.4,-1.4,108.5,0.7,,W. Unseld (40-42),J. Williams (6.9)
1987-88,NBA,Washington Bullets*,38,44,.463,2,-0.16,98.1,-1.5,106.5,-1.5,107.2,-0.8,Lost E. Conf. 1st Rnd.,K. Loughery (8-19) W. Unseld (30-25),M. Malone (9.2)
1986-87,NBA,Washington Bullets*,42,40,.512,3,-1.02,100.2,-0.6,105.7,-2.6,107.0,-1.3,Lost E. Conf. 1st Rnd.,K. Loughery (42-40),M. Malone (9.4)
1985-86,NBA,Washington Bullets*,39,43,.476,3,-1.28,99.1,-3.0,103.0,-4.2,104.8,-2.4,Lost E. Conf. 1st Rnd.,G. Shue (32-37) K. Loughery (7-6),J. Malone (6.1)
1984-85,NBA,Washington Bullets*,40,42,.488,4,0.15,100.3,-1.8,104.3,-3.6,104.6,-3.3,Lost E. Conf. 1st Rnd.,G. Shue (40-42),G. Ballard (6.0)
1983-84,NBA,Washington Bullets*,35,47,.427,5,-2.36,97.4,-4.0,104.2,-3.4,107.2,-0.4,Lost E. Conf. 1st Rnd.,G. Shue (35-47),J. Ruland (9.3)
1982-83,NBA,Washington Bullets,42,40,.512,5,0.20,99.4,-3.7,99.1,-5.6,99.3,-5.4,,G. Shue (42-40),J. Ruland (10.1)
