Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,NBA,WAS,33,23,2,,28.8,6-7,222,,56,13590,2165,4610,.470,334,907,.368,1831,3703,.494,896,1208,.742,590,1875,2465,1368,409,262,838,1179,5560
2013-14,NBA,WAS,44,38,2,,26.3,6-7,218,,82,20055,3177,6920,.459,647,1704,.380,2530,5216,.485,1253,1715,.731,886,2573,3459,1909,668,377,1204,1675,8254
2012-13,NBA,WAS,29,53,3,,25.4,6-6,220,,82,19855,2910,6693,.435,545,1495,.365,2365,5198,.455,1279,1746,.733,887,2652,3539,1775,598,376,1238,1681,7644
2011-12,NBA,WAS,20,46,4,,24.2,6-7,220,,66,15865,2414,5475,.441,344,1075,.320,2070,4400,.470,1008,1386,.727,775,1975,2750,1262,527,417,1008,1405,6180
2010-11,NBA,WAS,23,59,5,,24.9,6-7,216,,82,19930,3048,6888,.443,392,1182,.332,2656,5706,.465,1489,1999,.745,1013,2374,3387,1592,665,502,1258,1850,7977
2009-10,NBA,WAS,26,56,5,,27.6,6-7,216,,82,19830,3008,6700,.449,432,1225,.353,2576,5475,.471,1444,1895,.762,966,2458,3424,1557,493,421,1219,1752,7892
2008-09,NBA,WAS,19,63,5,,26.9,6-7,216,,82,19705,2994,6655,.450,395,1198,.330,2599,5457,.476,1494,1948,.767,956,2330,3286,1641,619,365,1146,1679,7877
2007-08,NBA,WAS,43,39,2,,27.2,6-7,222,,82,19905,2986,6695,.446,575,1614,.356,2411,5081,.475,1557,1991,.782,1007,2404,3411,1607,632,391,1082,1606,8104
2006-07,NBA,WAS,41,41,2,,26.8,6-6,220,,82,19830,3070,6820,.450,561,1614,.348,2509,5206,.482,1855,2425,.765,998,2379,3377,1660,635,375,1133,1823,8556
2005-06,NBA,WAS,42,40,2,,26.5,6-7,219,,82,19830,2975,6656,.447,497,1394,.357,2478,5262,.471,1889,2496,.757,1035,2344,3379,1523,658,339,1143,1855,8336
2004-05,NBA,WAS,45,37,2,,25.3,6-7,217,,82,19780,2966,6794,.437,514,1498,.343,2452,5296,.463,1795,2476,.725,1133,2374,3507,1563,716,347,1172,1807,8241
2003-04,NBA,WAS,25,57,6,,24.4,6-7,218,,82,19830,2758,6556,.421,433,1269,.341,2325,5287,.440,1579,2211,.714,1115,2392,3507,1537,733,406,1439,1712,7528
2002-03,NBA,WAS,37,45,5,,28.4,6-7,219,,82,19830,2816,6394,.440,253,811,.312,2563,5583,.459,1617,2077,.779,917,2395,3312,1612,621,390,1095,1644,7502
2001-02,NBA,WAS,37,45,5,,27.5,6-6,216,,82,19730,2938,6664,.441,305,786,.388,2633,5878,.448,1428,1866,.765,1055,2393,3448,1715,570,354,1068,1763,7609
2000-01,NBA,WAS,19,63,7,,27.0,6-6,217,,82,19680,2833,6453,.439,275,848,.324,2558,5605,.456,1704,2245,.759,1016,2370,3386,1647,630,383,1391,1913,7645
1999-00,NBA,WAS,29,53,7,,28.0,6-6,220,,82,19805,3010,6681,.451,335,890,.376,2675,5791,.462,1566,2107,.743,1064,2438,3502,1771,593,383,1320,2149,7921
1998-99,NBA,WAS,18,32,6,,29.3,6-6,215,,50,12050,1768,3969,.445,179,580,.309,1589,3389,.469,845,1198,.705,595,1403,1998,1064,393,193,736,1151,4560
1997-98,NBA,WAS,42,40,4,,26.7,6-6,215,,82,19805,3080,6811,.452,320,944,.339,2760,5867,.470,1489,2156,.691,1121,2341,3462,1900,689,379,1156,1839,7969
1996-97,NBA,WSB,44,38,4,,25.9,6-7,220,,82,19855,3208,6678,.480,331,1001,.331,2877,5677,.507,1400,1979,.707,1010,2420,3430,1921,712,402,1289,1815,8147
1995-96,NBA,WSB,39,43,4,,24.8,6-7,223,,82,19805,3202,6618,.484,493,1212,.407,2709,5406,.501,1511,2076,.728,930,2327,3257,1815,592,506,1327,1981,8408
Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,NBA,WSB,21,61,7,,24.5,6-7,224,,82,19855,3176,6899,.460,433,1264,.343,2743,5635,.487,1457,2013,.724,1044,2219,3263,1749,648,404,1301,1949,8242
1993-94,NBA,WSB,24,58,7,,25.8,6-6,214,,82,19705,3195,6826,.468,221,744,.297,2974,6082,.489,1618,2162,.748,1071,2189,3260,1823,701,321,1403,1715,8229
1992-93,NBA,WSB,22,60,7,,26.1,6-6,202,,82,19805,3302,7065,.467,174,578,.301,3128,6487,.482,1575,2107,.748,1031,2317,3348,2110,673,359,1323,1795,8353
1991-92,NBA,WSB,25,57,6,,26.1,6-5,197,,82,19855,3364,7301,.461,146,537,.272,3218,6764,.476,1521,1956,.778,1069,2345,3414,2011,713,422,1254,1852,8395
1990-91,NBA,WSB,30,52,4,,26.5,6-6,201,,82,19855,3390,7268,.466,55,284,.194,3335,6984,.478,1478,2028,.729,1173,2390,3563,2081,588,468,1359,1927,8313
1989-90,NBA,WSB,31,51,4,,27.5,6-6,206,,82,19830,3598,7581,.475,37,197,.188,3561,7384,.482,1599,2093,.764,1198,2450,3648,2214,561,424,1201,1929,8832
1988-89,NBA,WSB,40,42,4,,26.2,6-6,207,,82,19855,3519,7591,.464,52,243,.214,3467,7348,.472,1789,2318,.772,1254,2354,3608,2048,694,325,1291,2054,8879
1987-88,NBA,WSB,38,44,2,,26.6,6-6,201,,82,19880,3355,7164,.468,29,138,.210,3326,7026,.473,1914,2476,.773,1229,2297,3526,1875,698,502,1384,1922,8653
1986-87,NBA,WSB,42,40,3,,25.9,6-6,205,,82,19705,3356,7397,.454,43,218,.197,3313,7179,.461,1935,2531,.765,1305,2315,3620,1750,755,685,1301,1775,8690
1985-86,NBA,WSB,39,43,3,,27.1,6-7,205,,82,19855,3311,7148,.463,116,408,.284,3195,6740,.474,1704,2286,.745,1066,2432,3498,1748,626,716,1346,1796,8442
1984-85,NBA,WSB,40,42,4,,27.1,6-6,210,,82,19855,3534,7383,.479,109,398,.274,3425,6985,.490,1478,1989,.743,1012,2395,3407,2088,709,393,1282,1869,8655
1983-84,NBA,WSB,35,47,5,,26.2,6-6,216,,82,19905,3344,6907,.484,71,282,.252,3273,6625,.494,1664,2201,.756,1027,2387,3414,2192,556,320,1448,1989,8423
1982-83,NBA,WSB,42,40,5,,25.8,6-6,215,,82,19805,3306,7059,.468,70,237,.295,3236,6822,.474,1452,2059,.705,1099,2430,3529,2046,733,400,1588,1958,8134
1981-82,NBA,WSB,43,39,4,,26.0,6-6,212,,82,19830,3400,7168,.474,59,236,.250,3341,6932,.482,1626,2105,.772,1047,2583,3630,1983,643,397,1390,2072,8485
1980-81,NBA,WSB,39,43,4,,28.6,6-5,211,,82,19780,3549,7517,.472,65,241,.270,3484,7276,.479,1499,2072,.723,1155,2533,3688,2151,641,392,1422,1895,8662
1979-80,NBA,WSB,39,43,3,,29.0,6-5,211,,82,19880,3574,7796,.458,73,238,.307,3501,7558,.463,1552,2048,.758,1334,2723,4057,2201,530,443,1380,1893,8773
1978-79,NBA,WSB,54,28,1,,28.2,6-5,209,,82,19780,3819,7873,.485,,,,3819,7873,.485,1785,2428,.735,1309,2768,4077,2169,614,401,1420,1804,9423
1977-78,NBA,WSB,44,38,2,,27.4,6-5,209,,82,19830,3580,7772,.461,,,,3580,7772,.461,1887,2655,.711,1349,2815,4164,1948,668,386,1613,1879,9047
1976-77,NBA,WSB,48,34,2,,27.4,6-5,211,,82,19730,3514,7479,.470,,,,3514,7479,.470,1622,2264,.716,1185,2758,3943,1935,642,433,1677,1940,8650
