2009-10,21,HOU,NBA,SF,74,4,20.1,3.4,7.6,.441,1.2,3.4,.369,2.1,4.3,.497,0.9,1.2,.770,0.5,2.5,3.0,1.2,0.5,0.1,0.6,1.1,8.9
2010-11,22,HOU,NBA,SF,78,22,22.3,3.6,8.4,.425,1.1,3.5,.325,2.4,4.9,.497,1.5,1.8,.855,0.7,2.9,3.6,1.6,0.5,0.2,0.9,1.5,9.8
2011-12,23,HOU,NBA,SF,58,9,22.4,3.6,8.1,.442,1.5,3.8,.402,2.1,4.3,.476,0.9,1.2,.771,0.7,3.1,3.7,1.3,0.5,0.1,0.9,1.1,9.6
2012-13,24,MIN,NBA,SF,23,1,22.1,3.4,8.3,.414,1.1,3.5,.321,2.3,4.8,.482,1.4,1.8,.762,0.7,2.4,3.1,1.1,0.6,0.3,1.0,1.3,9.4
2013-14,25,MIN,NBA,SF,41,8,18.3,2.4,6.2,.394,1.0,2.9,.350,1.4,3.3,.433,0.8,1.0,.821,0.5,2.0,2.5,0.8,0.5,0.0,0.6,1.4,6.7
2014-15,26,MIN,NBA,SF,47,3,14.5,1.6,4.3,.373,0.5,1.6,.333,1.1,2.7,.397,0.6,0.7,.788,0.3,2.0,2.4,0.7,0.5,0.1,0.7,0.8,4.3
Career,,,NBA,,321,47,20.1,3.1,7.3,.423,1.1,3.2,.356,2.0,4.1,.476,1.0,1.3,.804,0.6,2.6,3.1,1.2,0.5,0.2,0.8,1.2,8.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,210,35,21.5,3.5,8.1,.435,1.3,3.5,.363,2.2,4.5,.492,1.1,1.4,.810,0.6,2.8,3.4,1.4,0.5,0.2,0.8,1.3,9.4
3 seasons,,MIN,NBA,,111,12,17.5,2.3,5.8,.393,0.8,2.5,.337,1.5,3.3,.435,0.8,1.0,.789,0.4,2.1,2.6,0.8,0.5,0.1,0.7,1.1,6.2
