2010-11,26,SAS,NBA,SG,80,1,21.1,3.6,7.9,.451,1.6,3.9,.419,2.0,4.1,.481,1.1,1.3,.808,0.3,2.2,2.5,1.2,0.3,0.1,1.0,1.9,9.8
2011-12,27,SAS,NBA,SG,56,7,21.5,3.8,8.7,.436,1.5,3.5,.419,2.3,5.1,.448,0.9,1.1,.781,0.2,1.9,2.1,2.1,0.5,0.0,1.1,1.3,9.9
2012-13,28,SAS,NBA,SG,68,17,21.8,3.6,8.8,.412,1.3,3.7,.355,2.3,5.1,.454,0.9,1.1,.865,0.2,1.9,2.1,1.9,0.4,0.0,1.0,1.4,9.5
2013-14,29,TOT,NBA,SG,52,3,21.4,3.7,9.1,.410,1.3,3.5,.378,2.4,5.6,.430,1.8,2.0,.895,0.2,1.5,1.7,1.6,0.3,0.0,1.2,1.3,10.5
2013-14,29,MIL,NBA,SG,30,2,20.2,3.6,9.2,.390,1.3,3.7,.360,2.3,5.5,.410,1.5,1.8,.833,0.3,1.4,1.7,1.5,0.2,0.0,1.3,0.9,10.0
2013-14,29,CHA,NBA,SG,22,1,23.0,3.9,8.8,.438,1.3,3.1,.406,2.6,5.7,.456,2.2,2.3,.961,0.1,1.7,1.8,1.7,0.5,0.0,1.1,1.8,11.2
2014-15,30,TOT,NBA,SG,49,1,22.2,3.4,9.4,.364,1.0,3.3,.300,2.4,6.1,.398,2.1,2.4,.871,0.3,2.0,2.3,1.9,0.4,0.0,1.2,1.7,9.9
2014-15,30,CHO,NBA,SG,43,0,21.7,3.3,9.3,.359,0.9,3.1,.293,2.4,6.2,.392,2.0,2.4,.863,0.3,1.9,2.2,1.9,0.4,0.0,1.3,1.6,9.6
2014-15,30,MIN,NBA,SG,6,1,26.3,4.0,10.2,.393,1.5,4.5,.333,2.5,5.7,.441,2.2,2.3,.929,0.0,3.3,3.3,2.2,0.7,0.0,0.5,2.2,11.7
Career,,,NBA,,305,29,21.6,3.6,8.7,.417,1.4,3.6,.380,2.2,5.1,.443,1.3,1.5,.849,0.2,1.9,2.2,1.7,0.4,0.0,1.1,1.5,9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,204,25,21.4,3.6,8.4,.433,1.5,3.7,.398,2.2,4.7,.461,1.0,1.2,.818,0.2,2.0,2.2,1.7,0.4,0.0,1.0,1.5,9.7
2 seasons,,CHACHO,NBA,,65,1,22.1,3.5,9.1,.385,1.0,3.1,.332,2.5,6.0,.413,2.1,2.4,.895,0.2,1.8,2.1,1.8,0.4,0.0,1.2,1.7,10.2
1 season,,MIL,NBA,,30,2,20.2,3.6,9.2,.390,1.3,3.7,.360,2.3,5.5,.410,1.5,1.8,.833,0.3,1.4,1.7,1.5,0.2,0.0,1.3,0.9,10.0
1 season,,MIN,NBA,,6,1,26.3,4.0,10.2,.393,1.5,4.5,.333,2.5,5.7,.441,2.2,2.3,.929,0.0,3.3,3.3,2.2,0.7,0.0,0.5,2.2,11.7
