2007-08,22,BOS,NBA,C,69,1,13.6,1.6,3.2,.484,0.0,0.0,,1.6,3.2,.484,1.4,2.2,.660,1.4,1.6,3.0,0.4,0.4,0.3,0.9,2.3,4.5
2008-09,23,BOS,NBA,C,76,16,21.5,2.6,5.9,.442,0.0,0.1,.400,2.6,5.9,.443,1.7,2.3,.730,1.6,2.4,4.0,0.9,0.7,0.3,0.9,3.0,7.0
2009-10,24,BOS,NBA,PF,54,1,17.3,2.3,5.2,.437,0.0,0.1,.000,2.3,5.1,.444,1.8,2.6,.696,1.9,1.9,3.8,0.6,0.4,0.3,1.0,2.4,6.3
2010-11,25,BOS,NBA,C,78,13,29.5,4.6,10.3,.448,0.0,0.2,.133,4.6,10.1,.454,2.5,3.4,.736,1.3,4.2,5.4,1.2,1.0,0.4,1.1,3.0,11.7
2011-12,26,ORL,NBA,PF,61,13,23.4,3.7,8.8,.421,0.0,0.2,.143,3.7,8.5,.429,1.9,2.7,.683,1.8,3.7,5.4,0.8,0.7,0.3,1.2,1.7,9.3
2012-13,27,ORL,NBA,PF,34,33,31.3,6.3,14.1,.448,0.0,0.1,.000,6.3,14.0,.450,2.5,3.4,.718,1.6,5.6,7.2,2.1,0.9,0.6,1.9,2.6,15.1
2013-14,28,TOT,NBA,PF,68,44,24.4,4.0,8.7,.457,0.1,0.2,.364,3.9,8.6,.459,1.4,2.0,.693,1.6,3.6,5.2,1.1,0.9,0.4,1.1,2.3,9.4
2013-14,28,ORL,NBA,PF,45,43,30.1,5.2,11.4,.453,0.1,0.2,.400,5.1,11.2,.454,1.7,2.5,.675,1.9,4.3,6.3,1.6,1.0,0.5,1.3,2.5,12.1
2013-14,28,LAC,NBA,PF,23,1,13.4,1.7,3.5,.481,0.0,0.0,.000,1.7,3.5,.488,0.8,1.0,.783,0.9,2.1,3.0,0.3,0.5,0.3,0.7,2.1,4.2
2014-15,29,LAC,NBA,PF,55,0,11.3,1.5,3.2,.480,0.0,0.0,.000,1.5,3.2,.486,0.8,1.3,.609,0.5,1.6,2.1,0.4,0.6,0.2,0.4,1.7,3.9
Career,,,NBA,,495,121,21.4,3.2,7.1,.448,0.0,0.1,.189,3.2,7.0,.452,1.7,2.5,.700,1.4,3.0,4.4,0.9,0.7,0.3,1.0,2.4,8.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,BOS,NBA,,277,31,21.0,2.8,6.3,.449,0.0,0.1,.167,2.8,6.2,.453,1.9,2.6,.711,1.5,2.6,4.1,0.8,0.7,0.3,1.0,2.7,7.6
3 seasons,,ORL,NBA,,140,89,27.5,4.8,10.9,.440,0.0,0.2,.231,4.8,10.7,.444,2.0,2.8,.691,1.8,4.4,6.1,1.3,0.9,0.4,1.4,2.2,11.6
2 seasons,,LAC,NBA,,78,1,11.9,1.6,3.3,.481,0.0,0.0,.000,1.6,3.3,.486,0.8,1.2,.652,0.6,1.7,2.4,0.4,0.6,0.3,0.5,1.8,3.9
