2009-10,20,OKC,NBA,SG,76,0,22.9,3.1,7.6,.403,1.2,3.3,.375,1.8,4.3,.424,2.6,3.2,.808,0.6,2.6,3.2,1.8,1.1,0.3,1.4,2.6,9.9
2010-11,21,OKC,NBA,SG,82,5,26.7,3.6,8.3,.436,1.4,4.0,.349,2.3,4.4,.514,3.5,4.2,.843,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2
2011-12,22,OKC,NBA,SG,62,2,31.4,5.0,10.1,.491,1.8,4.7,.390,3.1,5.4,.579,5.0,6.0,.846,0.5,3.6,4.1,3.7,1.0,0.2,2.2,2.4,16.8
2012-13 ★,23,HOU,NBA,SG,78,78,38.3,7.5,17.1,.438,2.3,6.2,.368,5.2,10.9,.477,8.6,10.2,.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9
2013-14 ★,24,HOU,NBA,SG,73,73,38.0,7.5,16.5,.456,2.4,6.6,.366,5.1,9.9,.515,7.9,9.1,.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4
2014-15 ★,25,HOU,NBA,SG,60,60,36.7,8.0,18.0,.447,2.6,6.9,.379,5.4,11.1,.489,8.2,9.5,.867,0.9,4.9,5.8,7.0,1.9,0.8,4.0,2.6,26.9
Career,,,NBA,,431,218,32.1,5.7,12.8,.446,1.9,5.2,.371,3.8,7.6,.497,5.9,6.9,.852,0.7,3.5,4.2,4.3,1.4,0.4,2.7,2.5,19.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,220,7,26.7,3.8,8.6,.444,1.5,3.9,.370,2.4,4.7,.506,3.6,4.3,.835,0.5,2.9,3.4,2.5,1.1,0.3,1.6,2.5,12.7
3 seasons,,HOU,NBA,,211,211,37.8,7.7,17.2,.446,2.4,6.6,.371,5.2,10.6,.493,8.3,9.6,.860,0.8,4.2,5.1,6.3,1.8,0.6,3.8,2.4,26.0
