2007-08,21,PHI,NBA,PF,76,1,14.6,1.9,4.1,.455,0.1,0.2,.286,1.8,3.9,.463,0.7,1.1,.659,1.0,2.0,3.0,0.3,0.3,0.7,0.6,1.9,4.5
2009-10,23,PHI,NBA,PF,56,2,11.8,1.3,3.1,.431,0.2,0.5,.345,1.2,2.6,.448,0.5,0.8,.690,1.0,1.4,2.4,0.6,0.4,0.5,0.6,2.0,3.4
2010-11,24,NOH,NBA,C,77,6,14.3,1.8,4.0,.443,0.0,0.0,.000,1.8,4.0,.446,0.8,0.9,.843,1.2,2.0,3.1,0.5,0.3,0.4,0.7,1.9,4.3
2011-12,25,NOH,NBA,PF,40,29,23.7,4.5,8.7,.520,0.0,0.2,.111,4.5,8.5,.531,0.8,1.2,.702,1.8,3.1,4.9,0.9,0.5,1.0,1.0,2.6,9.9
2012-13,26,NOH,NBA,C,51,0,17.2,3.3,6.7,.490,0.0,0.1,.000,3.3,6.6,.496,1.7,2.0,.843,1.3,2.4,3.6,0.7,0.3,0.9,1.1,2.4,8.2
2013-14,27,NOP,NBA,PF,31,27,26.8,4.2,9.1,.465,0.0,0.0,,4.2,9.1,.465,1.3,1.6,.780,1.6,4.2,5.8,0.9,0.4,0.9,0.9,3.2,9.7
2014-15,28,NYK,NBA,C,60,26,21.4,3.3,7.3,.447,0.1,0.3,.375,3.2,7.0,.450,1.4,1.7,.812,1.3,2.7,4.0,1.6,0.4,0.4,1.1,2.6,8.0
Career,,,NBA,,391,91,17.4,2.6,5.6,.467,0.1,0.2,.284,2.6,5.4,.473,1.0,1.3,.773,1.2,2.4,3.6,0.7,0.4,0.6,0.8,2.3,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NOHNOP,NBA,,199,62,18.9,3.1,6.4,.481,0.0,0.1,.067,3.1,6.3,.486,1.1,1.4,.807,1.4,2.7,4.0,0.7,0.4,0.7,0.9,2.4,7.3
2 seasons,,PHI,NBA,,132,3,13.4,1.6,3.7,.446,0.1,0.3,.326,1.5,3.3,.458,0.6,0.9,.669,1.0,1.8,2.8,0.4,0.3,0.6,0.6,1.9,4.0
1 season,,NYK,NBA,,60,26,21.4,3.3,7.3,.447,0.1,0.3,.375,3.2,7.0,.450,1.4,1.7,.812,1.3,2.7,4.0,1.6,0.4,0.4,1.1,2.6,8.0
