2009-10,19,PHI,NBA,PG,73,51,24.2,3.2,7.1,.442,0.8,2.2,.390,2.3,4.9,.465,0.9,1.2,.756,0.8,1.8,2.6,3.8,1.1,0.2,2.1,2.1,8.0
2010-11,20,PHI,NBA,PG,82,82,35.4,5.4,12.2,.446,1.0,2.7,.365,4.5,9.5,.470,2.1,2.5,.823,0.8,3.2,4.0,6.5,1.5,0.4,2.7,2.5,14.0
2011-12,21,PHI,NBA,PG,65,65,33.8,5.5,12.8,.432,1.0,2.6,.380,4.5,10.2,.445,1.4,1.8,.783,0.9,2.4,3.3,4.5,1.6,0.3,2.1,2.1,13.5
2012-13 ★,22,PHI,NBA,PG,78,78,37.5,7.1,16.5,.431,1.2,3.2,.368,5.9,13.3,.446,2.3,3.1,.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,2.2,17.7
2013-14,23,NOP,NBA,PG,34,34,33.6,6.0,13.4,.447,0.9,2.3,.390,5.1,11.1,.459,1.5,1.9,.810,0.8,3.4,4.2,7.9,1.6,0.4,3.1,2.7,14.3
2014-15,24,NOP,NBA,PG,37,37,33.7,6.1,13.8,.444,1.3,3.5,.367,4.8,10.3,.470,1.7,2.0,.851,0.8,2.7,3.5,7.1,1.6,0.6,2.4,2.8,15.2
Career,,,NBA,,369,347,33.0,5.5,12.5,.439,1.0,2.7,.375,4.5,9.8,.457,1.7,2.2,.790,0.9,2.7,3.6,6.1,1.5,0.4,2.7,2.3,13.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,298,276,32.9,5.3,12.2,.437,1.0,2.7,.374,4.3,9.5,.455,1.7,2.2,.781,0.9,2.7,3.6,5.8,1.4,0.3,2.7,2.2,13.4
2 seasons,,NOP,NBA,,71,71,33.7,6.0,13.6,.445,1.1,2.9,.376,5.0,10.7,.464,1.6,1.9,.832,0.8,3.0,3.8,7.5,1.6,0.5,2.7,2.7,14.8
