2007-08,27,HOU,NBA,PF,82,39,24.7,4.2,8.2,.515,0.0,0.0,.000,4.2,8.1,.517,1.9,2.9,.668,2.1,4.3,6.4,1.3,0.7,0.2,1.3,2.9,10.3
2008-09,28,HOU,NBA,PF,82,82,30.3,5.2,9.7,.531,0.0,0.0,.000,5.2,9.7,.533,2.4,3.1,.760,2.4,6.3,8.8,1.5,0.8,0.1,1.5,3.2,12.7
2009-10,29,HOU,NBA,PF,82,82,32.6,6.8,13.3,.514,0.0,0.1,.200,6.8,13.2,.515,2.5,3.3,.779,2.1,6.5,8.6,2.1,0.8,0.3,2.0,3.0,16.2
2010-11,30,HOU,NBA,PF,74,74,32.6,7.7,15.3,.504,0.0,0.0,.000,7.7,15.2,.505,2.9,3.9,.738,2.0,6.2,8.2,2.5,0.6,0.6,2.0,3.1,18.3
2011-12,31,HOU,NBA,PF,66,66,31.3,6.6,13.5,.491,0.0,0.0,.000,6.6,13.4,.493,2.3,3.0,.773,1.8,4.6,6.5,2.1,0.5,0.4,2.3,3.2,15.5
2012-13,32,PHO,NBA,PF,82,67,26.6,5.3,11.2,.472,0.0,0.2,.188,5.2,11.0,.477,2.2,2.8,.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,12.8
2013-14,33,IND,NBA,PF,82,2,17.1,3.2,6.8,.470,0.0,0.1,.143,3.2,6.7,.474,1.2,1.7,.728,1.0,3.7,4.8,1.0,0.3,0.2,1.3,2.0,7.6
2014-15,34,IND,NBA,PF,59,15,20.4,3.8,8.1,.466,0.1,0.3,.294,3.7,7.8,.473,1.7,2.5,.678,1.6,4.7,6.3,1.5,0.7,0.2,1.3,2.3,9.3
Career,,,NBA,,609,427,27.0,5.3,10.7,.498,0.0,0.1,.175,5.3,10.6,.501,2.1,2.9,.742,1.9,5.1,7.0,1.8,0.7,0.3,1.6,2.9,12.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,386,343,30.2,6.0,11.9,.510,0.0,0.0,.059,6.0,11.8,.512,2.4,3.2,.744,2.1,5.6,7.7,1.9,0.7,0.3,1.8,3.1,14.5
2 seasons,,IND,NBA,,141,17,18.4,3.4,7.3,.468,0.0,0.2,.250,3.4,7.2,.473,1.4,2.0,.702,1.3,4.1,5.4,1.2,0.5,0.2,1.3,2.1,8.3
1 season,,PHO,NBA,,82,67,26.6,5.3,11.2,.472,0.0,0.2,.188,5.2,11.0,.477,2.2,2.8,.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,3.1,12.8
