2008-09,20,MIA,NBA,PF,81,19,24.8,5.6,11.8,.472,0.4,1.0,.407,5.2,10.8,.478,2.3,3.0,.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9
2009-10,21,MIA,NBA,PF,78,78,29.8,6.0,13.3,.450,0.4,1.3,.275,5.6,12.0,.469,2.5,3.1,.800,1.6,4.8,6.4,1.3,1.0,0.6,1.7,2.8,14.8
2010-11,22,MIN,NBA,SF,73,73,32.3,7.7,17.1,.450,0.8,2.2,.366,6.9,14.8,.463,3.0,4.0,.753,1.6,4.0,5.6,2.2,0.7,0.7,2.7,3.0,19.2
2011-12,23,MIN,NBA,SF,47,7,23.1,4.7,10.6,.445,0.8,2.1,.376,3.9,8.4,.462,1.3,2.0,.642,0.8,3.6,4.4,1.0,0.4,0.4,1.7,1.8,11.5
2012-13,24,PHO,NBA,SF,75,20,20.7,4.1,10.2,.405,0.6,1.9,.313,3.5,8.3,.426,1.3,1.7,.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1
2013-14,25,MIA,NBA,SF,55,2,15.1,3.2,6.5,.499,0.4,1.0,.389,2.8,5.5,.518,1.1,1.4,.772,0.6,2.6,3.1,0.8,0.4,0.4,1.0,1.7,7.9
2014-15,26,MIA,NBA,SF,4,0,20.5,3.5,8.8,.400,0.5,1.5,.333,3.0,7.3,.414,0.5,0.5,1.000,0.5,3.3,3.8,0.5,0.8,0.3,1.5,3.8,8.0
Career,,,NBA,,413,199,24.8,5.3,11.9,.450,0.5,1.6,.348,4.8,10.3,.466,2.0,2.6,.759,1.2,3.7,4.9,1.3,0.6,0.5,1.8,2.2,13.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIA,NBA,,218,99,24.1,5.1,10.9,.465,0.4,1.1,.346,4.7,9.8,.479,2.0,2.6,.785,1.2,3.9,5.2,1.0,0.7,0.5,1.4,2.4,12.6
2 seasons,,MIN,NBA,,120,80,28.7,6.5,14.5,.449,0.8,2.2,.370,5.7,12.3,.463,2.3,3.2,.725,1.3,3.8,5.1,1.7,0.6,0.6,2.3,2.5,16.2
1 season,,PHO,NBA,,75,20,20.7,4.1,10.2,.405,0.6,1.9,.313,3.5,8.3,.426,1.3,1.7,.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1
